Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
3000,PRAY FOR PRESIDENT TRUMPS STRENGTH!,username@euunn Jnnn,22:53,,,,,,
3001,they getting corona,username@nCeJnsJnd ,22:53,,,,,,
3002,Mr. Trump/Mr. Pence 2020 and beyond!!!,username@MlMnMDauuD,22:54,,,,,,
3003,VA here donated to John James and Joe Collins:_RSBNUSFlag2::_RSBNUSFlag2::_RSBN4moreyears:,username@yyMnQay Mc,22:54,,,,,,
3004,Trump 2020,username@김영김김김주김영주김,22:54,,,,,,
3005,Trump is Winning and libturds are Whining! Cry liberals CRY !,username@c   ctcy c,22:54,,,,,,
3006,hello everyone 🖐️😃,username@lllllze ul,22:55,,,,,,
3007,not many people at this rally,username@nanunggnYD,22:55,,,,,,
3008,360+,username@ebuabbeaf2,22:55,,,,,,
3009,"HIT ""LIKE"" IF YOU LOVE THIS RALLY!!!!",username@SSSSSSSS S,22:55,,,,,,
3010,RED TSUNAMI RED LANDSLIDE,username@mmks7k j77,22:55,,,,,,
3011,he didnt even win the popular vote last time,username@amiLiimLaL,22:55,,,,,,
3012,"THE LORD JESUS CHRIST saith you must be BORN AGAIN , BY HOLY GHOST BIBLE JOHN 3:3-7 KJV",username@uaaParSeul,22:55,,,,,,
3013,landslide!!!!!!!!!!!!!!!!!!!!!!!!!,username@G ns  oGss,22:55,,,,,,
3014,BIDEN 2020,username@pf44ree4le,22:55,,,,,,
3015,derail,username@mmm//T////,22:56,,,,,,
3016,landslide incoming,username@cCektkCNNi,22:56,,,,,,
3017,its also impossible to find this live rally on YouTube Today! Censorship!!,username@Fatnrsors ,22:56,,,,,,
3018,any airplane the president is on uses the call sign Air Force 1. Air Force 2 is used when Vice president is on board,username@cst  tyis ,22:56,,,,,,
3019,"AF1 = whichever plane the president is on, could be a crop duster and would still be called air force 1",username@naaaA neee,22:56,,,,,,
3020,the Rock is a disgrace,username@oP noPo on,22:57,,,,,,
3021,Jesus for Lord forever and always,username@rheSterwwh,22:57,,,,,,
3022,CHINA OWNS THE BIDEN CRIME FAMILY SYNDICATE,username@yeeryoboRC,22:57,,,,,,
3023,He’s there now. Whatever plane he flies in is called air force 1,username@PiotsuProP,22:57,,,,,,
3024,Beijing Biden,username@aArAie  A ,22:57,,,,,,
3025,when the president is on the plane it is still referred to as AF1!!,username@l al akoMa,22:58,,,,,,
3026,VOTE TRUMP BECAUSE 47 YEARS IS LONG ENUFF,username@e kekoyneA,22:58,,,,,,
3027,wishing to trump win 2020,username@naAieeeA t,22:58,,,,,,
3028,@Ryan Fox Thanx. Didn't know.,username@ausMcMsaua,22:58,,,,,,
3029,Canada for Trump,username@ngunyh Nnn,22:58,,,,,,
3030,POTUS and FIRST FAMILY are living proof we don't have to live in FEAR of Covid! 4 MORE YEARS for TRUMP-PENCE 👍🎆👍,username@vr1rrr7rrv,22:59,,,,,,
3031,Trump 2020 send China virus and China joe packing please!!!!!!!!!!!,username@eatttBeeeT,22:59,,,,,,
3032,Yes Landslide,username@Ahh us uSu,23:00,,,,,,
3033,GOD BLESSED US WITH TRUMP AND JAMES,username@evrrivrass,23:00,,,,,,
3034,TRUMP President 🦾,username@asleial  n,23:01,,,,,,
