Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
3000,PRAY FOR PRESIDENT TRUMPS STRENGTH!,username@euunn Jnnn,22:53,,,,,,
3001,they getting corona,username@nCeJnsJnd,22:53,1,1,,,1,1
3002,Mr. Trump/Mr. Pence 2020 and beyond!!!,username@MlMnMDauuD,22:54,,,,,,
3003,VA here donated to John James and Joe Collins:_RSBNUSFlag2::_RSBNUSFlag2::_RSBN4moreyears:,username@yyMnQay Mc,22:54,,,,,,
3004,Trump 2020,username@김영김김김주김영주김,22:54,,,,,,
3005,Trump is Winning and libturds are Whining! Cry liberals CRY !,username@c   ctcy c,22:54,,1,,1,,1
3006,hello everyone 🖐️😃,username@lllllze ul,22:55,,,,,,
3007,not many people at this rally,username@nanunggnYD,22:55,,,,,,
3008,360+,username@ebuabbeaf2,22:55,,,,,,
3009,"HIT ""LIKE"" IF YOU LOVE THIS RALLY!!!!",username@SSSSSSSS S,22:55,,,,,,
3010,RED TSUNAMI RED LANDSLIDE,username@mmks7k j77,22:55,,,,,,
3011,he didnt even win the popular vote last time,username@amiLiimLaL,22:55,,1,,,,1
3012,"THE LORD JESUS CHRIST saith you must be BORN AGAIN , BY HOLY GHOST BIBLE JOHN 3:3-7 KJV",username@uaaParSeul,22:55,,,,,,
3013,landslide!!!!!!!!!!!!!!!!!!!!!!!!!,username@G ns  oGss,22:55,,,,,,
3014,BIDEN 2020,username@pf44ree4le,22:55,,,,,,
3015,derail,username@mmm//T////,22:56,,,,,,
3016,landslide incoming,username@cCektkCNNi,22:56,,,,,,
3017,its also impossible to find this live rally on YouTube Today! Censorship!!,username@Fatnrsors,22:56,,,,,,
3018,any airplane the president is on uses the call sign Air Force 1. Air Force 2 is used when Vice president is on board,username@cst  tyis,22:56,,,,,,
3019,"AF1 = whichever plane the president is on, could be a crop duster and would still be called air force 1",username@naaaA neee,22:56,,1,,,,
3020,the Rock is a disgrace,username@oP noPo on,22:57,,1,,,,1
3021,Jesus for Lord forever and always,username@rheSterwwh,22:57,,,,,,
3022,CHINA OWNS THE BIDEN CRIME FAMILY SYNDICATE,username@yeeryoboRC,22:57,,1,,1,,1
3023,He’s there now. Whatever plane he flies in is called air force 1,username@PiotsuProP,22:57,,,,,,
3024,Beijing Biden,username@aArAie  A,22:57,1,1,,1,,1
3025,when the president is on the plane it is still referred to as AF1!!,username@l al akoMa,22:58,,,,,,
3026,VOTE TRUMP BECAUSE 47 YEARS IS LONG ENUFF,username@e kekoyneA,22:58,,,,1,,
3027,wishing to trump win 2020,username@naAieeeA t,22:58,,,,,,
3028,@Ryan Fox Thanx. Didn't know.,username@ausMcMsaua,22:58,,,,,,
3029,Canada for Trump,username@ngunyh Nnn,22:58,,,,1,,
3030,POTUS and FIRST FAMILY are living proof we don't have to live in FEAR of Covid! 4 MORE YEARS for TRUMP-PENCE 👍🎆👍,username@vr1rrr7rrv,22:59,,1,,1,,1
3031,Trump 2020 send China virus and China joe packing please!!!!!!!!!!!,username@eatttBeeeT,22:59,,,,1,,
3032,Yes Landslide,username@Ahh us uSu,23:00,,,,,,
3033,GOD BLESSED US WITH TRUMP AND JAMES,username@evrrivrass,23:00,,,,,,
3034,TRUMP President 🦾,username@asleial  n,23:01,,,,,,
3035,:_RSBNUSA::_RSBNUSA::_RSBNUSA::_RSBNUSA: Dont listen to the polls GO VOTE Vote Trump Vote for America:_RSBNUSA::_RSBNUSA::_RSBNUSA::_RSBNUSA::_RSBNUSA::_RSBNUSA:,username@trnnnSSaSt,23:01,,,,1,,
3036,AF1 and AF2 are call signs,username@ iMnRtregt,23:01,,,,,,
3037,They can't spell BLT correctly,username@nnLmeeie i,23:01,,,,,,
3038,Portland is sick of antifa & blm Domestic Terrorists in their streets!!🤬🤬🤬,username@udd eeTeTd,23:02,,1,,1,,1
3039,Stringfellow 1983 u really think the uk wants this idiot,username@anRGyRnRyn,23:02,1,1,,,,1
3040,HAPPY BIRTHDAY BRIAN GLENN!!!!,username@ ooryopEoy,23:02,,,,,,
3041,Impeach whither,username@nrk ieGire,23:02,,,,,,
3042,ترامپ احمق ههههههه,username@RNRRRRNRRN,23:02,,,,,,
3043,"Hilary Clinton polling for FL in 2016, 91% to 9% in her favour. The best way to prove polls wrong, is REGISTER > go > vote",username@BiByiaBiBl,23:03,,,,,,
3044,320,username@do pnseJeo,23:04,,,,,,
3045,Trump 2020,username@GUPTUGSUSG,23:04,,,,,,
3046,Finally playing this song!!!!!,username@neenJJeenn,23:04,,,,,,
3047,IDEOLOGICALLY POSSESSED CROWD OF DISEASE SPREADERS!! PREPARE FOR A SAD DAY TMRW!,username@nt lnKenKK,23:04,1,1,,,,
3048,Protect the beef stock,username@:::/::////,23:04,,,,,,
3049,Let's GOOOOO!!!!!,username@ AAAemAlel,23:04,,,,,,
3050,Superman wears Trump pajamas,username@lHisBoslHB,23:04,,,,,,
3051,Kosovo je srbija,username@äÜäüüÜÄüÜÄ,23:04,,,,,,
3052,I truly think joe buyins health is in jeopardy... im worried about that fella,username@CBBBBBCC,23:04,,,,,,
3053,BIDEN SUPPORTERS HAVE IQ OF 🍎,username@UmmZJSZ SJ,23:04,,1,,,,1
3054,gg trump,username@hmmahmouah,23:04,,,,,,
3055,Hope all these Patriots are voting tomorrow.,username@noNnaaoonn,23:05,,,,,,
3056,4 more years,username@GhHohddal,23:05,,,,,,
3057,TRUMP CHAT IS THE ONLY PLACE BIDEN'S 3 - 4 SUPPORTERS CAN BE NOTICED! (KIND OF) LOL! WHAT LOSERS!,username@eaccPcRRcP,23:05,,1,,1,,1
3058,I PRAY FOR LANDSLIDE!!! COME ON AMERICA VOTE FOR TRUMP!!!,username@FFaHF  Lta,23:05,,,,,,
3059,"LEFTISTS WILL GO TO HELL Matthew 25:41 Then shall he (GOD) say also unto them on the LEFT hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:",username@TTelelT Tl,23:05,1,,,,,
3060,Support our Police 🚔🚔🚔🚔🚔🚔🚔🚔🚔🚔🚔🥰🚔🥰🥰❤️❤️❤️❤️❤️,username@re neeercu,23:05,,,,1,,
3061,"LOVE Jesus only, but vote Trump !!",username@ioaanrarBo,23:05,,,,,,1
3062,TRUMP IN A LANDSLIDE - BIDEN IN A BEDPAN SPILL,username@nnnsnanEEn,23:05,,1,,,,
3063,TRUMPS HELPING THE SPREAD OF THE VIRUS,username@eeineiniin,23:06,,1,,,,
3064,🌴CALIFORNIA🌴 ❤ TRUMP,username@u aPl  ll,23:06,,,,1,,
3065,FAKE POLLS,username@k ikankTkk,23:06,,,,,,
3066,Geez what is going on,username@keLebRRRte,23:06,,,,,,
3067,THAT'S QUITE A CROWD!!,username@asSek noca,23:07,,,,,,
3068,god bless you biden 2020,username@Jnkkes aik,23:07,,,,,,
3069,biddon to prison,username@naopY SiYg,23:07,1,1,,,,
3070,Trump landslide,username@ili iWllra,23:07,,,,,,
3071,What´s the name of the music?,username@giivealave,23:11,,,,,,
3072,Suburban Women LOVE TRUMP,username@es&miiJh i,23:11,,,,,,
3073,God bless America and President Trump!,username@gg.gee.ss.,23:11,,,,,,
3074,GOD PROTECT TRUMP!!!!,username@tatiatteoM,23:12,,,,,,
3075,TRUMP 324 Electoral Votes!!!!,username@DE rDsrerr,23:12,,,,,,
3076,Trump is definitely not a Republican politician. He is an American who loves this country and the ordinary men and women who work hard everyday.,username@sMimiRmm,23:12,,,,,,
3077,Biden2020,username@MMMaalaMle,23:12,,,,1,,
3078,BRAZIL LOVES TRUMP,username@ilraoao ra,23:12,,,,,,
3079,BLM: BIDEN’S LAPTOP MATTERS,username@ruesi cFrr,23:12,,,,1,,
3080,⚠⚠⚠MASSIVE TERROR ATTACK IN AUSTRIA⚠⚠⚠MASSIVE TERROR ATTACK IN AUSTRIA⚠⚠⚠MASSIVE TERROR ATTACK IN AUSTRIA⚠⚠⚠MASSIVE TERROR ATTACK IN AUSTRIA⚠⚠⚠MASSIVE TERROR ATTACK IN AUSTRIA,username@iltlltraii,23:13,,,,1,1,
3081,THE GOOD GUYS FOR TRUMP !! =),username@ierspohooo,23:14,,,,,,
3082,Make America great again,username@ g einKip,23:14,,,,,,
3083,CHINA FOR TRUMP! !,username@gstoerelto,23:14,,,,1,,
3084,VOTE LIKE THE POLLS ARE REAL,username@ KG KG  K,23:14,,,,,,
3085,Landslide victory coming,username@yGGGuyyyGu,23:15,,,,,,
3086,.,username@etmairnoi,23:15,,,,,,
3087,LEFTIST TEARS!!!!!!,username@naL aeoaor,23:16,,1,,,,1
3088,MI DON'T LET US DOWN AMERICA IS COUNTING ON YOU VOTE TRUMP AND RED,username@3otccu3Soo,23:16,,,,,,
3089,Tanning Beds for Trump 2020!,username@4m5r44a0a4,23:16,,,,,,
3090,biden for prison,username@  wgglcict,23:16,1,1,,,,
3091,"I love seeing the UK, Australia, Sweden giving us support. They KNOW....",username@a lMaaiuun,23:16,,,,,,
3092,God bless Mr. President USA❤️,username@AaDh na u,23:16,,,,,,
3093,"Apple Samsung Doctor Guy"" TRUMP 2021",username@hhnnO  ash,23:17,,,,,,
3094,@Liam bs get a sack idiot fk off,username@lsill l il,23:17,1,1,,,,
3095,hope he cleans up corrupt switzerland.,username@neakttetee,23:17,,,,,,
3096,prayers for all of us! USA!,username@ohSreororh,23:18,,,,,,
3097,"STAY ON THE LORD SIDE, SAY NO TO SOCIALISM AND VOTE FOR TRUMP! WE CELEBRATE THE VICTORY NOW!",username@aJ J  adNa,23:18,,,,1,,1
3098,PRO LIFE! PRO GOD! PRO GUN! PRO TRUMP! MAGA2020 FLORIDA LOVES TRUMP! MI VOTE RED!,username@dBd Beer n,23:18,,,,1,,1
3099,They are slowing down the feeds,username@asassDiDee,23:18,,,,,,
3100,WE'RE JUST A BIG BUNCH OF WINNERS WE ARE.,username@S RSS SRSS,23:19,,,,,,
3101,MAGA,username@ rItncse i,23:19,,,,,,
3102,she said the left,username@enorddmnor,23:21,,,,,,
3103,We love Präsident Trump !,username@a MGaaaaG,23:21,,,,,,
3104,VIENNA IS BURNING VOTE TRUMP!! SAFE AMERICA FROM ISLAMIC TERRORISM!!,username@raaanrtaut,23:21,,,,1,,
