Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
6000,❤Let's Turn ILLINOIS Red!!!!,username@eamKaeolll,1900-01-01 13:27:00,,,,,,
6001,Just got some emergency food from the sponsor.,username@onnnnnnone,1900-01-01 13:27:00,,,,1.0,,
6002,STAR TREK BACKS UP TRUMP AND SPACE FORCE!✈✈✈✈✈✈✈✈✈✈✈✈✈,username@HBHBBHBBHB,1900-01-01 13:27:00,,,,1.0,,
6003,"Promises made, promises kept. Big Daddy Trump!",username@OkigigBeie,1900-01-01 13:27:00,,,,,,
6004,Tromp on the establishment - vote Trump,username@oEo EEoCyC,1900-01-01 13:27:00,,,,,,
6005,Michigan for TRUMP!!,username@oR ss oBBs,1900-01-01 13:28:00,,,,,,
6006,Ivanka 2024,username@WaustkuW2s,1900-01-01 13:28:00,,,,1.0,,
6007,cuz trolls be thirsty,username@PyoPaoyJya,1900-01-01 13:28:00,1.0,,,,,
6008,CNN going Broke!,username@ulkmnelMkn,1900-01-01 13:28:00,,,,1.0,,
6009,folks we're kinda weak on hitting the like button atm...show some love...let's be supportive....Trump 2020!,username@aaDn. .HH,1900-01-01 13:28:00,,,,,,
6010,CORONAVIRUS !,username@N AEnLLE O,1900-01-01 13:28:00,,1.0,,,,
6011,TERRORIST ATTACK 🤬🤬🤬🤬🤬 AUSTRIA VIENNA GUNMEN SHOOTING IN STREETS SEVERAL PEOPLE SHOT 1 POLICE OFFICER ! The CULT OF PIECES ??? 🐷🥓 1 POS DEAD ! Hostages TAKEN,username@.DDGshhssG,1900-01-01 13:28:00,,,,1.0,,
6012,four more years,username@oBMoBaeuuu,1900-01-01 13:28:00,,,,,1.0,
6013,"Under one condition, no fighting",username@:::/::////,1900-01-01 13:29:00,,,,,,
6014,BIDEEEEEEN 2020 MFERS AHAHAHAHAHA SIT DOWN REPUBTARDS LMFAOOO,username@hCCuCulCph,1900-01-01 13:29:00,1.0,,,,,
6015,FROM THE WORLD TRUMP 2020,username@aa ehsEtan,1900-01-01 13:29:00,,,,1.0,,
6016,Jésus only lord,username@o-teiao j,1900-01-01 13:29:00,,,,,,
6017,ty R.P.Supreme yeeah,username@R laaReae,1900-01-01 13:29:00,,,,,,
6018,... I fee like its unfair to say Biden and the progressives hate America. I feel like I hate America more than them... I mean... for them... but still though,username@ T  TonaTT,1900-01-01 13:29:00,1.0,,,,,
6019,❤❤❤❤❤❤❤❤❤❤WE LOVE TRUMP!!!!❤❤❤❤❤❤❤❤❤SHOW YOUR LOVE AND LIKE/SHARE THIS STREAM! GO USA!!!!!,username@nngeAgnDsr,1900-01-01 13:29:00,,,,1.0,,
6020,BIDEN 2020 👑👑👑👑👑👑😨,username@zltaadtzea,1900-01-01 13:30:00,,,,,,
6021,UNEQUIVICABLY,username@nVeMXVeeeV,1900-01-01 13:31:00,,,,,,
6022,"ALL YOU BIDEN TROLLS, GO BACK UNDER YOUR BRIDGE YOU HAVE NO POWER HERE",username@ SNNE NBR,1900-01-01 13:31:00,,1.0,,,,
6023,Absolutely,username@BtsrtdtetT,1900-01-01 13:31:00,,,,,,
6024,Avoid Biden. Vote Trump.,username@dtadtfoaCo,1900-01-01 13:31:00,,1.0,,,,
6025,Best president ever!!,username@HrHHHHröjö,1900-01-01 13:31:00,,,,,,
6026,Vote Red 🔴 Vote RED 🔴 Vote RED 🔴 Vote RED 🔴 Vote RED 🔴 Vote RED 🔴 Vote RED 🔴 Vote RED 🔴,username@mnremrvrtC,1900-01-01 13:31:00,,,,,,
6027,SOCIALISTS FOR BIDEN,username@Rhtcehychn,1900-01-01 13:31:00,,,,,,
6028,CAN WE FOCUS ON THE PRESIDENT ARRIVING NOW???,username@rbJWenWeee,1900-01-01 13:31:00,,,,,,
6029,MSM and BIG TECH are TRAITORS to WE THE PEOPLE and WE WILL NEVER FORGET! YOU’RE ALL GOING DOWN.,username@CCBBBBCBCB,1900-01-01 13:32:00,,,,1.0,,
6030,"Biden cannot speak for himself. How then, will he be able to speak for the American people?",username@CCCyCCy  n,1900-01-01 13:32:00,1.0,,,,,
6031,Bye Bye Globalists 🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️,username@oddeSaaaea,1900-01-01 13:32:00,,,,,,
6032,💜💜💜 TRUMP❤❤❤TRUMP💙💙💙,username@vrJe meLmJ,1900-01-01 13:32:00,,,,,,
6033,"PLEASE PRAY F MY FRIEND SUE, IN HOSPITAL",username@sinangipti,1900-01-01 13:32:00,,,,,,
6034,Cleveland here for TRUMP,username@oRaHaH rnH,1900-01-01 13:32:00,,,,,,
6035,BIDEN IS CORRUPTED ENTERPRISE!!!:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:,username@tprpteivep,1900-01-01 13:33:00,1.0,,,,,
6036,Democrat who is voting red for orange 🍊,username@Smc emeoo,1900-01-01 13:33:00,,,,1.0,,
6037,Praying for a Trump victory. Please please go vote!,username@hHeettthte,1900-01-01 13:33:00,,,,,,
