,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,?,username@eesesatees,0:15,,,,,,
1,fox fail,username@EPTTALHTTE,1:00,1,,,,,
2,Tell baby clown boy to get out,username@NiC  eeeie,1:26,1,,,,,
3,awe are you poor losers upset you lost the election?,username@oHeysy yoo,1:28,1,,,,,
4,Biden won bigly,username@RRRnanRaRR,1:52,,,,,,
5,tell it to the Supreme Court,username@410l04xxlx,2:13,,,,,,
6,Trump2020,username@it litz rl,2:35,,,,,,
7,😂😂 Trump lost,username@rlLeHdddnH,2:41,,,,,,
8,Trump2020,username@erKhddSr K,3:08,,,,,,
9,Supreme court will have the final say!,username@mlm bjmggl,3:13,,,,,,
10,"FYI the electors haven't been appointed yet, nor have they voted.",username@410l04xxlx,3:16,,,,,,
11,sUpReMe cOuRt,username@RRRnanRaRR,3:20,1,,,,,
12,Trump will be President media doesn't call elections.,username@.Hybb..ByB,3:23,,,,,,
13,4 eyes is gonna make a good prison b****,username@bsRmnmn is,3:25,1,,,,,1
14,Trump 2020 get over it,username@lltteelnlA,3:26,,,,,,
15,Trump 2020,username@hgiaFhUTF,3:27,,,,,,
16,RAID THEIR SERVERS!,username@leSSilSeie,3:29,,,,1,,
17,the guy doing sign language is more entertaining,username@qaresoarrq,3:44,,,,,,
18,trump 2020,username@JyyfdfefJe,3:49,,,,,,
19,OBAMA 2020 MAGA!!,username@Mu uenAMAA,3:51,,,,,,
20,of course Trump lost. He is a lunatic. Most Americans can see that.,username@irWrtoihhr,3:51,1,,,,,
21,Biden and his supporters will always have to live with the shame of cheating America!,username@atrnarited,4:10,1,,,,,
22,MAGA,username@mlm bjmggl,4:16,,,,,,
23,TRUMP WINS BY A LANDSLIDE!,username@teBidBtvSi,4:16,,,,,,
24,wow you all really don't understand how our election system works and its sad,username@teGGsenrG,4:17,,,,,,
25,Biden 2020-2028 Kamala 2028-2036,username@RRRnanRaRR,4:30,,,,,,
26,media does not call an election. fake news media.,username@nirTTronrn,4:35,,,,,,
27,"We just see all the RATS coming out, that's the goal",username@it litz rl,4:42,1,,,,,
28,Corrupted politician,username@DkDkrraree,4:42,1,,,,,
29,Trump is the president and will be for next 4 years!,username@ DarDD D r,4:49,,,,,,
30,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!",username@leSSilSeie,4:58,,,,1,,
31,State calls the election!! In they did,username@e iteettte,5:01,,,,,,
32,Trump WON Georgia BIG!!!! Legally!!!! ...... where ya at Hunter????,username@.B BBBBB..,5:05,,,,,,
33,Trump or Bust!,username@LHUKSLCBC,5:10,,,,,,
34,Trump will be president for 12 more years,username@hteiii2jh2,5:16,,,,,,
35,Only about half believe the President Trump lost DNC means does not coun,username@oJno  eyny,5:17,,,,,,
36,Kamala was picked based on gender and race...not on merit,username@nhrCerines,5:22,,1,,,,
37,"The will of the American people will be done, one way or another",username@nyah BBahy,5:24,,,,,,
38,Amalak...... evil Kamala!! Watch Out America!!,username@Sai in ing,5:27,1,,,1,,
39,The audio is terrible on this!!,username@oihsM narM,5:30,,,,,,
40,trump 2020-2036,username@geer l Fnn,5:30,,,,,,
41,"BRAZIL GO TRUMP, GIANT",username@xtxetxNtxN,5:39,,,,,,
42,"Liar, Liar pants on fire.",username@d  nLssnLL,5:39,,,,,,
43,CCPBiden and CCP Harris will never be President!,username@tamwtimtrr,5:40,,1,,1,,
44,"Disruption, Confusion, Division...part of the Trump play book that he's been working on for four years.",username@irWrtoihhr,5:40,,,,1,,
45,Are third terms possible?,username@oiiikuuJMm,5:42,,,,,,
46,Trump 2020,username@intiintint,5:50,,,,,,
47,"Trump won , julius from paris",username@ueuiswJee,5:50,,,,,,
48,Everyone watch Kreb’s interview on 60 minutes!!,username@Jsiser  ae,6:09,,,,,,
49,Trump trying to steal election,username@rlLeHdddnH,6:10,,,,1,,
50,BRAZIL ROCKS WWG1WGA,username@k  HlRAlkA,6:18,,,,,,
51,Turn on your mic,username@hitKcea,6:22,,,,,,
52,Biden cheated,username@nirTTronrn,6:29,,,,1,,
53,Cheaters BUSTED !!!!!!!!!!!!!!!!!,username@it litz rl,6:31,1,,,1,,
54,Trump the new host of the biggest loser,username@hrtnc33rcc,6:34,1,,1,,,
55,youtube is doing this on purpose...making it hard to hear...,username@nhrCerines,6:35,,,,,,
56,electoral college certifies election results NOT the MEDIA💩,username@mi uoicySy,6:36,,,,,,
57,LOVE YOU BIDEN,username@NiC  eeeie,6:36,,,,,,
58,Why is santa bald????,username@JJooJ aoaD,6:43,1,,,,,
59,imagine having someone beside you doing that the whole time?,username@LHUKSLCBC,6:44,,,,,,
60,eew,username@MtuuUhMggS,6:47,,,,,,
61,Entire election was rigged,username@oGoyyJiaoa,6:47,,,,1,,
62,CULT45 SQUARELY BEHIND THE 🎱 ON THE U.S. ELECTIONS......HES DONE,username@uwwaDsggSS,6:57,,,,,,
63,Busted!,username@gViKnKViep,6:57,,,,,,
64,🤟BYE👋DON👍 2020..ish,username@aavinoainl,6:58,,,,,,
