,message,time_text,author,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,Woooooo Biden won. Finally!,0:33,username@QetQewrtrr,,,,,,
1,lol keep wishing,1:01,username@Tervylpeav,,,,,,
2,trump 4 the people,1:02,username@rLuLTeeaTe,,,,,,
3,USA!!,1:34,username@eC MhMeii,,,,,,
4,PUMP ET UP,1:34,username@AATETMCEAM,,,,,,
5,love our country🌹,2:07,username@MeARRlaaRM,,,,,,
6,anywhere is,2:08,username@해한심시한시룩무룩심,,,,,,
7,Trump 2Q2Q,2:17,username@irru uuaan,,,,,,
8,Continue on President Trump,2:18,username@hmaD ananw,,,,,,
9,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say you that ballot is true?",2:31,username@ eDfufu DD,,,,1,,
10,can't wait for trump to win,3:05,username@gedhiRgars,,,,,,
11,What happen to the smooth trump transition 😆😆😆”bad things happen in Philadelphia”,3:08,username@LILHDaBaPB,,,,,,
12,4 more years!!!!,3:27,username@hapBhnrnuB,,,,,,
13,world needs justice,3:33,username@yiaaaOaz k,,,,,,
14,STOP THE STEAL!!!!,3:42,username@cfg5if5zii,,,,,,
15,Go USA!!!,3:46,username@s sPe sPee,,,,,,
16,Y’all LOST 🐝,3:50,username@ nn onoo o,,,,,,
17,i cant stand this corrupt pompeo,3:50,username@udu raukrr,1,,,,,
18,Philadelphia is full of riggers,3:55,username@ot  aPYPrY,1,,,1,,
19,go go,3:58,username@ouWuBWo uB,,,,,,
20,SATAN ❤ TRUMP,4:02,username@Lrsaaz eai,1,,,,,1
21,Pompeo's the Foreign Minister of Kuwait now?,4:09,username@iilMe uc i,,,,,,
22,Thanks god BIDEN is in! Time to get America back on track. End the embarrassment that trump was,4:10,username@QetQewrtrr,,,,,,
23,watching from Philippines,4:12,username@mhniioicoe,,,,,,
24,"google ""rich man's trick"" documentary",4:19,username@rLuLTeeaTe,,,,,,
25,This is great. Trump 2020,4:22,username@obHooy b.H,,,,,,
26,Biden cheated,4:27,username@rh rBSB SS,1,,,1,,
27,Biden is your president,4:37,username@hmrCetronr,,,,,,
28,You are disgraceful what you did Ethiopian people,4:41,username@byenylbh e,,1,,,,
29,Biden voters hate america,4:42,username@ hehLg gyT,,1,,1,,
30,Bye bye Trump administration lol.,4:52,username@kRRuekGeOO,,,,,,
31,Trump = 1 term embarrassment. The nightmare is finally over. Cue YMCA & inflatable tube man dance,5:02,username@toctdsstot,1,,,,,
32,love biden,5:06,username@peeaeaaBeM,,,,,,
33,Pompe crouppt,5:08,username@orLosoaama,1,,,,,
34,Trump 2020,5:09,username@MKiirvMKtc,,,,,,
35,Who built the cages jo? 😂,5:10,username@  yinysybi,,,,,,
36,When you can back a pr,5:22,username@ntWssmotnm,,,,,,
37,These people don’t care about your health. It’s the NWO crime syndicate.,5:35,username@nn00A0O0iO,,,,,,
38,Biden will undue this relief. Sad for people of Kuwait,5:38,username@ohwsTTAoNa,,,,,,
39,Excellency addressed like a true imperialist,5:47,username@RRRAARRAAR,1,,,1,,
40,trump2024,5:49,username@ ddtdtdddt,,,,,,
41,TRUMP 2020,5:53,username@WWeftW eee,,,,,,
42,Obama built the cages.,5:57,username@cfctadfQ9A,,,,,,
43,@Daisy Chain Family Hub that's still my favorite line too! lol,5:58,username@ snYyaiCiY,,,,,,
44,biden is a joke,6:00,username@biobTsstss,1,,,,,
45,FOX NEWS OR FAKE NEWS. PLEASE NOT SUPPORT THE DEMORALISED PARTY !,6:00,username@TAETVVAAEV,1,,,1,,
46,Stop killing United States citizens In America The police stop killing United States citizens,6:00,username@ dzoneriie,,,,,,
47,ehhhhhh,6:01,username@zamomplzar,,,,,,
48,calm down biden wont get to the white house four more years for Trump,6:01,username@dakdeooadb,,,,,,
49,Great Barrington Declaration - doctors vs lockdownistas,6:09,username@s sPe sPee,1,,,1,,
50,SATAN ❤ KUWAIT,6:13,username@Lrsaaz eai,1,,,,,1
51,The nightmare is just getting started. Brace yourselves ostrich snowflakes!,6:23,username@ntyiennkeF,,,,,,1
52,This just shows Trump will stay our President 2020-2024,6:29,username@tGohhoGrhx,,,,,,
53,Biden will go back to war you people allowed this it sickening,6:37,username@wocrrrcDrr,1,1,,,,
54,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say that ballot is true?",6:41,username@ eDfufu DD,,,,1,,
55,I love America. Thank you so much for voting the clown out. Biden 2020 ❤️❤️❤️🤙,6:41,username@QetQewrtrr,,,,,,
56,Bye Drump pawn boy,6:43,username@ nCn C o o,,,,,,
57,its 7.5 million for bidens transition team right?,6:44,username@udu raukrr,,,,,,
58,.....gn,6:48,username@nah hdLaLn,,,,,,
59,how can you live Biden Ben?? you must look into him . he's signed your country over to communist China. he is a puppet. you should be scared what is happening to your country.,6:58,username@gedhiRgars,,,,1,,
60,Is this another peace deal? Or what?,7:04,username@GmaGGm c G,,,,,,
61,"47 years of nothing , joe is nothing more than nothing!",7:07,username@nesfw  rif,,,,,,
62,People like you will pay,7:07,username@byenylbh e,,,,,,
63,"Yeah, whatever, Pompeo, we know who pays your tab",7:11,username@ nlyaleema,,,,,,
64,Every country executes atrocities against their people in one way or another.,7:18,username@655Cl266rC,,,,,,
65,:yt::yt::yt::yt::yt::yt::yt::yt::yt:,7:27,username@itesl.0.s.,,,,,,
66,america starting another war ?,7:29,username@cimctrnsss,,,,,,
67,"When other countries see how much money can be made by being a democratic republic, they won't want to be anything else! 😀 😀 😀",7:33,username@nsCttoonoi,,,,,,
68,"you want Joe to officially usher in the New World Order? Communist leader Xi would be pleased. You will be tracked everywhere you go, digital currency so you can have no cash to carry and hold,",7:33,username@hfffh fffe,,,,1,,
69,Jim you are funny,7:33,username@ahaT srokS,,,,,,
70,biden is not in at least not yet look at the actual electoral college numbers. biden 35 trump 60 something,7:35,username@maa aSmaCa,,,,,,
71,"Revised Punkpeo ""There will now be a smooth transition to a 1st Biden administration."" 😂😂😂😂🤣🤣👍",7:40,username@edueuuuedd,,,,,,
72,Andrew Cuomo is a dictator,7:51,username@Sa   anzFa,1,,,1,,
73,He's nervous,8:01,username@ ddtdtdddt,,,,,,
74,Great Barrington Declaration - real doctors vs lockdownistas,8:12,username@s sPe sPee,1,,,1,,
75,who else is looking forward to the Great Reset?,8:21,username@cfctadfQ9A,,,,,,
76,RIGGED ELECTION!!!!!!,8:26,username@oHrroaoar7,,,,,,
77,WWE goes to Saudi!,8:27,username@iilMe uc i,1,,,,,
78,"Losers still mad Trump lost, they can't take Ls its sad :c",8:29,username@RRRAARRAAR,,,,,,
79,uneducated people would vote for biden. disgrace to Usa,8:32,username@biobTsstss,1,,                                                                                             ,1,,1
80,ehhh ehhh ehhhhhhhhhh,8:33,username@laaeKn enl,,,,,,
81,All we know is that we don't know the truth,8:37,username@yiaaaOaz k,,,,,,
82,Raise your hand if you remember the Kuwaiti ambassadors daughter lying to the American public about Iraqis throwing babies out of incubator?,8:38,username@tce1ro8rr1,,,,,,
