Unnamed: 0,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,username@QetQewrtrr,Woooooo Biden won. Finally!,00:33:00,,,,,,
1,username@Tervylpeav,lol keep wishing,01:01:00,,,,,,
2,username@rLuLTeeaTe,trump 4 the people,01:02:00,,,,,,
3,username@eC MhMeii,USA!!,01:34:00,,,,,,
4,username@AATETMCEAM,PUMP ET UP,01:34:00,,,,,,
5,username@MeARRlaaRM,love our country🌹,02:07:00,,,,,,
6,username@해한심시한시룩무룩심,anywhere is,02:08:00,,,,,,
7,username@irru uuaan,Trump 2Q2Q,02:17:00,,,,,,
8,username@hmaD ananw,Continue on President Trump,02:18:00,,,,,,
9,username@ eDfufu DD,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say you that ballot is true?",02:31:00,,,,,,
10,username@gedhiRgars,can't wait for trump to win,03:05:00,,,,,,
11,username@LILHDaBaPB,What happen to the smooth trump transition 😆😆😆”bad things happen in Philadelphia”,03:08:00,,,,,,
12,username@hapBhnrnuB,4 more years!!!!,03:27:00,,,,,,
13,username@yiaaaOaz k,world needs justice,03:33:00,,,,,,
14,username@cfg5if5zii,STOP THE STEAL!!!!,03:42:00,,,,,,
15,username@s sPe sPee,Go USA!!!,03:46:00,,,,,,
16,username@ nn onoo o,Y’all LOST 🐝,03:50:00,,,,,,
17,username@udu raukrr,i cant stand this corrupt pompeo,03:50:00,,,,,,
18,username@ot  aPYPrY,Philadelphia is full of riggers,03:55:00,,1.0,,,,
19,username@ouWuBWo uB,go go,03:58:00,,,,,,
20,username@Lrsaaz eai,SATAN ❤ TRUMP,04:02:00,,,,,,
21,username@iilMe uc i,Pompeo's the Foreign Minister of Kuwait now?,04:09:00,,,,,,
22,username@QetQewrtrr,Thanks god BIDEN is in! Time to get America back on track. End the embarrassment that trump was,04:10:00,,,,,,
23,username@mhniioicoe,watching from Philippines,04:12:00,,,,,,
24,username@rLuLTeeaTe,"google ""rich man's trick"" documentary",04:19:00,,,,,,
25,username@obHooy b.H,This is great. Trump 2020,04:22:00,,,,,,
26,username@rh rBSB SS,Biden cheated,04:27:00,,,,1.0,,
27,username@hmrCetronr,Biden is your president,04:37:00,,,,,,
28,username@byenylbh e,You are disgraceful what you did Ethiopian people,04:41:00,,,,,,
29,username@ hehLg gyT,Biden voters hate america,04:42:00,,,,,,
30,username@kRRuekGeOO,Bye bye Trump administration lol.,04:52:00,,,,,,
31,username@toctdsstot,Trump = 1 term embarrassment. The nightmare is finally over. Cue YMCA & inflatable tube man dance,05:02:00,,,,,,
32,username@peeaeaaBeM,love biden,05:06:00,,,,,,
33,username@orLosoaama,Pompe crouppt,05:08:00,,,,,,
34,username@MKiirvMKtc,Trump 2020,05:09:00,,,,,,
35,username@  yinysybi,Who built the cages jo? 😂,05:10:00,,,,,,
36,username@ntWssmotnm,When you can back a pr,05:22:00,,,,,,
37,username@nn00A0O0iO,These people don’t care about your health. It’s the NWO crime syndicate.,05:35:00,,,,1.0,,
