Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,ayyyy,username@HtHrtytytr,00:00:00,,,,,,
1,:_pewdieDuck::_pewdieDuck::_pewdieDuck::_pewdieDuck:,username@ei.lteiiik,00:01:00,,,,,,
2,:_pewdieRicardo:,username@조조이이이아아조낌조,00:02:00,,,,,,
3,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@2jij33a2ij,00:03:00,,,,,,
4,Late gang,username@r DkUDUr t,00:07:00,,,,,,
5,corpse :_pewdieSIMP:,username@Ammhmmhyem,00:10:00,,,,,,
6,Yess phasmophobia with corpse could be awesome !!,username@eoezeAAezz,00:11:00,,,,,,
7,"if you were turned into an animal, what would it be and why",username@tK  ohhlot,00:13:00,,,,,,
8,:_pewdieBrofist:,username@eeZeDZeeZZ,00:14:00,,,,,,
9,phasmophobia vr is pog,username@onKmleKmKn,00:14:00,,,,,,
10,:_pewdieBrofist2::_pewdieBrofist2:,username@Caan0Sn0a7,00:15:00,,,,,,
11,:_pewdieBrofist:,username@arroroNaia,00:15:00,,,,,,
12,:_pewdieReee:,username@usiiianina,00:18:00,,,,,,
13,on time baby,username@l ilRR lml,00:19:00,,,,,,
14,hey floor gang,username@2jij33a2ij,00:20:00,,,,,,
15,yoooo i cant stay up this late lol,username@ei.lteiiik,00:21:00,,,,,,
16,"cmoooon start the stream, i wanna eat my cereal while watching",username@uGdudGAuyy,00:23:00,,,,,,
17,i got a tampon ad wtf?!,username@nala yyeyn,00:25:00,,,,,,1.0
18,:_pewdieFloorGang2:,username@1_01_01116,00:25:00,,,,,,
19,I'm a member😎,username@e lirEihlr,00:26:00,,,,,,
20,:_pewdieBrofist:,username@mmNyNeNmmN,00:26:00,,,,,,
21,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@mRr aKaaRe,00:26:00,,,,,,
22,:_pewdieRip::_pewdieRip:,username@ohroA idAa,00:27:00,,,,1.0,,
23,:_pewdieFloorGang2:,username@jhihheiije,00:28:00,,,,,,
24,yah a add,username@svamoiahhi,00:28:00,,,,,,
25,epicc,username@l00000ll0l,00:29:00,,,,,,
26,Yes let’s goooo,username@oxaoCCoaoo,00:29:00,,,,,,
27,hallooo,username@mzmnmmm zz,00:30:00,,,,,,
28,omg scare pewdiepie season 2 is out finally,username@JJaJyyJJay,00:31:00,,,,,,
29,good early morning from PH!,username@rAdbdAamrd,00:31:00,,,,,,
30,BIRTHDAY GANG,username@RReKaeyKRg,00:31:00,,,,,,
31,is rh 15th of october like most common birth day or smn XDXD ? because there is like 3 + me who has bday today xD,username@Atl k kAkk,00:31:00,,,,,,
32,lmao which one of you found my art account and commented on it saying i was on stream,username@knooin gnk,00:33:00,,,,,,
33,hello bros ^^,username@BkhhrnaBBg,00:33:00,,,,,,
34,HEYYYYYYYY,username@ncNiNiirio,00:34:00,,,,,,
35,aaaaand to the commerciaals,username@e h oaahho,00:34:00,,,,,,
36,YEEEEEEEEE,username@ehLL anaon,00:35:00,,,,,,
37,Love All You Guys,username@coJaapohes,00:37:00,,,,,,
38,❤️,username@srnsnuiuue,00:37:00,,,,,,
39,early gang,username@ZeZuoZFrZo,00:37:00,,,,,,
40,FLOOR GANG OUH OUH hope everyone's doing good ❤,username@guor f l r,00:37:00,,,,,,
41,jigggyy,username@ rnLipu gg,00:38:00,,,1.0,,,
42,Eyyyy,username@ o eaDahhr,00:38:00,,,,,,
43,WOO!,username@r DkUDUr t,00:38:00,,,,,,
44,:_pewdieRip:,username@ohroA idAa,00:39:00,,,,1.0,,
45,oof ad time,username@jhihheiije,00:39:00,,,,,,
46,Hello guys,username@Waafo LWiv,00:41:00,,,,,,
47,that’s so dope,username@eDeeeogoge,00:41:00,,,,,,1.0
48,I'm eating my dinner now 😀,username@  TZsTTr h,00:42:00,,,,,,
49,early gang,username@_x_nxxo_iX,00:43:00,,,,,,
50,Sweeeet,username@aaoaaekawk,00:44:00,,,,,,
51,hiii,username@nallallnnl,00:45:00,,,,,,
52,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@rAdbdAamrd,00:46:00,,,,,,
53,yessir,username@n R gaRlea,00:48:00,,,,,,
54,Sup,username@xxv9r9xaxa,00:48:00,,,,,,
55,:_pewdieLeg::_pewdieLeg::_pewdieLeg::_pewdieLeg::_pewdieRip:,username@ rnLipu gg,00:48:00,,,,1.0,,
56,ayyo,username@jeeaajdejd,00:48:00,,,,,,
57,FLOOR GANG,username@tii  BBLaa,00:49:00,,,,,,
58,LATE,username@ntrttrIeee,00:49:00,,,,,,
59,EARLY GANG OUH,username@guor f l r,00:50:00,,,,,,
60,epic,username@SivvmvneKi,00:50:00,,,,,,
61,Sup bros,username@mmNyNeNmmN,00:50:00,,,,,,
62,:_pewdieReee:,username@lelMniZtni,00:51:00,,,,,,
63,Ayyyyyy,username@TTTrrircia,00:51:00,,,,,,
64,jiggy jiggy gang,username@eeZeDZeeZZ,00:51:00,,,1.0,,,
65,on time gang,username@mzmnmmm zz,00:51:00,,,,,,
66,FLOOR FANGGG,username@cwcaeenadd,00:52:00,,,,,,
67,:_pewdieRip:,username@ry eedEpre,00:53:00,,,,1.0,,
68,my birthday is after 2 days !! ^^,username@nallallnnl,00:53:00,,,,,,
69,hey pewpew,username@aLaLurLruu,00:53:00,,,,,,
70,POG,username@ZhoA ZooZh,00:53:00,,,1.0,,,
71,Hi guys,username@ o eaDahhr,00:53:00,,,,,,
72,Yoooo,username@qqyccuipip,00:54:00,,,,,,
73,WHATS UP GAMERS,username@k evvkkaie,00:55:00,,,,,,
74,yeeeeeeeeez,username@ga AgrrrAR,00:55:00,,,,,,
75,:_pewdieJörgen:,username@gghyJ_oyJ_,00:55:00,,,,,,
76,good apetit,username@조조이이이아아조낌조,00:57:00,,,,,,
77,flooooorgannnnng,username@ybfeeBabeb,00:58:00,,,,,,
78,lag gang,username@CwoCnhowhw,00:58:00,,,,,,
79,HERE WE GO HOOLLLLLLYYYYYYY,username@Ammhmmhyem,00:58:00,,,,,,
80,WeirdThumbGang,username@nahaiiinna,00:58:00,,,,,,
81,this where chat goes insane?,username@biDDAebb,00:58:00,,,,1.0,,
82,hi gang,username@jcroooanon,00:59:00,,,,,,
83,WOOHOO,username@A aAiA iAi,00:59:00,,,,,,
84,yo guys wassup,username@ GiBgansm,01:00:00,,,,,,
85,ayeeee,username@idiakdk  l,01:02:00,,,,,,
86,:_pewdieLeg2::_pewdieLeg2::_pewdieLeg2::_pewdieLeg2:,username@tCaaCrrasl,01:02:00,,,,,,
87,HI PEWDS ❤ ❤ ❤,username@LiuuLLuiii,01:02:00,,,,,,
88,Sup bros,username@k evvkkaie,01:03:00,,,,,,
89,Hi,username@aleMiiMmia,01:03:00,,,,,,
90,What’s popping,username@qqyccuipip,01:03:00,,,,,,
91,Wtf,username@HvhdorBåro,01:03:00,,,,,,1.0
92,hi,username@ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,01:03:00,,,,,,
93,:_pewdieOUH::_pewdieOUH::_pewdieOUH:,username@ry eedEpre,01:03:00,,,,,,
94,Ayo good morning logang whats poppin!!??,username@unnntnuue,01:03:00,,,,,,
95,lettsogo mario,username@l ilRR lml,01:04:00,,,,,,
96,member gannnnnng,username@leehoooToC,01:04:00,,,,,,
97,❤️❤️❤️❤️❤️,username@srnsnuiuue,01:04:00,,,,,,
98,Greetings,username@seCehsehen,01:05:00,,,,,,
99,Hey ho,username@twavaeatGe,01:05:00,,,,,,
100,finally,username@CichdoNadd,01:06:00,,,,,,
101,Yoooo,username@i iuouDeni,01:07:00,,,,,,
102,eyyyt,username@eeenDeeiDe,01:07:00,,,,,,
103,hihihi,username@nemKmsnnTt,01:07:00,,,,,,
104,Æ,username@alfTEuloe,01:08:00,,1.0,,,,
105,so SATISFYING,username@onhohnnnnt,01:08:00,,,,,,
106,hello everyone,username@iyiiwyteor,01:08:00,,,,,,
107,hey,username@AAuluaAuuu,01:09:00,,,,,,
108,Hi!!,username@oMagManana,01:09:00,,,,,,
109,Hello,username@tItgAsIDID,01:09:00,,,,,,
110,:_pewdieHead2::_pewdieTorso2::_pewdieLeg2:,username@l00000ll0l,01:10:00,,,,,,
111,:_pewdieEdgar2:,username@SivvmvneKi,01:12:00,,,,,,
112,let me know if you need any data science work done. guessing you already have it based on previous things you have said,username@JoJua6su6s,01:12:00,,,,,,
113,hiii,username@brMoMMnerr,01:13:00,,,,,,
114,I joined member :D,username@乇乇尺Ꮆ尺尺卂尺尺乇,01:13:00,,,,,,
115,chat gang,username@ll  aay a,01:13:00,,,,,,
116,:_pewdieFloorGang2::_pewdieOUH:,username@nt iy  nnr,01:13:00,,,,,,
117,Floor gang,username@k evvkkaie,01:14:00,,,,,,
118,let's gooooo,username@iSllAShuff,01:15:00,,,,,,
119,perfect time i'm literally going to bed,username@ZeZuoZFrZo,01:15:00,,,,,,
120,Hey Hey!!!,username@l0orw0aorl,01:16:00,,,,,,
121,Those bird sounds are reminding me of morning and I hate it,username@ooEoh aEN,01:16:00,,,,,,1.0
122,Yu,username@F rg Bae F,01:16:00,,,,,,
123,Hii,username@X E lle ll,01:17:00,,,,,,
124,Broooooooo this is gonna be soooo good,username@laoksgnngt,01:17:00,,,,,,
125,what's up fellow gamers,username@OM EMMAAGO,01:17:00,,,,,,
126,ayyy let’s go:_pewdieOUH:,username@imimxxioei,01:17:00,,,,,,
127,great to be here,username@bnhnoiffhe,01:17:00,,,,,,
128,hey guyz,username@ln?nsgn  s,01:17:00,,,,,,
129,😀,username@bmFn-mlnoo,01:18:00,,,,,,
130,happy Birthday leeeeenaaaaaa 🎂,username@ybfeeBabeb,01:18:00,,,,,,
131,:_pewdieYoYo1::_pewdieFloorGang2::_pewdieOUH::_pewdieMelon::_pewdieJojoNO::_pewdieUh1::_pewdieJojoNO::_pewdieFloorGang2::_pewdieBoosh:,username@ZhoA ZooZh,01:19:00,,,,,,
132,eyyy ken,username@l ilRR lml,01:19:00,,,,,,
133,yooooo,username@ajiadmi mu,01:19:00,,,,,,
134,nice animation,username@JJoJJJJJJo,01:19:00,,,,,,
135,yooooooooo guysss🙏🙏,username@iiiaiiiuiu,01:19:00,,,,,,
136,hi ken !!!,username@nallallnnl,01:19:00,,,,,,
137,startt it ],username@kdh moshea,01:20:00,1.0,,,,,
138,floor gang,username@EVEV  EE,01:20:00,,,,,,
139,Hey,username@rraavahrvV,01:22:00,,,,,,
140,sup :_pewdieFloorGang2:,username@AniiAn cng,01:23:00,,,,,,
141,yoooo,username@ad!BdaaBdz,01:23:00,,,,,,
142,Yooooooooo,username@s timJstin,01:24:00,,,,,,
143,imagine beiang a member:_pewdieBrofist::_pewdieBrofist:,username@ rnLipu gg,01:24:00,,,,,,
144,:_pewdieFloorGang::_pewdieFloorGang:,username@ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,01:24:00,,,,,,
145,omfg i'm so excited,username@eleellmlle,01:24:00,,,,,,1.0
146,WHAT TIER AM I IN?,username@rLitderenJ,01:24:00,,,,,,
147,Hey Ken ☺️,username@xss oxos J,01:24:00,,,,,,
