Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
3000,LMAO,username@RanGloeGrG,17:57:00,,,,,,
3001,Marziaaaa,username@atantmEmpm,17:57:00,,,,,,
3002,Is it her telling we can’t see anything,username@nMn eLMiMM,17:57:00,,,,,,
3003,Edgar!,username@mhobhdnbeh,17:57:00,,,,,,
3004,:_pewdieElon::_pewdieElon:,username@Gununti on,17:58:00,,,,,,
3005,marzia's knock scared me,username@J svnSSnua,17:58:00,,,,,,
3006,EDGAR,username@lyrlKrnK s,17:58:00,,,,,,
3007,LEG GANG,username@ueDor baDe,17:58:00,,,,,,
3008,Are we supposed to see ur screen,username@NyNeNNyhNy,17:59:00,,,,,,
3009,edgar,username@    os moe,17:59:00,,,,,,
3010,pewdss hahaha,username@hsehCiB ui,18:00:00,,,,,,
3011,Felix gonna fall over Edgar,username@zziPzizPPz,18:00:00,,,,,,
3012,marzia hand ?,username@mrr rAmAar,18:00:00,,,,,,
3013,:_pewdieFloorGang:,username@'owhw so??,18:00:00,,,,,,
3014,EDGAR,username@reAAererrk,18:01:00,,,,,,
3015,:_pewdieReee:,username@eosrlesaoe,18:01:00,,,,,,
3016,We dont see the screen?,username@cDcNcc-NcD,18:01:00,,,,,,
3017,1,username@zziPzizPPz,18:02:00,,,,,,
3018,:_pewdieWat::_pewdieWat::_pewdieWat:,username@mGraaeaDaa,18:03:00,,,,,,
3019,are ya winning felix,username@l  lGwlGG,18:03:00,,,,,,
3020,edgaaaar,username@rasBunsBBu,18:03:00,,,,,,
3021,59478,username@aGuVVGaaGG,18:04:00,,,,,,
3022,Bro she should scare him,username@atantmEmpm,18:05:00,,,,,,
3023,edgar!,username@felllllefl,18:05:00,,,,,,
3024,👁👄👁,username@oJ aC  oaa,18:05:00,,,,,,
3025,what a king i love you,username@aH u HfnHe,18:06:00,,,,,,
3026,marzia!,username@AAhrtmThan,18:07:00,,,,,,
3027,he said we setting up dont worry,username@Gia AaGlla,18:07:00,,,,,,
3028,591,username@ongitPiSie,18:07:00,,,,,,
3029,PEWDS WE CANT SEEEEEE,username@NyNeNNyhNy,18:08:00,,,,,,
3030,:_pewdieHead2::_pewdieTorso2::_pewdieLeg2::_pewdieHead2::_pewdieTorso2::_pewdieLeg2:,username@ahhchshiuh,18:08:00,,,,,,
3031,PUGS,username@Pelireglie,18:08:00,,,,,,
3032,MIRROR GANG,username@lCCaleaylb,18:09:00,,,,,,
3033,local voice chat is enabled my default,username@onKmleKmKn,18:09:00,,,,,,
3034,marzia like FELIX,username@torootooHo,18:10:00,,,,,,
3035,that knock almost killed me,username@ nBuauaBrr,18:10:00,,,,,,
3036,EDGAR GANG,username@BehhrnBina,18:10:00,,,,,,
3037,i think its 2+2 is 4 minus 1 is 3,username@ d88 drRyy,18:12:00,,,,,,
3038,edgar wanted to come in,username@setsKtspso,18:12:00,,,,,,
3039,is anyone else in class?,username@hDrrCehXrr,18:13:00,,,,,,
3040,are ya winning son,username@l  lGwlGG,18:13:00,,,,,,
3041,EDGAR,username@yaa e KNKK,18:14:00,,,,,,
3042,Marzia attack,username@atantmEmpm,18:14:00,,,,,,
3043,I've got a bad feeling any this,username@hkniiSPSah,18:14:00,,,,,,
3044,what is Marzia worried about with felix lol,username@ByyyeyoBoe,18:15:00,,,,,,
3045,who's gonna tell him,username@hsehCiB ui,18:15:00,,,,,,
3046,dont step on edgar,username@aAanızazlı,18:15:00,,,,,,
3047,EDGAR! ❤,username@cnMlëm ili,18:16:00,,,,,,
3048,YES,username@aea'aOa en,18:17:00,,,,,,
3049,PEWDS,username@NyNeNNyhNy,18:17:00,,,,,,
3050,hes setting it up,username@nrTrlnilnr,18:17:00,,,,,,
3051,59178,username@BehhrnBina,18:18:00,,,,,,
3052,AYYYYY,username@ueDor baDe,18:18:00,,,,,,
3053,lol marzia told him that we can't see the game :_pewdiePewd:,username@ssasm aana,18:18:00,,,,,,
3054,Pewds has legs?! Must be photoshopped,username@l28nl22l2r,18:18:00,,,,,,
3055,I wanna watch you play. I don't want to join you and ruin it,username@biDDAebb,18:19:00,,,,,,
3056,"marzia if u see this, pls scare pewds while hes playing",username@hiinainnas,18:19:00,,,,,,
3057,NICE,username@nMn eLMiMM,18:21:00,,,,,,
3058,we can see it now,username@eerbryebrr,18:24:00,,,,,,
3059,there,username@torootooHo,18:24:00,,,,,,
3060,"can we get some ""Jiggy jiggy"" in the chat",username@oomKkkmiKz,18:26:00,,,,,,
3061,pogghers,username@repesrAett,18:27:00,,,,,,
3062,hello all,username@rrairrrair,18:27:00,,,,,,
3063,Hoo,username@AiAzzmAmm,18:28:00,,,,,,
3064,Legend,username@nMn eLMiMM,18:30:00,,,,,,
3065,toolbelt,username@onKmleKmKn,18:32:00,,,,,,
3066,:_pewdieEdgar2:,username@мдфооой лм,18:32:00,,,,,,
3067,remove the border,username@ueDor baDe,18:32:00,,,,,,
3068,Already off to a scary start haha,username@xss oxos J,18:32:00,,,,,,
3069,Is that a VR in your shorts or are you happy to see us?,username@trtEluuNar,18:32:00,,,,,,
3070,:_pewdieOUH::_pewdieOUH::_pewdieOUH:,username@_h_mmampma,18:32:00,,,,,,
3071,ayy,username@NajaaNuaat,18:34:00,,,,,,
3072,jacks quiet,username@LSSSaSSL,18:34:00,,,,,,
3073,can't hear Jack!!!!,username@eeeeeeeett,18:34:00,,,,,,
3074,can yo usay im proud of you kid,username@1m66rm616m,18:35:00,,,,,,
3075,"u, vr? nice",username@rrairrrair,18:35:00,,,,,,
3076,jiggy jiggu,username@AAhrtmThan,18:36:00,,,,,,
3077,this people are impatient,username@htnaasncan,18:36:00,,,,,,
3078,69420,username@nancPiloB,18:37:00,,,,,,
3079,Edgar:_pewdieEdgar2::_pewdieEdgar2::_pewdieEdgar2:,username@fmrxgfmuiu,18:37:00,,,,,,
3080,JIGGY JIGGY,username@Neelg rer,18:38:00,,,,,,
3081,"Want to join the PewDiePie Discord server? Make sure to connect your YouTube account to your Discord, by following these steps: Go to Discord on desktop --> User Settings --> Connections --> YouTube.",username@htithhttbo,18:38:00,,,,,,
3082,Hoooooppppsss,username@l28nl22l2r,18:40:00,,,,,,
3083,touching touch,username@ nBuauaBrr,18:42:00,,,,,,
3084,jesus what is this,username@nemKmsnnTt,18:42:00,,,,,,
3085,hoop gang,username@l  lGwlGG,18:43:00,,,,,,
3086,TOuch ToUch TouCh ✋,username@aea'aOa en,18:44:00,,,,,,
3087,No PP gang,username@ehhLeoRopo,18:45:00,,,,,,
3088,JIGGY JIGGY WITH SEAN,username@PenrPeeena,18:46:00,,,,,,
3089,LMAOOO,username@RiiRey eim,18:48:00,,,,,,
3090,lmao,username@Loovooovov,18:49:00,,,,,,
3091,:_pewdieSven:,username@oiopxop oi,18:49:00,,,,,,
3092,Lolll,username@xss oxos J,18:49:00,,,,,,
3093,jiggy jiggy,username@oomKkkmiKz,18:49:00,,,,,,
3094,jiggy jiggy,username@sM Muhuh,18:50:00,,,,,,
3095,jack too quite,username@StAhthyhdd,18:50:00,,,,,,
3096,the cam,username@JJaJyyJJay,18:51:00,,,,,,
3097,lmfao VR,username@cccJocoJbb,18:51:00,,,,,,
3098,jiggy jiggy jack,username@mrr rAmAar,18:51:00,,,,,,
3099,I’m scared,username@lyrlKrnK s,18:52:00,,,,,,
3100,All hail Queen Marzia 🥺❤️❤️❤️,username@Pelireglie,18:54:00,,,,,,
3101,well,username@ Mssy  iM,18:55:00,,,,,,
3102,KEN,username@1m66rm616m,18:55:00,,,,,,
3103,marzia so pretty,username@AAhrtmThan,18:55:00,,,,,,
3104,👋,username@meBbmrbmee,18:55:00,,,,,,
3105,remove the border its distracting,username@ueDor baDe,18:55:00,,,,,,
3106,HOOP,username@BehhrnBina,18:56:00,,,,,,
3107,is it lagging?,username@aosoTPúálo,18:56:00,,,,,,
3108,Felix in the mirror is beautiful,username@atantmEmpm,18:56:00,,,,,,
3109,Jack is low,username@llWekleW r,18:57:00,,,,,,
3110,@Thomas Gianasso forreal? LMAO marzia is areal one,username@ByyyeyoBoe,18:59:00,,,,,,
3111,WE NEED KEN SAN,username@RReKaeyKRg,18:59:00,,,,,,
3112,Ken here now lol,username@et thShyeS,19:00:00,,,,,,
3113,HEy KEn,username@nancPiloB,19:00:00,,,,,,
3114,Hej hej,username@nMn eLMiMM,19:00:00,,,,,,
3115,HOOP GANG,username@l  lGwlGG,19:01:00,,,,,,
3116,Lmaooo ken,username@oJ aC  oaa,19:01:00,,,,,,
3117,border?,username@o yesRnalR,19:01:00,,,,,,
3118,@CinnamonToastKen Ken join!,username@aarMZuxrb,19:02:00,,,,,,
3119,:_pewdieSlippy:,username@wgowS oaow,19:02:00,,,,,,
3120,:_pewdieDuck::_pewdieDuck:,username@NajaaNuaat,19:03:00,,,,,,
3121,KEN!!!!,username@oao22opapa,19:03:00,,,,,,
3122,jiggy jiggy,username@RnReeRenRR,19:03:00,,,,,,
3123,Hey Bomber,username@Loovooovov,19:03:00,,,,,,
3124,hi Ken,username@LSSSaSSL,19:04:00,,,,,,
3125,wait where is Edgar cam?,username@fmrxgfmuiu,19:05:00,,,,,,
3126,:_pewdieRip::_pewdieRip:,username@aH u HfnHe,19:06:00,,,,,,
3127,I have been member for 4 months today,username@repesrAett,19:07:00,,,,,,
3128,Can pewds see chat,username@bbllBBbaar,19:08:00,,,,,,
3129,Lol ken is here,username@et thShyeS,19:08:00,,,,,,
3130,Marzia:_pewdieOUH:,username@ri_iirii_i,19:09:00,,,,,,
3131,aw ffs,username@Loovooovov,19:09:00,,,,,,
3132,deaf,username@Neelg rer,19:09:00,,,,,,
3133,My god it’s too powerful! It gonna kills,username@l28nl22l2r,19:10:00,,,,,,
