Unnamed: 0,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
2000,username@tBoBtorSSt,Pete is fuckeddddd,01:02:51,,,,,,1.0
2001,username@ 8 U  NN U,.,01:02:53,,,,,,
2002,username@Sc eeeeede,Pc and iOS,01:02:53,,,,,,
2003,username@vie eDh  D,#deluxe4stupid,01:02:54,,,,,,
2004,username@  kllcyAal,Pete’s throwing,01:02:54,,,,,,
2005,username@bbobbyboob,gn,01:02:55,,,,,,
2006,username@omnhaa nyL,HELLOOO,01:02:55,,,,,,
2007,username@gsC grChWC,Piccckkllllleeee rrriiiickkkkkkk,01:02:56,,,,,,
2008,username@k  kTkka i,Nasty was on the the bottom left of the map when you got the double kill? Then how do they not know Nasty is 100% safe? lol,01:02:59,,,,,,
2009,username@ayHtsrerHr,(;,01:03:03,,,,,,
2010,username@wpppww,lmfao pete has no sus somehow,01:03:03,,,,,,
2011,username@gttYkYYege,Hey nogla I love your vids man I’m your biggest fan,01:03:05,,,,,,
2012,username@ereElreuru,"Ahh yes, so glad to see you live streaming this, you lot playing this is jokes 😆",01:03:06,,,,,,
2013,username@ipyopelaey,he could kill McNasty then kill one of the other two,01:03:06,,,,,,
2014,username@aaaeyevney,hi love u from india,01:03:08,,,,,,
2015,username@rAS14.rSoA,Hi,01:03:10,,,,,,
2016,username@tBoBtorSSt,#BelieveInNogla,01:03:18,,,,,,
2017,username@ 8 U  NN U,.,01:03:19,,,,,,
2018,username@aaqej jav,He is stuck,01:03:23,,,,,,
2019,username@sasnyansna,yeetjection time,01:03:26,,,,,,
2020,username@ebnbysnysu,Penis,01:03:27,,,,,,
2021,username@gsC grChWC,Piiicckkklllleeeee rriiiicckkkkkk,01:03:29,,,,,,
2022,username@laeMxxelMA,Hard throw,01:03:35,,,,,,
2023,username@rlrrB   ee,f,01:03:38,,,,,,
2024,username@ 8 U  NN U,.,01:03:40,,,,,,
2025,username@bbobbyboob,every one say plop,01:03:41,,,,,,
2026,username@ EDNTD TDO,hey bro,01:03:44,,,,,,
2027,username@BeBBehtttB,Lmaooo,01:03:46,,,,,,
2028,username@aBBeeaBarr,f,01:03:50,,,,,,
2029,username@EtetBtde d,f,01:03:51,,,,,,
2030,username@ayHtsrerHr,Alex what is that pic 😆,01:03:51,,,,,,
2031,username@raieiiirrA,VOHPTQ on North America! Blubs Nation Live Now!! Tune in and we can play all night! Join my discord to chat too!! Avery#8189 ❤ ❤,01:03:52,,,,,,
2032,username@zm CaraRze,lmaoooo,01:03:52,,,,,,
2033,username@wpppww,vent already pete,01:03:52,,,,,,
2034,username@sasnyansna,he is geting angry doe,01:03:53,,,,,,
2035,username@zdna oLozd,f in chat boys,01:03:54,,,,,,
2036,username@rryesCerra,f,01:03:54,,,,,,
2037,username@E L 7zN7zN,F,01:03:57,,,,,,
2038,username@wawewtdtaa,Lmfao,01:03:57,,,,,,
2039,username@ammYamYYmY,he's throwing lmao,01:03:58,,,,,,
2040,username@ tiatiejet,F,01:03:58,,,,,,
2041,username@ Ail lxlMA,F,01:03:58,,,,,,
2042,username@yiQaQmmBru,lmao F,01:03:59,,,,,,
2043,username@lulf lofg,huya,01:03:59,,,,,,
2044,username@PK aPRPPaP,kwkwkw icant,01:03:59,,,,,,
2045,username@ eaaayael,f,01:03:59,,,,,,
2046,username@ e ei eTeT,Ouch,01:04:01,,,,,,
2047,username@oalnegnlan,nogla losing his shit hahahahaha,01:04:01,,,,,,
2048,username@ln nFaomtF,pete is a fuckin idiot...,01:04:02,,1.0,,,,
2049,username@ mlzilllzi,F,01:04:02,,,,,,
2050,username@SSSheddohh,f,01:04:03,,,,,,
2051,username@ttrnMiaTaT,he's so mad lolll,01:04:03,,,,,,
2052,username@stncsphhhn,PETE!!!!,01:04:04,,,,,,
2053,username@ tbelltlia,F,01:04:04,,,,,,
2054,username@23B2mmk53a,PETE,01:04:07,,,,,,
2055,username@roeMMM ore,PETE,01:04:07,,,,,,
2056,username@olleolello,pete eat feet,01:04:08,,,,,,
2057,username@gsC grChWC,F,01:04:08,,,,,,
2058,username@rlrrB   ee,f,01:04:08,,,,,,
