Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
6000,:_pewdieFace::_pewdieFace::_pewdieFace:,username@pppk rahsi,1900-01-02 06:15:00,,,,,,
6001,yes,username@tr  oiphiC,1900-01-02 06:16:00,,,,,,
6002,:_pewdieTambo::_pewdieTambo:,username@nupPrriS i,1900-01-02 06:17:00,,,,,,
6003,yes,username@PGa  a Paa,1900-01-02 06:17:00,,,,,,
6004,Noice,username@ddEcCC  ad,1900-01-02 06:18:00,,,,,,
6005,lol,username@rrulurrrpl,1900-01-02 06:19:00,,,,,,
6006,irish scary noises,username@iyiiwyteor,1900-01-02 06:23:00,,,,,,
6007,:_pewdieSmolpp:,username@asmmaeneme,1900-01-02 06:23:00,,,,,,
6008,CAN CONFIRM,username@ ereAlm el,1900-01-02 06:23:00,,,,,,
6009,He didn’t wash his hands,username@pasei gale,1900-01-02 06:24:00,,,,,,
6010,THIRD TIER is BEST,username@5wHw5akHH0,1900-01-02 06:26:00,,,,,,
6011,flooooor gnggg,username@SPyattaPot,1900-01-02 06:27:00,,,,,,
6012,At least there's no jump scare music...,username@ LactSSayt,1900-01-02 06:28:00,,,,,,
6013,h,username@J nno.h.R.,1900-01-02 06:33:00,,,,,,
6014,NO,username@ia P PPebe,1900-01-02 06:34:00,,,,,,
6015,:_pewdieFloorGang::_pewdieOUH:,username@aÁiiaali,1900-01-02 06:34:00,,,,,,
6016,IF YOU SEND ENOUGH CAPS,username@5wHw5akHH0,1900-01-02 06:40:00,,,,,,
6017,Noooo I’m late. I took a nap :_pewdieReee:,username@edEred dEp,1900-01-02 06:40:00,,,,,,
6018,Pewds is playing with: @Jacksepticeye,username@htithhttbo,1900-01-02 06:41:00,,,,,,
6019,no sleep gang,username@ppleaaioGM,1900-01-02 06:41:00,,,,,,
6020,:_pewdieHead2::_pewdieTorso2::_pewdieLeg2:,username@rdottraBya,1900-01-02 06:42:00,,,,,,
6021,:_pewdieEdgar2::_pewdieEdgar2::_pewdieEdgar2:,username@JoonJonoJo,1900-01-02 06:43:00,,,,,,
6022,Sean is having a heart attack while Felix is trying to fix his cursor.,username@Dzllabylez,1900-01-02 06:48:00,,,,,,
6023,ISSA POLTERGEIST,username@evKeaKuKse,1900-01-02 06:49:00,,,,,,
6024,He didn’t wash his hands,username@pasei gale,1900-01-02 06:51:00,,,,,,
6025,does he have a strong flashlight yet?!,username@cCherokroe,1900-01-02 06:52:00,,,,,,
6026,don't they have a thermometer?,username@ MM AAM MA,1900-01-02 06:56:00,,,,,,
6027,no sleep gang!,username@веинвлмкКА,1900-01-02 06:56:00,,,,,,
6028,:_pewdieJörgen:,username@eJaatnnlnJ,1900-01-02 06:58:00,,,,,,
6029,Look,username@BrGBerBaa,1900-01-02 06:59:00,,,,,,
6030,IF YOU SEND LONG MESSAGE WITH CAPS,username@5wHw5akHH0,1900-01-02 07:00:00,,,,,,
6031,please fix audio delay,username@eiielulLws,1900-01-02 07:01:00,,,,,,
6032,THEN BLOCK,username@5wHw5akHH0,1900-01-02 07:04:00,,,,,,
6033,BALDI,username@Neelg rer,1900-01-02 07:09:00,,,,,,
6034,1 AM gang,username@htaCPtt hi,1900-01-02 07:09:00,,,,,,
6035,Forgot,username@Jazasmbmbz,1900-01-02 07:10:00,,,,,,
6036,They don't realize they can turn the lights on haha,username@cCherokroe,1900-01-02 07:11:00,,,,,,
6037,IM SCARED,username@cwcaeenadd,1900-01-02 07:12:00,,,,,,
6038,Hi,username@izzzzziznz,1900-01-02 07:12:00,,,,,,
6039,have you guys even played phasmo if u did u would understand y its dark,username@SAESLGGGDA,1900-01-02 07:13:00,,,,,,
6040,i dont remember,username@RiiRey eim,1900-01-02 07:14:00,,,,,,
6041,👉👈,username@iyiiwyteor,1900-01-02 07:15:00,,,,,,
6042,please fix audio delay,username@_x_nxxo_iX,1900-01-02 07:16:00,,,,,,
6043,Baldi is coming !,username@Neelg rer,1900-01-02 07:17:00,,,,,,
6044,yo pewds you are delayed,username@GlxlaGyaay,1900-01-02 07:19:00,,,,,,
6045,:_pewdieSIMP:,username@izzzzziznz,1900-01-02 07:20:00,,,,,,
6046,thom nancinson,username@наКадаКааК,1900-01-02 07:21:00,,,,,,
6047,🤏🧠,username@biDDAebb,1900-01-02 07:24:00,,,,,,
6048,NANCY THOMSON,username@5wHw5akHH0,1900-01-02 07:25:00,,,,,,
6049,👉👈,username@iyiiwyteor,1900-01-02 07:26:00,,,,,,
6050,use the EMF reader to find the ghost,username@felllllefl,1900-01-02 07:27:00,,,,,,
6051,LMAO,username@5wHw5akHH0,1900-01-02 07:29:00,,,,,,
6052,How is he reading chat,username@kamkmk aOa,1900-01-02 07:29:00,,,,,,
6053,definitely Kathy Thompson,username@eesrmNm ee,1900-01-02 07:30:00,,,,,,
6054,@Noxious -> Excess Caps. SMALL PP [warning],username@htithhttbo,1900-01-02 07:33:00,,,,,,
6055,Floot,username@dm ede mdd,1900-01-02 07:35:00,,,,,,
6056,who tf needs lights,username@SAESLGGGDA,1900-01-02 07:37:00,,,,,,
6057,Nancy Thompson,username@ LactSSayt,1900-01-02 07:38:00,,,,,,
6058,​The Donations don't go to Charity. Only the Members money.,username@htithhttbo,1900-01-02 07:38:00,,,,1.0,,
6059,does pewdshave flashlight on?,username@RReKaeyKRg,1900-01-02 07:39:00,,,,,,
6060,:_pewdieFloorGang2:,username@веинвлмкКА,1900-01-02 07:41:00,,,,,,
6061,"Marzia, please come back! we need your positiveness in this awful world",username@ByyyeyoBoe,1900-01-02 07:41:00,,,,,,
6062,Floor,username@dm ede mdd,1900-01-02 07:42:00,,,,,,
6063,ask them to make a sound until you hear something,username@onKmleKmKn,1900-01-02 07:42:00,,,,,,
6064,floor,username@iyiiwyteor,1900-01-02 07:42:00,,,,,,
6065,he chat johnny dee is kinda screwed ms helen is divorcing him while he's in rehab recovering from being in the hospital,username@neoll wlne,1900-01-02 07:43:00,,,,,,
6066,NANCY SUS,username@w l e lwm,1900-01-02 07:43:00,,,,,,
6067,scared irish noises,username@cnMlëm ili,1900-01-02 07:45:00,,,,,,
6068,:_pewdieYes::_pewdieString1::_pewdieString1::_pewdieAngry::_pewdieAngry::_pewdieAngry::_pewdieString1:,username@izzzzziznz,1900-01-02 07:49:00,,,,,,
6069,floor gang,username@htaCPtt hi,1900-01-02 07:49:00,,,,,,
6070,:_pewdieFloorGang:,username@Neelg rer,1900-01-02 07:50:00,,,,,,
6071,PEWDS IS SCARIER THAN GHOST,username@5wHw5akHH0,1900-01-02 07:51:00,,,,,,
6072,LOL you can't scare the ghost away in this game ha,username@cCherokroe,1900-01-02 07:51:00,,,,,,
6073,Floor,username@yxI xxvvIy,1900-01-02 07:52:00,,,,,,
6074,kathy,username@eesrmNm ee,1900-01-02 07:57:00,,,,,,
6075,floorrrrr,username@iyiiwyteor,1900-01-02 07:58:00,,,,,,
6076,her name was sean mcloughlin,username@aH u HfnHe,1900-01-02 07:58:00,,,,,,
6077,floor,username@aibla Arhi,1900-01-02 07:59:00,,,,,,
6078,i wonder who the guy looking at the chat,username@nfGzmaommm,1900-01-02 07:59:00,,,,,,
6079,thats how u get the ghost to come out they like the dark,username@SAESLGGGDA,1900-01-02 08:00:00,,,,,,
6080,Jack's stream quality is so much better,username@ehhLeoRopo,1900-01-02 08:02:00,,,,,,
6081,you need a thermometer,username@ MM AAM MA,1900-01-02 08:06:00,,,,,,
6082,"Nancy Thompson, come say hi",username@ LactSSayt,1900-01-02 08:06:00,,,,,,
6083,jiggy jiggy on the floor,username@Neelg rer,1900-01-02 08:07:00,,,,,,
6084,Floor,username@lWalilWali,1900-01-02 08:07:00,,,,,,
