,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,None
0,Dope song,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Gg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,i'm levitating,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,lets go baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,NEW SONG ALERT 🚨 NEW NEW,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,ALL THESE NON MEMBERS 🤮🤮🤮🤮,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,DOC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,:yougotthis:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,DOC!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,yayayaa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,AND I FEEEllll,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,Best Of The Very Best,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,vibin,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,I feeeeeel like I’ve never felt before,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,docPls,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,Yeeeeeeeeeeeeeeeeeeeaaaaaaaaaaaaaaaa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,give em the love.... tonighttttttt,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,time for VSM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,Right on time,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,Apex legends season 7 trailer DOC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,PEOPLE WHO USE THIS EMOJI 🤡,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,best voice,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,:_Yaya::_Yaya:buckle in:_Yaya::_Yaya:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,👾,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,Raaaaaauuul,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,JW :_Comm1::_Comm2::_Love:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,Oy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,SIMPS LOVE DOC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,this song is fire,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,LATE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,yessssssss,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,:_Yaya::_Yaya::_Yaya:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,members who want members only chat...cringe,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"BLACK OPS 2, LETS GO",0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,🤩🤩🤩,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,boomer,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,YESSS,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,LETS GOOOOO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
