,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,None
0,DEMOCRATS ARE TERRORISTS!,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,"Let's be honest, they aren't voting for Biden, it's for Kamala and the one they are keeping secret because that person will be worst pick than Kamala",0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Where would we be if not for RSBN?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,THEY WON'T BE HAPPY WHEN THEY ARE REGULATED 😛😛😥,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,TRUMP 2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,SALT MUST FLOW,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,Corn Pop say I pity da fool who don't eat Mr T cereal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,RSBN IS THE GREATEST GIFT FOR THIS CLIMACTIC MOMENT IN AMERICAN HISTORY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,TRUMP 95% IN CALIFORNIA🤩🤩🤩🤩🤩🤩🤩🤩,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,💙 BIDE‎N FO‍R RACISM! 💙,1.0,1.0,0.0,0.0,0.0,1.0,0.0
10,"OE BIDEN IS A TROJAN HORSE FOR SOCIALISM THRU SANDERS, AOC, OMAR, PRESSLEY & TLAIB. VOTE THESE SOCIALISTS OUT OF OFFICE - Stand for Our Country, Our Constitution, Our Freedom.",1.0,1.0,0.0,0.0,0.0,1.0,0.0
11,The Porn Industry is censoring and taking down all Hunter Biden videos from porn websites due to inappropriate material.,1.0,0.0,1.0,0.0,0.0,1.0,0.0
12,START,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,Hunter Buyden MIA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,"Yes, vote then next week- start Trump Victory Tour rally",0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,"🥊Round 3 of 5🥊🛎ding,ding",0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,"God bless our dear president and our great country. <3 I’ve not been a Democrat for years, and won’t affiliate myself with them ever again; they are truly evil!",0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,#googleLetThePeopleBeFree,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,V I C T O R Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0
