Unnamed: 0,time_text,author,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,0:06,username@eoeeEloobA,:_Buffer1::_Pudge::_Buffer2:,,,,,,
1,0:11,username@uuupinnamn,first,,,,,,
2,0:16,username@AALAAA66xA,TRICKLE IN!!!!!,,,,,,
3,0:16,username@koLossshek,hi bruh,,,,,,
4,0:19,username@ad nnnLirh,dang so few watching,,,,,,
5,0:19,username@ejn tutl j,skr skr,,,,,,
6,0:21,username@aarBuBukt,FIRM HANDSHAKES CC,,,,,,
7,0:21,username@BBaeendrnn,l,,,,,,
8,0:21,username@yonToynoyT,hello,,,,,,
9,0:21,username@T11Z11ZZZ1,:_Pumpkin:,,,,,,
10,0:22,username@gtsmganoao,You ioiooo,,,,,,
11,0:23,username@CesCSsaCCa,Yeeeeeeeeet,,,,,,
12,0:23,username@..... D.N.,first 10,,,,,,
13,0:23,username@iaooiiuaGa,YAYAYAYAYYA,,,,,,
14,0:26,username@AALAAA66xA,LESSSSGOO!!!!!!,,,,,,
15,0:26,username@ aZcZZcZZ,:_Yaya::_Yaya::_Yaya:,,,,,,
16,0:26,username@uxooxelukk,"Doc if you can read this, can I get a RRRRAAAULLLLLL?",,,,,,
17,0:26,username@irolnieFer,yayaya,,,,,,
18,0:27,username@am3mnw3ans,Sup,,,,,,
19,0:27,username@SpJJrpcppS,Yesss,,,,,,
20,0:27,username@tDnasnsbrb,Yeeeeaaaaaahhhhh,,,,,,
21,0:28,username@OOMMOOMBOB,Pogggg,,,,,,
22,0:28,username@lxxzlieBzl,doctor doctor doctor doctor,,,,,,
23,0:28,username@onlClnoJnr,yooooo,,,,,,
24,0:28,username@Socttl sho,first,,,,,,
25,0:28,username@rFigGnge m,gandu,,,,,,
26,0:28,username@urrr/u bAu,yayayaya,,,,,,
27,0:28,username@sA hmmAJom,DOC!!!!!!,,,,,,
28,0:28,username@aotlmylymo,hello,,,,,,
29,0:28,username@sssvtrvsra,Labvakar,,,,,,
30,0:29,username@edxxereedA,:_Buffer1::_Yaya::_Buffer2:,,,,,,
31,0:29,username@ahh.rdhlld,Dooooc,,,,,,
32,0:29,username@j8nan 77Wn,lolololol,,,,,,
33,0:29,username@1Sd1epm5t1,yayayayayya,,,,,,
34,0:29,username@eaalu reau,i am forst,,,,,,
35,0:29,username@GmaGsoysGG,BO2,,,,,,
36,0:29,username@ho442xs se,hi,,,,,,
37,0:30,username@eHdiirlsHd,Hi,,,,,,
38,0:30,username@ooKrperpur,RAULLLLLL,,,,,,
39,0:30,username@a ohat aee,Yeah,,,,,,
40,0:31,username@ccaaeecaau,BABY BABY BABY,,,,,,
41,0:31,username@ArAaliAaml,dooooooooooc,,,,,,
42,0:31,username@ozzrzrzzo1,NEW AMD GPU BOIIIIIIIIIII,,,,,,
43,0:31,username@TXXic_o Xo,whats up,,,,,,
44,0:32,username@ymacyyrauc,Hi!,,,,,,
45,0:32,username@artytattvU,black ops 2,,,,,,
46,0:32,username@ondomdo  t,Slice em up,,,,,,
47,0:32,username@ritleriutu,OH SNAP,,,,,,
48,0:32,username@xaddaaxaee,YOOO,,,,,,
49,0:32,username@WesettWWse,Yes daddy,,,,,,
50,0:32,username@ rDeaza ze,Yoo,,,,,,
51,0:32,username@xaddaaxaee,YOOO,,,,,,
52,0:33,username@xaddaaxaee,YOO,,,,,,
53,0:33,username@a eHrrJsma,yaya,,,,,,
54,0:34,username@t  tmm7m t,Let’s gooooo bo 2,,,,,,
55,0:34,username@ehl yJSJpJ,bo3 baby let's go,,,,,,
56,0:34,username@axcfvifwfv,lets !!! gooooo!!,,,,,,
57,0:34,username@utSbnhbbuh,let sss gooooo,,,,,,
58,0:34,username@erol1esB1B,Bo2?,,,,,,
59,0:34,username@xaddaaxaee,YOO,,,,,,
60,0:34,username@DmnnieenGh,Black Ops II?,,,,,,
61,0:35,username@tydoatb6oo,Bo2 nice,,,,,,
62,0:35,username@olBoonoyyi,Hi,,,,,,
63,0:35,username@iy asEmHgH,Hi,,,,,,
64,0:36,username@xaddaaxaee,YOO,,,,,,
65,0:36,username@c nPrsMoii,YES,,,,,,
66,0:36,username@gKnla_naay,BO2!??,,,,,,
67,0:36,username@trAAexxtxe,BO2????,,,,,,
68,0:36,username@yrtryrlrae,POG,,,,,,
69,0:36,username@TTTWllTIlo,TWO TIME!,,,,,,
70,0:36,username@iainntsrti,Yayayayayata,,,,,,
71,0:36,username@b oltgiolb,Letsssssss gooooooo doc,,,,,,
72,0:36,username@9cc9oioccM,trickle in...,,,,,,
73,0:36,username@LinnLgLnni,hypeee,,,,,,
74,0:36,username@mi   ia!an,boomer,,,,,,
75,0:36,username@Socttl sho,ger,,,,,,
76,0:37,username@rucasssaii,It's time to go back,,,,,,
77,0:37,username@crdnneceuo,hi,,,,,,
78,0:37,username@SppxdanneS,yayayayayaya,,,,,,
79,0:41,username@ekaSSeagrl,Bo2?!?!??????,,,,,,
80,0:41,username@shnhpsnooC,sup,,,,,,
81,0:41,username@edalWledll,late ???,,,,,,
82,0:42,username@eoeeEloobA,the numbers JUMPED,,,,,,
83,0:42,username@nunoRnuoRh,:_Comm1::_Comm2::_Yaya::_Yaya::_Yaya:,,,,,,
84,0:42,username@liidai kl,WUT UP!?,,,,,,
85,0:43,username@elhp hhlyr,Trickle innnnnnn,,,,,,
86,0:43,username@RdGoleoeol,YAYAYAYAYA,,,,,,
87,0:43,username@oaftceacsr,RAAAAUUULL,,,,,,
88,0:43,username@_P_lPhhllh,YAYAYAYAYAYA,,,,,,
89,0:44,username@V2iT3mia 2,yayayayaya,,,,,,
90,0:44,username@ewweae l j,strting,,,,,,
91,0:44,username@9cc9oioccM,the arena,,,,,,
92,0:44,username@erhcdszann,Ayyyyyy,,,,,,
93,0:44,username@MkrkrAauAu,Welcome to the Champions Club,,,,,,
94,0:44,username@ehhaebeoeR,Bo2??????????????????,,,,,,
95,0:51,username@CuavrTaTia,Miss this game,,,,,,
96,0:51,username@lnn SSlell,Trickle in,,,,,,
97,0:51,username@otttrnearl,Lets do it big chat!!!,,,,,,
98,0:51,username@nainMnaRan,ya ya ya ya ya ya,,,,,,
99,0:52,username@aa rccahar,Yayayayayya,,,,,,
100,0:52,username@shtast_sdr,:_Buffer1::_Pudge::_Buffer2:,,,,,,
101,0:52,username@HmaxammmaH,Whats up chat,,,,,,
102,0:52,username@nMryn   e,LETTUCE GO,,,,,,
103,0:53,username@ 99 9  9 9,I am robing that car,,,,,,
104,0:53,username@nZieenieen,Bo2?,,,,,,
105,0:53,username@guu e Fnge,Yoooooo !,,,,,,
106,0:53,username@ep vlyisve,doc,,,,,,
107,0:53,username@skmgiaVigs,bo2???????,,,,,,
108,0:54,username@CtSSiCtt,:_Buffer1::_Spit::_Buffer2:,,,,,,
109,0:54,username@laor olfls,Black Ops 2?????,,,,,,
110,0:54,username@oiisDshi D,:dothefive:,,,,,,
111,0:55,username@ehl yJSJpJ,bo2 i ment,,,,,,
112,0:55,username@khuekkuunh,yeah!!!!!!!!! HELLO CHAMPIONS!!!!!!!,,,,,,
113,0:56,username@ dSoSaydoo,RAAAAAAUUUUL!,,,,,,
114,0:56,username@ago2ako1ns,yea yea yea yea yea yea,,,,,,
115,0:56,username@Jrn6tttM96,already 700 im late,,,,,,
116,0:56,username@Snlxadrdar,WAITING FOR THAT PARKING STRUCTURE DOC,,,,,,
117,0:56,username@c nPrsMoii,CLICK IT,,,,,,
118,0:56,username@BSSGBIIISI,adrenaline,,,,,,
119,0:57,username@iiii33N300,cold war it is,,,,,,
120,0:57,username@JvrrereeRe,Yurrrrrr,,,,,,
121,0:57,username@elhp hhlyr,Yayayaya,,,,,,
122,0:57,username@notngioigs,lets go doc,,,,,,
123,0:57,username@..... D.N.,Here we go with the 40 minutes INTRO,,,,,,
124,0:57,username@ s9ss t9,B2T2,,,,,,
125,0:58,username@l0He00Hies,Yoooooooooooooooo tha doc baby!!!!,,,,,,
126,0:58,username@ehhaebeoeR,Bo2????????????????????????,,,,,,
127,0:58,username@n saa  ane,bo2???????????????,,,,,,
128,0:58,username@sooeLixfef,epic,,,,,,
129,0:58,username@utSbnhbbuh,baby baby baby,,,,,,
