Unnamed: 0,time_text,author,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,0:06,username@olooul  Eo,:_Buffer1::_Pudge::_Buffer2:,,,,,,
1,0:11,username@pnlunpipu ,first,,,,,,
2,0:16,username@e66L6L6_66,TRICKLE IN!!!!!,,,,,,
3,0:16,username@esoLLkeekk,hi bruh,,,,,,
4,0:19,username@auhChharad,dang so few watching,,,,,,
5,0:19,username@led nnilbm,skr skr,,,,,,
6,0:21,username@BBiBsBuuuk,FIRM HANDSHAKES CC,,,,,,
7,0:21,username@nSonBn See,l,,,,,,
8,0:21,username@y  n G non,hello,,,,,,
9,0:21,username@1Z1ZTT1T11,:_Pumpkin:,,,,,,
10,0:22,username@smghohmmma,You ioiooo,,,,,,
11,0:23,username@eeCshhhesr,Yeeeeeeeeet,,,,,,
12,0:23,username@ N ..NNNDN,first 10,,,,,,
13,0:23,username@nnfiufinnf,YAYAYAYAYYA,,,,,,
14,0:26,username@e66L6L6_66,LESSSSGOO!!!!!!,,,,,,
15,0:26,username@  Zaacckkc,:_Yaya::_Yaya::_Yaya:,,,,,,
16,0:26,username@xusxoelxxu,"Doc if you can read this, can I get a RRRRAAAULLLLLL?",,,,,,
17,0:26,username@lnAKniKorr,yayaya,,,,,,
18,0:27,username@dnamdmdw3a,Sup,,,,,,
19,0:27,username@SShaekecrk,Yesss,,,,,,
20,0:27,username@oolDotRReo,Yeeeeaaaaaahhhhh,,,,,,
21,0:28,username@BMOOMMOSBB,Pogggg,,,,,,
22,0:28,username@aaBlxzxBal,doctor doctor doctor doctor,,,,,,
23,0:28,username@JdJioldd l,yooooo,,,,,,
24,0:28,username@iStkolkohi,first,,,,,,
25,0:28,username@a  a Gnma ,gandu,,,,,,
26,0:28,username@oA NNAb/N/,yayayaya,,,,,,
27,0:28,username@oymAyyohmo,DOC!!!!!!,,,,,,
28,0:28,username@tlayyota t,hello,,,,,,
29,0:28,username@  t tvIIaM,Labvakar,,,,,,
30,0:29,username@dl rwdxdwd,:_Buffer1::_Yaya::_Buffer2:,,,,,,
31,0:29,username@.allAd.hdh,Dooooc,,,,,,
32,0:29,username@na77j Wj n,lolololol,,,,,,
33,0:29,username@mpepdpepp1,yayayayayya,,,,,,
34,0:29,username@aakmu aaal,i am forst,,,,,,
35,0:29,username@G yGmGooyG,BO2,,,,,,
36,0:29,username@o4ss 44x4o,hi,,,,,,
37,0:30,username@eeaeleKlei,Hi,,,,,,
38,0:30,username@erporiuMKS,RAULLLLLL,,,,,,
39,0:30,username@aatatte oe,Yeah,,,,,,
40,0:31,username@dceeassduc,BABY BABY BABY,,,,,,
41,0:31,username@AArAliraia,dooooooooooc,,,,,,
42,0:31,username@rmz0BmrmzB,NEW AMD GPU BOIIIIIIIIIII,,,,,,
43,0:31,username@oiTX_iXTm ,whats up,,,,,,
44,0:32,username@rmu uycyrr,Hi!,,,,,,
45,0:32,username@yyUUraraay,black ops 2,,,,,,
46,0:32,username@Bdn  riinn,Slice em up,,,,,,
47,0:32,username@rKiArieeui,OH SNAP,,,,,,
48,0:32,username@exedP odaa,YOOO,,,,,,
49,0:32,username@etAAeAAAtA,Yes daddy,,,,,,
50,0:32,username@eD zv zvv ,Yoo,,,,,,
51,0:32,username@exedP odaa,YOOO,,,,,,
52,0:33,username@exedP odaa,YOO,,,,,,
53,0:33,username@srmJJmair ,yaya,,,,,,
54,0:34,username@_oNe76_om6,Let’s gooooo bo 2,,,,,,
55,0:34,username@uBJhspleos,bo3 baby let's go,,,,,,
56,0:34,username@fvvvvfv wb,lets !!! gooooo!!,,,,,,
57,0:34,username@ulanhdhtnl,let sss gooooo,,,,,,
58,0:34,username@edeSo1ASde,Bo2?,,,,,,
59,0:34,username@exedP odaa,YOO,,,,,,
60,0:34,username@ehn  rr rr,Black Ops II?,,,,,,
61,0:35,username@oteady oso,Bo2 nice,,,,,,
62,0:35,username@Ylinynoyan,Hi,,,,,,
63,0:35,username@nmaygg’m ’,Hi,,,,,,
64,0:36,username@exedP odaa,YOO,,,,,,
65,0:36,username@scoMtiiitM,YES,,,,,,
66,0:36,username@nnagagtag_,BO2!??,,,,,,
67,0:36,username@cAxcArSShx,BO2????,,,,,,
68,0:36,username@EErtnntntl,POG,,,,,,
69,0:36,username@TTT   eeTW,TWO TIME!,,,,,,
70,0:36,username@igrzunl gs,Yayayayayata,,,,,,
71,0:36,username@aa ooFnnll,Letsssssss gooooooo doc,,,,,,
72,0:36,username@kN1ioNckc9,trickle in...,,,,,,
73,0:36,username@ an aLgoan,hypeee,,,,,,
74,0:36,username@Gnaag!ia!r,boomer,,,,,,
75,0:36,username@iStkolkohi,ger,,,,,,
76,0:37,username@ ac rruasu,It's time to go back,,,,,,
77,0:37,username@naruueeeiV,hi,,,,,,
78,0:37,username@nneaenepSx,yayayayayaya,,,,,,
79,0:41,username@ene llpler,Bo2?!?!??????,,,,,,
80,0:41,username@pBiinCBsai,sup,,,,,,
81,0:41,username@e dBedW  d,late ???,,,,,,
82,0:42,username@olooul  Eo,the numbers JUMPED,,,,,,
83,0:42,username@nuRcnRun o,:_Comm1::_Comm2::_Yaya::_Yaya::_Yaya:,,,,,,
84,0:42,username@aceCiacMsa,WUT UP!?,,,,,,
85,0:43,username@lyrrlhPepP,Trickle innnnnnn,,,,,,
86,0:43,username@ ooGelRrgo,YAYAYAYAYA,,,,,,
87,0:43,username@raGtCrsafr,RAAAAUUULL,,,,,,
88,0:43,username@PP_P_PlhlP,YAYAYAYAYAYA,,,,,,
89,0:44,username@m2iVm mNa ,yayayayaya,,,,,,
90,0:44,username@srieiesiee,strting,,,,,,
91,0:44,username@kN1ioNckc9,the arena,,,,,,
92,0:44,username@oenaFdednz,Ayyyyyy,,,,,,
93,0:44,username@aAabiblM l,Welcome to the Champions Club,,,,,,
94,0:44,username@cmeeff rcm,Bo2??????????????????,,,,,,
95,0:51,username@iruannrir ,Miss this game,,,,,,
96,0:51,username@HlHneSa  n,Trickle in,,,,,,
97,0:51,username@e nDe nnWl,Lets do it big chat!!!,,,,,,
98,0:51,username@nRnnniinnn,ya ya ya ya ya ya,,,,,,
99,0:52,username@racaaasrah,Yayayayayya,,,,,,
100,0:52,username@ortrd_AsmK,:_Buffer1::_Pudge::_Buffer2:,,,,,,
101,0:52,username@gmiHieagHm,Whats up chat,,,,,,
102,0:52,username@ enenaynaM,LETTUCE GO,,,,,,
103,0:53,username@   999   9,I am robing that car,,,,,,
104,0:53,username@niZtenhhZn,Bo2?,,,,,,
105,0:53,username@nuJi oonoi,Yoooooo !,,,,,,
106,0:53,username@pdpvl ypel,doc,,,,,,
107,0:53,username@rLimkLViog,bo2???????,,,,,,
108,0:54,username@SlS C nilC,:_Buffer1::_Spit::_Buffer2:,,,,,,
109,0:54,username@aae BkBasa,Black Ops 2?????,,,,,,
110,0:54,username@shhio os h,:dothefive:,,,,,,
111,0:55,username@uBJhspleos,bo2 i ment,,,,,,
112,0:55,username@hunnnuCheC,yeah!!!!!!!!! HELLO CHAMPIONS!!!!!!!,,,,,,
113,0:56,username@aoryomyaRd,RAAAAAAUUUUL!,,,,,,
114,0:56,username@ane2enke1r,yea yea yea yea yea yea,,,,,,
115,0:56,username@in9J9Mt6t6,already 700 im late,,,,,,
116,0:56,username@sdnsaSSdnr,WAITING FOR THAT PARKING STRUCTURE DOC,,,,,,
117,0:56,username@scoMtiiitM,CLICK IT,,,,,,
118,0:56,username@MMSSAIGGGG,adrenaline,,,,,,
119,0:57,username@ND3i00iNDD,cold war it is,,,,,,
120,0:57,username@JiJraryiyi,Yurrrrrr,,,,,,
121,0:57,username@lyrrlhPepP,Yayayaya,,,,,,
122,0:57,username@oacnasoiis,lets go doc,,,,,,
123,0:57,username@ N ..NNNDN,Here we go with the 40 minutes INTRO,,,,,,
124,0:57,username@it6ts996ts,B2T2,,,,,,
125,0:58,username@deHnHdeHdH,Yoooooooooooooooo tha doc baby!!!!,,,,,,
126,0:58,username@cmeeff rcm,Bo2????????????????????????,,,,,,
127,0:58,username@aasNaaantT,bo2???????????????,,,,,,
128,0:58,username@peepEEfxop,epic,,,,,,
129,0:58,username@ulanhdhtnl,baby baby baby,,,,,,
130,1:05,username@aUgggUUrgB,YAYAYAYAYAYAYAYAYAYAYAYAYAY,,,,,,
131,1:05,username@SllpSelelp,YO BLACK OPS 2,,,,,,
132,1:05,username@iiapMie Mp,2? TWO@!!,,,,,,
133,1:06,username@moFmTooTT ,Baby baby baby....how's the CC today!?!?,,,,,,
134,1:06,username@cy Haiicln,nice 😎,,,,,,
135,1:06,username@enr3e3a Ge,pogchamp,,,,,,
136,1:07,username@niZtenhhZn,How bo2!?!?!,,,,,,
137,1:07,username@ka aaakkka,CLICK IT!!,,,,,,
138,1:07,username@zizmooczim,BO2????,,,,,,
139,1:07,username@B Rt  oetR,hurry up and start,,,,,,
140,1:08,username@ vvqoqhavs,trickle in,,,,,,
141,1:08,username@lyrrlhPepP,Yayayaya,,,,,,
142,1:08,username@ aCeCisPrs,finally going back to the roots,,,,,,
143,1:08,username@TltaoTeTGo,black ops 2 yaya,,,,,,
144,1:08,username@rian rraBn,COMMON BABY LET'S WAKE UP THIS MORNING!!!! RAAAAUUULLL,,,,,,
145,1:08,username@8Wa8zaazzz,STARTTTT,,,,,,
146,1:08,username@eeen teinn,The DOCTOR,,,,,,
147,1:08,username@rmz0BmrmzB,NEW AMD GPU,,,,,,
148,1:10,username@rmz0BmrmzB,NEW AMD GPU,,,,,,
149,1:10,username@ nttnyncra,:_Comb::_Comb::_Comb::_Comb::_Comb::_Comb: Doc is going off today CC I can feel it !!,,,,,,
150,1:11,username@eNeeyiesNs,"BO2 tournament, we've got a job to do DoC, let's get it done",,,,,,
151,1:11,username@Frr Cic el,:_Bless::_Bless:,,,,,,
152,1:12,username@DN Dgeegge,Pumped for this :_Buffer1::_Buffer1:,,,,,,
153,1:12,username@d ndanodnb,:elbowcough:,,,,,,
154,1:12,username@ikdradTTra,ola,,,,,,
155,1:12,username@tosttwswsS,Sweetness is here watching the two time as always,,,,,,
156,1:13,username@SlS C nilC,:_Buffer1::_Pumpkin::_Buffer2:,,,,,,
157,1:13,username@niar srKkK,csa,,,,,,
158,1:13,username@yyyleO aea,Yo,,,,,,
159,1:13,username@OdOOOnrric,TODAY IS THE DAY,,,,,,
160,1:13,username@grenih rii,DOC,,,,,,
161,1:13,username@XSMRAXAASR,let's go,,,,,,
162,1:13,username@elAaeeeT  ,BETTER!,,,,,,
163,1:14,username@Anyytotoyn,Ohhhh babbbbyyyy,,,,,,
164,1:14,username@ccjccjcjcc,Oh yuhhhh,,,,,,
165,1:15,username@wrreawaaww,yo yo yo,,,,,,
166,1:16,username@d ndanodnb,:elbowcough:,,,,,,
167,1:16,username@raGtCrsafr,BO2,,,,,,
168,1:16,username@w ekwdPekP,Yayayayaya,,,,,,
169,1:16,username@saaaatRoaR,black ops 2?????,,,,,,
170,1:16,username@yyyryrdrdy,RESPECT,,,,,,
171,1:17,username@awsauuMynr,DRAMA KING,,,,,,
172,1:17,username@o e  ocrer,Yayayayayayay,,,,,,
