Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0.0,:_Buffer1::_Pudge::_Buffer2:,,,,,,
1.0,first,,,,,,
2.0,TRICKLE IN!!!!!,,,,,,
3.0,hi bruh,,,,,,
4.0,dang so few watching,,,,,,
5.0,skr skr,,,,,,
6.0,FIRM HANDSHAKES CC,,,,,,
7.0,l,,,,,,
8.0,hello,,,,,,
9.0,:_Pumpkin:,,,,,,
10.0,You ioiooo,,,,,,
11.0,Yeeeeeeeeet,,,,,,
12.0,first 10,,,,,,
13.0,YAYAYAYAYYA,,,,,,
14.0,LESSSSGOO!!!!!!,,,,,,
15.0,:_Yaya::_Yaya::_Yaya:,,,,,,
16.0,"Doc if you can read this, can I get a RRRRAAAULLLLLL?",,,,,,
17.0,yayaya,,,,,,
18.0,Sup,,,,,,
19.0,Yesss,,,,,,
20.0,Yeeeeaaaaaahhhhh,,,,,,
21.0,Pogggg,,,,,,
22.0,doctor doctor doctor doctor,,,,,,
23.0,yooooo,,,,,,
24.0,first,,,,,,
25.0,gandu,,,,,,
26.0,yayayaya,,,,,,
27.0,DOC!!!!!!,,,,,,
28.0,hello,,,,,,
29.0,Labvakar,,,,,,
30.0,:_Buffer1::_Yaya::_Buffer2:,,,,,,
31.0,Dooooc,,,,,,
32.0,lolololol,,,,,,
33.0,yayayayayya,,,,,,
34.0,i am forst,,,,,,
35.0,BO2,,,,,,
36.0,hi,,,,,,
37.0,Hi,,,,,,
38.0,RAULLLLLL,,,,,,
39.0,Yeah,,,,,,
40.0,BABY BABY BABY,,,,,,
41.0,dooooooooooc,,,,,,
42.0,NEW AMD GPU BOIIIIIIIIIII,,,,,,
43.0,whats up,,,,,,
44.0,Hi!,,,,,,
45.0,black ops 2,,,,,,
46.0,Slice em up,,,,,,
47.0,OH SNAP,,,,,,
48.0,YOOO,,,,,,
49.0,Yes daddy,,,,,,
50.0,Yoo,,,,,,
51.0,YOOO,,,,,,
52.0,YOO,,,,,,
53.0,yaya,,,,,,
54.0,Let’s gooooo bo 2,,,,,,
55.0,bo3 baby let's go,,,,,,
56.0,lets !!! gooooo!!,,,,,,
57.0,let sss gooooo,,,,,,
58.0,Bo2?,,,,,,
59.0,YOO,,,,,,
60.0,Black Ops II?,,,,,,
61.0,Bo2 nice,,,,,,
62.0,Hi,,,,,,
63.0,Hi,,,,,,
64.0,YOO,,,,,,
65.0,YES,,,,,,
66.0,BO2!??,,,,,,
67.0,BO2????,,,,,,
68.0,POG,,,,,,
69.0,TWO TIME!,,,,,,
70.0,Yayayayayata,,,,,,
71.0,Letsssssss gooooooo doc,,,,,,
72.0,trickle in...,,,,,,
73.0,hypeee,,,,,,
74.0,boomer,,,,,,
75.0,ger,,,,,,
76.0,It's time to go back,,,,,,
77.0,hi,,,,,,
78.0,yayayayayaya,,,,,,
79.0,Bo2?!?!??????,,,,,,
80.0,sup,,,,,,
81.0,late ???,,,,,,
82.0,the numbers JUMPED,,,,,,
83.0,:_Comm1::_Comm2::_Yaya::_Yaya::_Yaya:,,,,,,
84.0,WUT UP!?,,,,,,
85.0,Trickle innnnnnn,,,,,,
86.0,YAYAYAYAYA,,,,,,
87.0,RAAAAUUULL,,,,,,
88.0,YAYAYAYAYAYA,,,,,,
89.0,yayayayaya,,,,,,
90.0,strting,,,,,,
91.0,the arena,,,,,,
92.0,Ayyyyyy,,,,,,
93.0,Welcome to the Champions Club,,,,,,
94.0,Bo2??????????????????,,,,,,
95.0,Miss this game,,,,,,
96.0,Trickle in,,,,,,
97.0,Lets do it big chat!!!,,,,,,
98.0,ya ya ya ya ya ya,,,,,,
99.0,Yayayayayya,,,,,,
100.0,:_Buffer1::_Pudge::_Buffer2:,,,,,,
101.0,Whats up chat,,,,,,
102.0,LETTUCE GO,,,,,,
103.0,I am robing that car,,,,,,
104.0,Bo2?,,,,,,
105.0,Yoooooo !,,,,,,
106.0,doc,,,,,,
107.0,bo2???????,,,,,,
108.0,:_Buffer1::_Spit::_Buffer2:,,,,,,
109.0,Black Ops 2?????,,,,,,
110.0,:dothefive:,,,,,,
111.0,bo2 i ment,,,,,,
112.0,yeah!!!!!!!!! HELLO CHAMPIONS!!!!!!!,,,,,,
113.0,RAAAAAAUUUUL!,,,,,,
114.0,yea yea yea yea yea yea,,,,,,
115.0,already 700 im late,,,,,,
116.0,WAITING FOR THAT PARKING STRUCTURE DOC,,,,,,
117.0,CLICK IT,,,,,,
118.0,adrenaline,,,,,,
119.0,cold war it is,,,,,,
120.0,Yurrrrrr,,,,,,
121.0,Yayayaya,,,,,,
122.0,lets go doc,,,,,,
123.0,Here we go with the 40 minutes INTRO,,,,,,
124.0,B2T2,,,,,,
125.0,Yoooooooooooooooo tha doc baby!!!!,,,,,,
126.0,Bo2????????????????????????,,,,,,
