Unnamed: 0,time_text,author,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
3000,16:38,username@ehtmmisnnb,Dope song,,,,,,
3001,16:40,username@Sanalnlnla,Gg,,,,,,
3002,16:40,username@srosrsyyfh,i'm levitating,,,,,,
3003,16:40,username@oaaMchllmn,lets go baby,,,,,,
3004,16:40,username@__________,NEW SONG ALERT 🚨 NEW NEW,,,,,,
3005,16:41,username@ diOti rz,ALL THESE NON MEMBERS 🤮🤮🤮🤮,,,,,,1
3006,16:41,username@ ilnJiinlJ,DOC,,,,,,
3007,16:42,username@rhahtshptr,:yougotthis:,,,,,,
3008,16:42,username@RN000K4K04,DOC!!!,,,,,,
3009,16:42,username@fyCyeByhBe,yayayaa,,,,,,
3010,16:42,username@nma_mkslu,AND I FEEEllll,,,,,,
3011,16:42,username@-UIPRSPPDR,Best Of The Very Best,,,,,,
3012,16:43,username@rlkaanSlki,vibin,,,,,,
3013,16:43,username@ovTePrreir,I feeeeeel like I’ve never felt before,,,,,,
3014,16:43,username@rc_e_c_ooc,docPls,,,,,,
3015,16:43,username@oodhupoStC,Yeeeeeeeeeeeeeeeeeeeaaaaaaaaaaaaaaaa,,,,,,
3016,16:43,username@tGAy iGA a,give em the love.... tonighttttttt,,,,,,
3017,16:43,username@EENOOAXEIX,time for VSM,,,,,,
3018,16:43,username@eyWStaola,Right on time,,,,,,
3019,16:43,username@ emre r dh,Apex legends season 7 trailer DOC,,,,,,
3020,16:43,username@kkBaBawkaa,PEOPLE WHO USE THIS EMOJI 🤡,,,,,,
3021,16:44,username@oMoMiooo D,best voice,,,,,,
3022,16:44,username@fDeeBfdd f,:_Yaya::_Yaya:buckle in:_Yaya::_Yaya:,,,,,,
3023,16:45,username@BneCe neCo,👾,,,,,,
3024,16:45,username@ dSoSaydoo,Raaaaaauuul,,,,,,
3025,16:45,username@er rryr  a,JW :_Comm1::_Comm2::_Love:,,,,,,
3026,16:45,username@sGueGiisia,Oy,,,,,,
3027,16:45,username@akPrricrsi,SIMPS LOVE DOC,,,,,,
3028,16:46,username@PpAlPPellP,this song is fire,,,,,,
3029,16:46,username@CSIKISLKAI,LATE,,,,,,
3030,16:46,username@WoecNe iWi,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,,,,,,
3031,16:46,username@osMviluavo,yessssssss,,,,,,
3032,16:46,username@nnMcaeegei,:_Yaya::_Yaya::_Yaya:,,,,,,
3033,16:46,username@LcnnLocseo,members who want members only chat...cringe,,,,,,
3034,16:47,username@r444h4ohor,"BLACK OPS 2, LETS GO",,,,,,
3035,16:47,username@DinnhnMorM,🤩🤩🤩,,,,,,
3036,16:47,username@TYugT1DYTu,boomer,,,,,,
3037,16:47,username@ añsñPaPñh,YESSS,,,,,,
3038,16:48,username@er rryr  a,LETS GOOOOO,,,,,,
3039,16:48,username@oaaMchllmn,oooh baby baby,,,,,,
3040,16:49,username@lvlkMnkki,ya ya ya ya,,,,,,
3041,16:49,username@GAHNIIDARH,hola bae!!,,,,,,
3042,16:51,username@abreae azb,doc twitch miss you !!!,,,,,,
3043,16:51,username@KKIIDIIDgg,Well now this is stuck in my cerebellum for the rest of the day lol,,,,,,
3044,16:52,username@euntnms nu,yesss,,,,,,
3045,16:52,username@or ro taai,YESSSSSS,,,,,,
3046,16:52,username@uiBrrrruvr,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,,,,,,
3047,16:53,username@cntctMtyru,:_Lambo::_Lambo::_Lambo:,,,,,,
3048,16:53,username@akPrricrsi,SIMPS LOVE DOC,,,,,,
3049,16:53,username@nni junogi,d,,,,,,
3050,16:53,username@eekerBB er,LETS GO LETS GO LETS Go,,,,,,
3051,16:53,username@sssds-A-nA,WAKE UP,,,,,,
3052,16:53,username@oLmtveLeoo,Show Time,,,,,,
3053,16:54,username@pAAAnhemTn,yayayaya,,,,,,
3054,16:54,username@ohnJaahoao,2x,,,,,,
3055,16:54,username@shhsekhiss,turn that thing.....,,,,,,
3056,16:55,username@uiBrrrruvr,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,,,,,,
3057,16:55,username@ brliieiia,lets goooooooooo,,,,,,
3058,16:55,username@iRgeeeE nn,V8,,,,,,
3059,16:57,username@SrMapprMhM,Garage done?,,,,,,
3060,16:57,username@uiBrrrruvr,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,,,,,,
