Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,against hummanity,username@SathraSnho,00:33:00,,,,,,
1,These maga tears😂😂🤦🏿‍♂️,username@ic iSosiac,00:34:00,,,,,,
2,Here we go,username@W HteeiWtH,00:34:00,,,,,,
3,who won,username@rrarecrnSr,01:04:00,,,,,,
4,God sacrificed himself to himself to save us from himself 🤔,username@eckAeLAcLm,01:08:00,,,,,,
5,new study shows Democrats are gullible.,username@ddtstaetFr,01:14:00,,,,1.0,,
6,Biden won,username@v9 gsesaga,01:22:00,,,,,,
7,Biden 👍 2020 god bless america out trump 😁,username@eeroiaAonr,01:22:00,,,,,,
8,STOP THE CERTIFICATION NOW!!!!!,username@o aWgaaJWW,01:28:00,,,,,,
9,BIDEN,username@ufnyoJfnan,01:35:00,,,,,,
10,trump won,username@BBrsoaoHHH,01:36:00,,,,,,
11,Watch and weep MAGATS,username@anHissnsi,01:47:00,,,,,,
12,rigged,username@naArooAr,02:04:00,,,,,,
13,JAIL the entire LEFT!!!,username@aaanniilhi,02:17:00,,,,,,
14,"Lies lies lies, tell us more please",username@boiiKWibyl,02:17:00,,,,,,
15,fox is MSM now!!!,username@ggwgaawgo,02:18:00,,,,,,
16,FRAUDULENT,username@OICVEEOE Z,02:20:00,,,,,,
17,if it's unfounded let them check the machines,username@oh7ohp2hos,02:20:00,,,,,,
18,God Bless president elect Biden,username@aduSwrnded,02:23:00,,,,,,
19,More going to jail,username@o   l  oao,02:28:00,,,,,,
20,Good bye freedom and truth,username@'eeeoer'oe,02:31:00,,,,,,
21,✝️GOD BLESS PRESIDENT BIDEN ✝️,username@11HDLTARCT,02:34:00,,,,,,
22,“But the states haven’t certified yet wahhh” 😂😂😂😂😂,username@inak enEir,02:40:00,,,,,,
23,Didn’t Arizona give sharpies to trump supporters?,username@aaatakatvh,02:49:00,,,,,,
24,bye bye Trump.. thanks for a great 4 years... when people voted you in 4 years ago.. they were disgusted by the lying hypocrisy filled 'elected officials' which is PRECISELY why you were voted in.,username@RRb  P PR,02:55:00,,1.0,,,,
25,fox is a sell out cover all news you sell outs,username@ eesuoeeul,02:55:00,,,,1.0,,
26,people's masks not over their noses - this is so stupid and pretend!,username@ic LvyiLyy,03:05:00,,,,,,
27,The left wants war. That’s what they will get.,username@ecetS  hce,03:14:00,,,,,,
28,Shame on you Fox News for denying the truth.,username@P MMPM MM,03:19:00,,1.0,,1.0,,1.0
29,TRUMP LOST TRUMP LOST,username@B JaaaJJ,03:25:00,,,,,,
30,"Hey FOX where is the people, this would be the live event of the Arizona State Legislature.",username@cGGbrcgiMo,03:27:00,,,,,,
31,BIDEN 2020,username@di oznennn,03:36:00,,,,,,
32,the right wants a wat,username@v9 gsesaga,03:39:00,,,,,,
33,"Thiefs, thiefs, thiefs...",username@riixxbrrLa,03:40:00,,,,,,
34,Y’all trump supporters sum else,username@phesSsmhyn,03:40:00,,,,,,
35,The left is garbage,username@aadhsrdwdi,03:58:00,,1.0,,,,
36,FOX/CNN/RT/BBC all on the same team,username@SFMMSMS MF,03:59:00,,,,,,
37,Can’t be fair when you separate ballots from their envelopes instead of keeping them together for traceability. This is a joke and we all know it,username@eReRNvTNaN,03:59:00,,,,,,
38,hahaha hahaha hahaha,username@cwRameccrb,04:00:00,,,,,,
39,PRESIDENT BIDEN!!!!!!!,username@yeas JJaJr,04:01:00,,,,,,
40,MAGAT meltdown in progress,username@anHissnsi,04:06:00,,,,,,
41,TRUMP TURMP TURMP,username@P  hnlnPih,04:08:00,,,,,,
42,fradulent election,username@ygdUddydee,04:13:00,,,,,,
