Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,against hummanity,,,,,,
1,These maga tears😂😂🤦🏿‍♂️,1.0,,,,,
2,Here we go,,,,,,
3,who won,,,,,,
4,God sacrificed himself to himself to save us from himself 🤔,,,,,,
5,new study shows Democrats are gullible.,1.0,,,1.0,,
6,Biden won,,,,,,
7,Biden 👍 2020 god bless america out trump 😁,,,,,,
8,STOP THE CERTIFICATION NOW!!!!!,,,,,,
9,BIDEN,,,,,,
10,trump won,,,,,,
11,Watch and weep MAGATS,1.0,,,,,
12,rigged,1.0,,,,,
13,JAIL the entire LEFT!!!,,1.0,,,,
14,"Lies lies lies, tell us more please",,,,,,
15,fox is MSM now!!!,,,,,,
16,FRAUDULENT,1.0,,,,,
17,if it's unfounded let them check the machines,,,,,,
18,God Bless president elect Biden,,,,,,
19,More going to jail,1.0,,,1.0,,
20,Good bye freedom and truth,,,,,,
21,✝️GOD BLESS PRESIDENT BIDEN ✝️,,,,,,
22,“But the states haven’t certified yet wahhh” 😂😂😂😂😂,,,,,,
23,Didn’t Arizona give sharpies to trump supporters?,,,,,,
24,bye bye Trump.. thanks for a great 4 years... when people voted you in 4 years ago.. they were disgusted by the lying hypocrisy filled 'elected officials' which is PRECISELY why you were voted in.,1.0,,,1.0,,
25,fox is a sell out cover all news you sell outs,,,,1.0,,
26,people's masks not over their noses - this is so stupid and pretend!,1.0,,,,,
27,The left wants war. That’s what they will get.,,1.0,,,,
28,Shame on you Fox News for denying the truth.,,,,1.0,,
29,TRUMP LOST TRUMP LOST,,,,,,
30,"Hey FOX where is the people, this would be the live event of the Arizona State Legislature.",,,,,,
31,BIDEN 2020,,,,,,
32,the right wants a wat,,1.0,,,,
33,"Thiefs, thiefs, thiefs...",1.0,,,,,
34,Y’all trump supporters sum else,1.0,,,,,
35,The left is garbage,1.0,1.0,,,,
36,FOX/CNN/RT/BBC all on the same team,,,,,,
37,Can’t be fair when you separate ballots from their envelopes instead of keeping them together for traceability. This is a joke and we all know it,,,,,,
38,hahaha hahaha hahaha,,,,,,
39,PRESIDENT BIDEN!!!!!!!,,,,,,
40,MAGAT meltdown in progress,1.0,,,,,
41,TRUMP TURMP TURMP,,,,,,
42,fradulent election,1.0,,,,,
43,1776 SHALL COMMENCE AGAIN,,,,,,
44,rigged election,,,,,,
45,@khavy vath Yup,,,,,,
46,Left vs right paradigm is for the birds.,,,,,,
47,Stop the steal,,,,,,
48,💙💙💙💙💙💙💙,,,,,,
49,Blue Wave LMAO. hardly,,,,,,
50,Guantanamo,,,,,,
51,search rsbc Arizona to find the real meeting,,,,,,
52,You can’t arrest the thief until he leaves the store!,,,,1.0,,
53,most secure lol,,,,,,
54,It is time for Trump to stop lying about the election.,1.0,,,,,
55,lies,,,,,,
56,Canada for TRUMP!!!!,,,,,,
57,Trump won!!!!,,,,,,
58,ON POINT ERICK,,,,,,
59,they're all going to be charged with treason,1.0,,,,,
60,Rigged,,,,,,
61,Fox News is nothing but a trader,1.0,,,,,
62,Lol trump supporters are crying with their bibles in their hands and posting comments. I’m enjoying you guys crying over Biden winning.,1.0,,,,,
63,✝️GOD BLESS PRESIDENT BIDEN✝️,,,,,,
64,Should I get my don’t blame me I voted for Trump bumper sticker now or later ?,,,,1.0,,
65,its funny that none of the maricopa county mail in ballots had signatures varified.,,,,,,
66,This was not a clean election,,,,,,
67,Trump landslide,,,,,,
68,treason,,,,,,
69,All these people are going to look so bad on inauguration day,,,,,,
70,she lying,1.0,,,,,
71,"Arizona gave Trump supporters sharpies, NEVER FORGET. The left cheats.",,1.0,,1.0,,
72,Hello dictatorship,,,,1.0,,
73,Conservative tears 😂,,1.0,,,,
74,Hard to hear her,,,,,,
75,This cannot be verified. African Americans please leave the building,,1.0,,,,
76,MAGA!,,,,,,
77,Biden and left swamp are corrupt ☠️,,1.0,,1.0,,
78,aahhhhhh shud up biiiich lol,,,,,,1.0
79,"Look at the Trump people meltdown 😆😆😆this is what a high school degree get ya, folks! go to college! uneducated chumps. bottom of the barrel!",1.0,,,1.0,,1.0
80,you can either love America or love Donald Trump not both it's common sense,,,,,,
81,Canada is hoping TRUMP will expose these criminals,,,,,,
82,Trump will be president,,,,,,
83,Update me,,,,,,
84,if you certify those votes knowing there are fraudulent votes thats instant treason.. i dare you,,,,,,
85,This is a sham this coo and treasonous act will do short drop sudden stop dance,,,,1.0,,
86,Cover your nose,,,,,,
87,Insurrection act,,,,,,
88,Safely?? She’s not even wearing her mask correctly 🙄🤦🏻‍♀️,1.0,,,,,
89,RIGGED!,,,,,,
90,TRUMP LOST! MC SALLY LOST! 😆 BLUE WAVE🌊🌊,,,,,,
91,"trump = fake "" university"" CON MAN. CRIMINAL. why didn't he pay the contractors that built his buildings??",1.0,,,1.0,,
92,Its been rigged for decades,,,,,,
93,certified 👌🏾,,,,,,
94,swamp worms,,,,,,1.0
95,Sucks for yall,1.0,,,,,
96,Seriously doubt trump will be president its over,,,,,,
97,I ove the smell of Trumpers melting down,1.0,,,,,
98,blue Wave that lost you more seats in the house?? LMAO,,,,,,
99,rigged!,,,,,,
100,bring back our country from Venezula!,,,,,,
101,None of you clowns are familiar with the Supreme Court Lol 😂,,,,1.0,,
102,"WHEN TYRANNY BECOMES LAW, REBELLION BECOMES DUTY. - George Washington",,,,,,
103,Rigged,,,,,,
104,Dritical thinking sure seems in short supply here.,1.0,,,,,
105,he lying too,1.0,,,,,
106,liberals electing a Washington noe-con.. priceless,,1.0,,,,
107,why are Biden supporters still so mad . is it because there all racist,,,,,,
108,TRUMP make America great again for another 4 years,,,,,,
109,"140 k on NTD, wow",,,,,,
110,"There are 149,000 plus watching the FACTS on RSB",,,,,,
111,Liberals for the deep state.,,,,,,
112,Take this Supreme Court take it to Mars for all I care Biden won n there no proof,,,,,,
113,Get a Canadian bank account fast,,,,,,
114,😂😂😂😂😂😂😂,,,,,,
115,you forgot to thank the crooked poll workers,1.0,,,,,
116,"LEGISLATURE IS GOING TO DE-CERTIFY THIS ""CERTIFICATION""",,,,,,
117,Weak Joe Biden sleep walks right past you,1.0,,,,,
118,PLEASE GO TO RSBN TO THE REAL NEWS STATE LEGISLATURE HOLD HEARING ARIZONA,,,,,,
119,🌊🌊🌊🌊🌊🌊🌊🌊🌊,,,,,,
120,I’m goin to ntd peace,,,,,,
121,can we all just get along,,,,,,
122,#DiaperDon still complaining #DiaperDon #DiaperDon,1.0,,,,,1.0
123,"whats the punishment for treason? you should look it up, its gonna give a whole new meaning to the term ""swing state""... buckle up and enjoy the show",,,,,,
124,If Trump doesn’t win SHAME ON DC,1.0,,,,,
125,Money from Facebook,,,,,,
126,✝️THE LORD OUR GOD HAS CHOSEN JOE BIDEN AS OUR SAVIOUR ✝️,,,,,,
127,"make trump become more rich just like BUSH,CLINTON, AND OBAMA LAMA",,,,1.0,,
128,Left or Right.....SAME TEAM...if you vote....you vote for your own oppression (MASTERS). Vote for Jesus Christ.....thats my leader,,,,,,
129,it's hilarious that you can just look at a Trump supporter and know they barely graduated high school. you people need to be pushed to the back of the room. disgusting deplorable people. BIDEN 2020!!,1.0,1.0,,,1.0,1.0
130,on both side of the grass,,,,,,
131,MAGAT meltdown in progress,1.0,,,,,
132,it was a 100% Free and Fair election and everyone knows it,,,,,,
133,Snowflakes,1.0,,,,,
134,Que ago aqui ??,,,,,,
135,it's a sad day when free people vote their own rights away. It's ok this is America and the patriots in this great nation won't put up with it much longer,,,,,,
136,"Arizona is NOT a ""Blue"" state. That's why she's trying SO hard to convince people there was no way to cheat via mail-in. Your own state has local news stories of seniors voting but NOT having voted.",,,,1.0,,
137,Biden for 8 years,,,,,,
138,BIDEN AND HARRIS AND KELLY WINS!!!!!,,,,,,
139,cry trump cry lol,1.0,,,,,
