Unnamed: 0,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,username@mKitKmamyy,TURKEY WITH CRANBERRY SAUCD,01:02:00,,,,,,
1,username@rdrkCk kyd,Maga Trump 2020 Faux News Suck,01:12:00,,,,,,
2,username@hr33esr3ei,Mike Haley🙋🏼‍♂️👌🏻👌🏻,01:13:00,,,,,,
3,username@nnccifnacc,even dead people voted for the Big guy...,01:15:00,,,,,,
4,username@WeNN gaaia,Mike please tell me why,01:27:00,,,,,,
5,username@BraBaaaBjB,c'mon do lund trump,01:29:00,,,,,,
6,username@ym  OmOm e,why is my last 2 comments in pale grey now? almost faded out. am I muted? I didn't say anything wrong or rude.,01:32:00,,,,,,
7,username@USJY SOVTR,Jesus Christ is coming soon to rapture his people repent and accept him as Lord and savior 🙏🙌🕊️✝️🛐❤️,01:46:00,,,,,,
8,username@Hn neJJyee,the turkey pardons the turkey,01:50:00,,,,,,
9,username@aaFZFnna k,Sammy you are limited,01:57:00,,,,,,
10,username@ynlrGneuuu,China Virus. It came from China,02:04:00,,,,,,
11,username@hraebhaaea,"Why isn't the ""president-elect"" trying to pardon this turkey with his transition team? Outrageous!",02:14:00,,,,,,
12,username@ostLoLrr r,Last thanksgiving for you trump in White House,02:14:00,,,,,,
13,username@cheearPoPw,Were is daddy Trump,02:25:00,,,,,,
14,username@ntntniDrnv,"TRUMP was not ""Fired"" come 2024 when he rerun and I believe he will 2024 he wins why because he connected with many people of all ethnic backgrounds NO PANDEMIC=NO BIDEN believe it or not TRUMP WINS!",02:29:00,,,,,,
15,username@KyKhthGaKa,Best President ever! God Bless America !,02:29:00,,,,,,
16,username@loleugrule,It’s in slow mode @Sammy Oliver. You have to wait about a minute between post when it’s in slow mode,02:37:00,,,,,,
17,username@eta111plat,We Will Win,02:37:00,,,,,,
18,username@d rrJoa  r,If there is no path forward for Trump... he should release all prisonsers... everywhere... good luck Biden,02:50:00,,,,,,
19,username@BE. KK DDU,"CORN and COB - Anyone think Trump is TROLLING Biden's ""CORN POP"" story ???",02:53:00,,,,,,
20,username@goeGoereGe,Q was wrong 😑,03:02:00,,,,,,
21,username@atdt  tddd,Hopefully the reporters will let them do this without issue,03:08:00,,,,,,
22,username@oJuaoLánoJ,BIDEN 2024,03:09:00,,,,,,
23,username@eGmmjsssom,"What, is, this,? A real, President, is, speaking,.! Hallelujah.! Hallelujah,. ! Hallelujah..,! Thunderous!!! Speech. A true Commander-in-Cheif. Donald Trump, take notes... No more, reality TV",03:10:00,,1.0,,,,
24,username@allvvvAlAe,this turkey 🦃 is smarter that Joe Frauden Biden. 👍,03:11:00,,,,1.0,,
25,username@eqaaeqaJee,Its going down...,03:13:00,,,,,,
26,username@oabt roatt,TRUMP HAS A BUSINESS IN TURKEY,03:14:00,,,,,,
27,username@rMaMaonany,It’s not over.,03:17:00,,,,,,
