Unnamed: 0,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,username@add  oadyo,:buffering:,0:01:00,,,,,,
1,username@leunAAAzNz,Who’s playing with him,0:01:00,,,,,,
2,username@ERETATTAPM,Hey guys!!!!,0:05:00,,,,,,
3,username@cazzii ooe,late,0:07:00,,,,,,
4,username@cTrTWyWeTy,okay every stop for a sec!!!!!,0:08:00,,,,,,
5,"username@LaCDL,nLee",David,0:10:00,,,,,,
6,username@aterSStlri,1st,0:15:00,,,,,,
7,username@iJleJiielJ,nogla late,0:16:00,,,,,,
8,username@J EJ EEEJE,late,0:16:00,,,,,,
9,username@nWyegzWeyy,i want to sleep start,0:19:00,,,,,,
10,username@zol lli  o,stay low stay low,0:21:00,,,,,,
11,username@Zc eeeMcee,:_noglaSip:,0:22:00,,,,,,
12,username@pmTNeeTT,Hiii,0:24:00,,,,,,
13,username@nnaenaGeen,Lol,0:27:00,,,,,,
14,username@TcyTleean,pog,0:27:00,,,,,,
15,username@lle8e99Bgt,Hi!!!❤️,0:27:00,,,,,,
16,username@miiihTeiPe,"Howdy doody, I wonder if he’s playing with pewds again.",0:28:00,,,,,,
17,username@na nneeera,late af,0:28:00,,,,,,
18,username@pbiiANbypi,POOOOOOOF,0:29:00,,,,,,
19,username@ZPePPuZegr,Yes,0:29:00,,,,,,
20,username@ruagllpagl,hey nogla,0:30:00,,,,,,
21,username@orsoBBosty,🔥,0:30:00,,,,,,
22,username@a  nennsse,Hey nogla,0:31:00,,,,,,
23,username@kjiimjikkm,Hi,0:31:00,,,,,,
24,username@22tO2kaeOe,:3,0:32:00,,,,,,
25,username@eooenkSneo,no you arent,0:32:00,,,,,,
26,username@llkoil   W,hi,0:33:00,,,,,,
27,username@๑๑๑๑๑๑๑๑๑๑,owo,0:33:00,,,,,,
28,username@pynkonpoep,aeiou,0:33:00,,,,,,
29,username@oan aaAauo,Early,0:33:00,,,,,,
30,username@ERETATTAPM,Playing wz but gotta have the live uppp,0:33:00,,,,,,
31,username@euTu luBB,Wassup,0:33:00,,,,,,
32,username@uoeWaosaDe,Hello 😀,0:34:00,,,,,,
33,username@NrNzzimiam,hi,0:34:00,,,,,,
34,username@n nnsnhoaa,Where’s vannos,0:34:00,,,,,,
35,username@uYccrsuYro,Hello✨,0:35:00,,,,,,
36,username@nre erxnnn,Hi,0:35:00,,,,,,
37,username@eJ J Be tn,E,0:35:00,,,,,,
38,username@eelhhhettl,HI,0:35:00,,,,,,
39,username@yabMbri Cr,hi nogla,0:36:00,,,,,,
40,username@TllBahPaaB,eyyy,0:38:00,,,,,,
41,username@newnhtnnne,It’s wildcat,0:38:00,,,,,,
42,username@esFFaoan e,Pee pee poo poo,0:38:00,,,,,,
43,username@atDaeD dRe,Ayo,0:38:00,,,,,,
44,username@rSnSSiySoe,hi,0:38:00,,,,,,
