Unnamed: 0,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,username@add  oadyo,:buffering:,00:01:00,,,,,,
1,username@leunAAAzNz,Who’s playing with him,00:01:00,,,,,,
2,username@ERETATTAPM,Hey guys!!!!,00:05:00,,,,,,
3,username@cazzii ooe,late,00:07:00,,,,,,
4,username@cTrTWyWeTy,okay every stop for a sec!!!!!,00:08:00,,,,,,
5,"username@LaCDL,nLee",David,00:10:00,,,,,,
6,username@aterSStlri,1st,00:15:00,,,,,,
7,username@iJleJiielJ,nogla late,00:16:00,,,,,,
8,username@J EJ EEEJE,late,00:16:00,,,,,,
9,username@nWyegzWeyy,i want to sleep start,00:19:00,,,,,,
10,username@zol lli  o,stay low stay low,00:21:00,,,,,,
11,username@Zc eeeMcee,:_noglaSip:,00:22:00,,,,,,
12,username@pmTNeeTT,Hiii,00:24:00,,,,,,
13,username@nnaenaGeen,Lol,00:27:00,,,,,,
14,username@TcyTleean,pog,00:27:00,,,,,,
15,username@lle8e99Bgt,Hi!!!❤️,00:27:00,,,,,,
16,username@miiihTeiPe,"Howdy doody, I wonder if he’s playing with pewds again.",00:28:00,,,,,,
17,username@na nneeera,late af,00:28:00,,,,,,
18,username@pbiiANbypi,POOOOOOOF,00:29:00,,,,,,
19,username@ZPePPuZegr,Yes,00:29:00,,,,,,
20,username@ruagllpagl,hey nogla,00:30:00,,,,,,
21,username@orsoBBosty,🔥,00:30:00,,,,,,
22,username@a  nennsse,Hey nogla,00:31:00,,,,,,
23,username@kjiimjikkm,Hi,00:31:00,,,,,,
24,username@22tO2kaeOe,:3,00:32:00,,,,,,
25,username@eooenkSneo,no you arent,00:32:00,,,,,,
26,username@llkoil   W,hi,00:33:00,,,,,,
27,username@๑๑๑๑๑๑๑๑๑๑,owo,00:33:00,,,,,,
28,username@pynkonpoep,aeiou,00:33:00,,,,,,
29,username@oan aaAauo,Early,00:33:00,,,,,,
30,username@ERETATTAPM,Playing wz but gotta have the live uppp,00:33:00,,,,,,
31,username@euTu luBB,Wassup,00:33:00,,,,,,
32,username@uoeWaosaDe,Hello 😀,00:34:00,,,,,,
33,username@NrNzzimiam,hi,00:34:00,,,,,,
34,username@n nnsnhoaa,Where’s vannos,00:34:00,,,,,,
35,username@uYccrsuYro,Hello✨,00:35:00,,,,,,
36,username@nre erxnnn,Hi,00:35:00,,,,,,
37,username@eJ J Be tn,E,00:35:00,,,,,,
38,username@eelhhhettl,HI,00:35:00,,,,,,
39,username@yabMbri Cr,hi nogla,00:36:00,,,,,,
40,username@TllBahPaaB,eyyy,00:38:00,,,,,,
41,username@newnhtnnne,It’s wildcat,00:38:00,,,,,,
42,username@esFFaoan e,Pee pee poo poo,00:38:00,,,,,,
43,username@atDaeD dRe,Ayo,00:38:00,,,,,,
44,username@rSnSSiySoe,hi,00:38:00,,,,,,
45,username@nLLnkLnpuo,Yuurrrrrrr,00:38:00,,,,,,
46,username@Frsbr.tM.t,Greetings,00:39:00,,,,,,
47,username@GeG_yririe,hello,00:39:00,,,,,,
48,username@rdCaairnrl,hi,00:39:00,,,,,,
49,username@eVoltdRV_d,speedy bro,00:39:00,,,,,,
50,username@TevvT eeee,Howdy doody,00:39:00,,,,,,
51,username@NoNutsurGa,Hey,00:40:00,,,,,,
52,username@on.buoo ru,Colorblind again lol,00:40:00,,1.0,,,,
53,username@aosDvooova,meow,00:42:00,,,,,,
54,username@o SirS oiS,hey,00:43:00,,,,,,
55,username@ rmmaeaete,Nooooglaaa,00:43:00,,,,,,
56,username@hffsfofiis,Holy shit d4,00:44:00,,,,,,
57,username@ioxnp nole,Sup Nogla?,00:45:00,,,,,,
58,username@TuosNNTTaN,.,00:45:00,,,,,,
59,username@dhnToyokdb,How’s everyone,00:45:00,,,,,,
60,username@aorClhnaeC,pp,00:45:00,,,,,,
61,username@amhncSdSpd,Nogla is already dead and the stream just started,00:46:00,,,,,,
62,username@RzRdloozdz,That’s my night sorted,00:46:00,,,,,,
63,username@nriiprmu u,Yello Nogla Potato,00:46:00,,,,,,
64,username@MreMrrGuea,Hello,00:46:00,,,,,,
65,username@669Aaa69v9,Hi nogla,00:46:00,,,,,,
66,username@ bb gsmueu,yay I'm early,00:49:00,,,,,,
67,username@SGGcaG tel,Hey,00:49:00,,,,,,
68,username@lcaWcWllll,pog,00:49:00,,,,,,
69,username@kaSS桜aaaSS,Came as quick as possible,00:49:00,,,,,,
70,username@nPJhPhJhn,what's up!!!,00:49:00,,,,,,
71,username@goarggrRRt,Pooop,00:50:00,,,,,,
72,username@tTa aT_ti_,Leroooooo jankkkkkkkensss,00:50:00,,,,,,
73,username@TcyTleean,POOFESURE,00:50:00,,,,,,
74,username@zegablg0eb,stay low stay frosty,00:51:00,,,,,,
75,username@totRtt  so,Hello nogla,00:53:00,,,,,,
76,username@niobo drbr,Hoowwwdyy,00:53:00,,,,,,
77,username@aterSStlri,wtf did it start here,00:53:00,,,,,,1.0
78,username@e aienngue,Helloo,00:53:00,,,,,,
79,username@aie5Niei5t,damn no vannos byebye,00:54:00,,,,,,
80,username@cTrTWyWeTy,Creeper!!!!!!!!!!!,00:54:00,1.0,,,,,1.0
81,username@eeanazmemo,ALRIGHTTTT,00:54:00,,,,,,
82,username@B rgiBu rg,guys my crush just said yes 😊i’m so happy with him,00:54:00,,,,,,
83,username@1ace89 c9h,I’m gonna fall asleep to this,00:54:00,,,,,,
84,username@rahyhssCh,Noglq got clapped,00:55:00,,,,,,
85,username@6F9r 9oi e,we want vanoss,00:55:00,,,,,,
86,username@eJ J Be tn,R,00:55:00,,,,,,
87,username@ it2P7 in7,Eyyy top 300,00:55:00,,,,,,
88,username@U rb rrrS,hi,00:55:00,,,,,,
89,username@seih hsTsn,why aren't you screaming over each other,00:55:00,,,,,,
90,username@lrlhhCheae,Aye nogla,00:55:00,,,,,,
91,username@eeyiuleLLL,Get basically in here,00:55:00,,,,,,
92,username@zdoizdoaoL,Helo,00:55:00,,,,,,
93,username@pynkonpoep,oh neat it's speedy from kaif,00:56:00,,,,,,
94,username@snnPvPverv,Like the video guys,00:56:00,,,,,,
95,username@vagitive n,Is trash,00:57:00,,,,,,
96,username@LLAA iiiiL,hello nogla 💚💚💚,00:57:00,,,,,,
97,username@uuRui.uJJJ,Ahhh you're playing with Poofesure!!!,00:57:00,,,,,,
98,username@0s1mSS30hm,What’s gooood nogla,00:58:00,,,,,,
99,username@aSo ccpooo,poo poo pee pee,00:58:00,,,,,,
100,username@21i r r 2i,Hi,00:58:00,,,,,,
101,username@t8t66rooco,Poof!,01:00:00,,,,,,
102,username@eeqrgeuqFE,who killed you nogla just got here,01:00:00,,,,,,
103,username@dd icycd i,jeopardy,01:00:00,,,,,,
104,username@xsxElaxplx,ohh yeah,01:00:00,,,,,,
105,username@NNNEAAN5AN,It’s lazar definitely,01:01:00,,,,,,
106,username@rkaginra k,poop,01:02:00,,,,,,
107,username@AneldnTaao,howdy dowdy,01:03:00,,,,,,
108,username@zol lli  o,keep calm and keeper going,01:03:00,,,,,,
109,username@a ywdoadcc,Hey Nogla!!!,01:03:00,,,,,,
110,username@ikdsseksii,hey,01:03:00,,,,,,
111,username@ci rtLiu i,hi nogla,01:04:00,,,,,,
112,username@osalJaiJJh,Howdy doody,01:04:00,,,,,,
113,username@taAdaAdaR,pog,01:05:00,,,,,,
114,username@nn oroi ui,Hey,01:05:00,,,,,,
115,username@BBseabaePs,Evan dosen't have to be here ryan,01:05:00,,,,,,
116,username@newnhtnnne,It’s wildcat,01:05:00,,,,,,
117,username@r2byer8rCC,I'm a fan nogla,01:06:00,,,,,,
118,username@ayollooaaC,hoii uwu,01:06:00,,,,,,
119,username@aorClhnaeC,pog,01:06:00,,,,,,
120,username@og25oooanm,lflzlc,01:06:00,,,,,,
121,username@lsMGtysy s,sup nolga,01:07:00,,,,,,
122,username@eaenggeg a,"Please play black and white mode again, that was hilarious",01:09:00,,,,,,
123,username@NoNutsurGa,There gonna be fffffffucked,01:09:00,,,,,,
124,username@eBufuDTfBt,:thanksdoc::thanksdoc:,01:10:00,,,,,,
125,username@aeSewnnSeh,What are you doing step bro,01:10:00,,,,,,
126,username@oerSorier,hi,01:10:00,,,,,,
127,username@Dne._ o ge,POOOOOOOOOOOFFFFF,01:12:00,,,,,,
128,username@asroCCoehC,what up bitch,01:12:00,,,,,,1.0
129,username@uGyuGuyyuy,Nogla accidentally started streaming prob,01:13:00,,,,,,
130,username@4vva5pa5ea,I love you nogla! good to see u on louder with crowder a while back :),01:13:00,,,,,,
131,username@amhncSdSpd,Man chat really sped up once stream started,01:13:00,,,,,,
132,username@ennlDeneld,안녕하세요!!!,01:16:00,,,,,,
133,username@uaNaagmmNm,k,01:17:00,,,,,,
134,username@Sto or a t,i am here,01:18:00,,,,,,
135,username@Frsbr.tM.t,How is everyone doing...?,01:19:00,,,,,,
136,username@LF66LLL_F3,I thought servers were down,01:20:00,,,,,,
137,username@-ɴᴍ 'ᴀ ᴍ -,SOFT PHROG,01:20:00,,,,,,
138,username@edye taatd,hi,01:20:00,,,,,,
139,username@eooenkSneo,I wonder if he risked starting stream in middle of game,01:20:00,,,,,,
140,username@ue aauaeKd,hello,01:21:00,,,,,,
141,username@rnD rer Do,wow,01:22:00,,,,,,
142,username@laiieMMMny,Hiiii,01:22:00,,,,,,
143,username@oiincc uo,Where the face cam? lol,01:23:00,,,,,,
144,username@b 2ey4t22t,how was your day,01:23:00,,,,,,
145,username@Cbaavnuara,can someone tell me happy birthday,01:24:00,,,,,,
146,username@rrVCeVfnso,Another Night Another Nogla! ❤,01:25:00,,,,,,
147,username@esMf afMiM,who are these people? lol,01:25:00,,,,,,
148,username@cgan Amn e,its kruz,01:26:00,,,,,,
149,username@nre erxnnn,Hi nogla,01:26:00,,,,,,
150,username@ruunslosdu,Shit,01:27:00,,,,,,
151,username@solBumlmSe,Hey,01:27:00,,,,,,
152,username@isoaMaalii,ballsack,01:28:00,,,,,,
153,username@B rgiBu rg,black and white again,01:28:00,,,,,,
154,username@DFRorneirF,invite vanoss #beliveinvanoss,01:28:00,,,,,,
