Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
7898,F,username@ SS  GGGS,1:39:41,,,,,,
7899,LMAOOOO,username@htaCPtt hi,1:39:41,,,,,,
7900,:_pewdieFRIP:,username@kéekekPreP,1:39:42,,,,,,
7901,:_pewdieFRIP::_pewdieFRIP::_pewdieFRIP::_pewdieFRIP::_pewdieFRIP::_pewdieFRIP::_pewdieFRIP:,username@adeRadaaRR,1:39:42,,,,,,
7902,"also jack: ""kill my partner please""",username@aHaHHHaaHH,1:39:43,,,,,,
7903,:_pewdieFRIP:,username@ mBndat,1:39:43,,,,,,
7904,:_pewdieRip:,username@elcei  rro,1:39:43,,,,,,
7905,HAHAHAHAH,username@htaCPtt hi,1:39:46,,,,,,
7906,f,username@hAmziiAdHa,1:39:47,,,,,,
7907,What did I just join,username@agoorhtMnn,1:39:47,,,,,,
7908,f,username@adSaarSSa,1:39:47,,,,,,
7909,lmaoo,username@khkahkAaAk,1:39:48,,,,,,
7910,Zero deaths,username@ SS  GGGS,1:39:48,,,,,,
7911,hahahahaha,username@ Rroraooro,1:39:49,,,,,,
7912,@Night King 48 second! Pewds died in the streethouse and Jack left him again haha,username@cCherokroe,1:39:52,,,,,,
7913,Spoopy,username@B BssBRsso,1:39:53,,,,,,
7914,f,username@tatnnnnNki,1:39:54,,,,,,
7915,F,username@lWalilWali,1:39:56,,,,,,
7916,:_pewdieFRIP:,username@eJeJTkaeec,1:39:57,,,,,,
7917,you can see the ghost when you are dead,username@ MM AAM MA,1:39:57,,,,,,
7918,A WARROIR,username@oJ aC  oaa,1:39:59,,,,,,
7919,xD,username@mco_e 1a1o,1:40:01,,,,,,
7920,:_pewdieFRIP::_pewdieFRIP::_pewdieFRIP:,username@c rhhheiKc,1:40:03,,,,,,
7921,lol a pewdiepie funeral with just. jack? sus,username@ByyyeyoBoe,1:40:03,,,,,,
7922,SHRIEEEKS,username@oJ aC  oaa,1:40:04,,,,,,
7923,:_pewdieRip:,username@aHaHHHaaHH,1:40:05,,,,,,
7924,f,username@ppmypinnpm,1:40:06,,,,,,
7925,spoooopi,username@RbaRaEd Rm,1:40:09,,,,,,
7926,kenneth did him dirty,username@onKmleKmKn,1:40:10,,,,,,
7927,LMAOO,username@htaCPtt hi,1:40:10,,,,,,
7928,Yoga Pose 😂,username@BTTDTDTBTD,1:40:12,,,,,,
7929,:_pewdieLeg2::_pewdieLeg2::_pewdieLeg2:,username@xC CCCAlo,1:40:12,,,,,,
7930,thats a yoga pose,username@cwcaeenadd,1:40:12,,,,,,
7931,LUL,username@vMv vMoiMd,1:40:14,,,,,,
7932,both pewdiepies are ded,username@V orrieoo,1:40:15,,,,,,
7933,KATE WE HAVE TO GO BACK,username@ByyyeyoBoe,1:40:24,,,,,,
7934,lol the walking gets me every time,username@lsmsslmsss,1:40:27,,,,,,
7935,I look away for 10 seconds and he's dead,username@htaCPtt hi,1:40:28,,,,,,
7936,Pewds was not the imposter,username@etteeesr N,1:40:29,,,,,,
7937,Jacks ded,username@cCherokroe,1:40:31,,,,,,
7938,"""he died like a warrior"" lol, he screamed like a baby, and so was i",username@Pipo P ppy,1:40:31,,,,,,
7939,Sheet,username@eddsedeWeW,1:40:32,,,,,,
7940,😹,username@nqdqeddnae,1:40:32,,,,,,
7941,🤣,username@akakakeaJJ,1:40:32,,,,,,
7942,send him to bed,username@ Mssy  iM,1:40:36,,,,,,
7943,:_pewdieZerodeaths:,username@uoypudeube,1:40:37,,,,,,
7944,​The Donations don't go to Charity. Only the Members money.,username@htithhttbo,1:40:39,,,,,,
7945,pewds lost his legs,username@Wasr!W! !I,1:40:41,,,,,,
7946,!discord,username@Loovooovov,1:40:42,,,,,,
7947,bruh tf,username@vMv vMoiMd,1:40:42,,,,,,
7948,"Want to join the PewDiePie Discord server? Make sure to connect your YouTube account to your Discord, by following these steps: Go to Discord on desktop --> User Settings --> Connections --> YouTube.",username@htithhttbo,1:40:43,,,,,,
7949,Kenneth trapped him and choked to death,username@tatnnnnNki,1:40:43,,,,,,
7950,LMAO I love jack ranting in the background and we cant hear him,username@ByyyeyoBoe,1:40:49,,,,,,
7951,You're clipping this game is glitchy,username@cCherokroe,1:40:50,,,,,,
7952,:_pewdieWat:,username@eddsedeWeW,1:40:52,,,,,,
7953,"Felix and Ken, bestfriends",username@aHaHHHaaHH,1:40:54,,,,,,
7954,Jack: he went down like a warrior Pewds:*Screaming*,username@AAr ronaod,1:40:57,,,,,,
7955,:_pewdieRicardo::_pewdieRicardo::_pewdieRicardo::_pewdieRicardo::_pewdieRicardo::_pewdieRicardo:,username@eddsedeWeW,1:40:58,,,,,,
7956,waving at Jack lamo,username@felllllefl,1:41:01,,,,,,
7957,looool,username@ MM AAM MA,1:41:02,,,,,,
7958,check. the bus,username@Ca CiQCCaQ,1:41:03,,,,,,
7959,and lamenting,username@felllllefl,1:41:05,,,,,,
7960,"Hello, nightbot",username@bmFn-mlnoo,1:41:05,,,,,,
7961,poor pewds,username@rrulurrrpl,1:41:06,,,,,,
7962,Lollll,username@xss oxos J,1:41:06,,,,,,
7963,Lmaooo,username@oJ aC  oaa,1:41:07,,,,,,
7964,his braveness lasted 2.5 seconds,username@aaSantsaaa,1:41:09,,,,,,
