Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
6000,:_pewdieFace::_pewdieFace::_pewdieFace:,username@pppk rahsi,54:15:00,,,,,,
6001,yes,username@tr  oiphiC,54:16:00,,,,,,
6002,:_pewdieTambo::_pewdieTambo:,username@nupPrriS i,54:17:00,,,,,,
6003,yes,username@PGa  a Paa,54:17:00,,,,,,
6004,Noice,username@ddEcCC  ad,54:18:00,,,,,,
6005,lol,username@rrulurrrpl,54:19:00,,,,,,
6006,irish scary noises,username@iyiiwyteor,54:23:00,,,,,,
6007,:_pewdieSmolpp:,username@asmmaeneme,54:23:00,,,,,,
6008,CAN CONFIRM,username@ ereAlm el,54:23:00,,,,,,
6009,He didn’t wash his hands,username@pasei gale,54:24:00,,,,,,
6010,THIRD TIER is BEST,username@5wHw5akHH0,54:26:00,,,,,,
6011,flooooor gnggg,username@SPyattaPot,54:27:00,,,,,,
6012,At least there's no jump scare music...,username@ LactSSayt,54:28:00,,,,,,
6013,h,username@J nno.h.R.,54:33:00,,,,,,
6014,NO,username@ia P PPebe,54:34:00,,,,,,
6015,:_pewdieFloorGang::_pewdieOUH:,username@aÁiiaali,54:34:00,,,,,,
6016,IF YOU SEND ENOUGH CAPS,username@5wHw5akHH0,54:40:00,,,,,,
6017,Noooo I’m late. I took a nap :_pewdieReee:,username@edEred dEp,54:40:00,,,,,,
6018,Pewds is playing with: @Jacksepticeye,username@htithhttbo,54:41:00,,,,,,
6019,no sleep gang,username@ppleaaioGM,54:41:00,,,,,,
6020,:_pewdieHead2::_pewdieTorso2::_pewdieLeg2:,username@rdottraBya,54:42:00,,,,,,
6021,:_pewdieEdgar2::_pewdieEdgar2::_pewdieEdgar2:,username@JoonJonoJo,54:43:00,,,,,,
6022,Sean is having a heart attack while Felix is trying to fix his cursor.,username@Dzllabylez,54:48:00,,,,,,
6023,ISSA POLTERGEIST,username@evKeaKuKse,54:49:00,,,,,,
6024,He didn’t wash his hands,username@pasei gale,54:51:00,,,,,,
6025,does he have a strong flashlight yet?!,username@cCherokroe,54:52:00,,,,,,
6026,don't they have a thermometer?,username@ MM AAM MA,54:56:00,,,,,,
6027,no sleep gang!,username@веинвлмкКА,54:56:00,,,,,,
6028,:_pewdieJörgen:,username@eJaatnnlnJ,54:58:00,,,,,,
6029,Look,username@BrGBerBaa,54:59:00,,,,,,
6030,IF YOU SEND LONG MESSAGE WITH CAPS,username@5wHw5akHH0,55:00:00,,,,,,
6031,please fix audio delay,username@eiielulLws,55:01:00,,,,,,
