Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,ayyyy,username@HtHrtytytr,0:00:00,,,,,,
1,:_pewdieDuck::_pewdieDuck::_pewdieDuck::_pewdieDuck:,username@ei.lteiiik,0:01:00,,,,,,
2,:_pewdieRicardo:,username@조조이이이아아조낌조,0:02:00,,,,,,
3,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@2jij33a2ij,0:03:00,,,,,,
4,Late gang,username@r DkUDUr t,0:07:00,,,,,,
5,corpse :_pewdieSIMP:,username@Ammhmmhyem,0:10:00,,,,,,
6,Yess phasmophobia with corpse could be awesome !!,username@eoezeAAezz,0:11:00,,,,,,
7,"if you were turned into an animal, what would it be and why",username@tK  ohhlot,0:13:00,,,,,,
8,:_pewdieBrofist:,username@eeZeDZeeZZ,0:14:00,,,,,,
9,phasmophobia vr is pog,username@onKmleKmKn,0:14:00,,,,,,
10,:_pewdieBrofist2::_pewdieBrofist2:,username@Caan0Sn0a7,0:15:00,,,,,,
11,:_pewdieBrofist:,username@arroroNaia,0:15:00,,,,,,
12,:_pewdieReee:,username@usiiianina,0:18:00,,,,,,
13,on time baby,username@l ilRR lml,0:19:00,,,,,,
14,hey floor gang,username@2jij33a2ij,0:20:00,,,,,,
15,yoooo i cant stay up this late lol,username@ei.lteiiik,0:21:00,,,,,,
16,"cmoooon start the stream, i wanna eat my cereal while watching",username@uGdudGAuyy,0:23:00,,,,,,
17,i got a tampon ad wtf?!,username@nala yyeyn,0:25:00,,,,,,
18,:_pewdieFloorGang2:,username@1_01_01116,0:25:00,,,,,,
19,I'm a member😎,username@e lirEihlr,0:26:00,,,,,,
20,:_pewdieBrofist:,username@mmNyNeNmmN,0:26:00,,,,,,
21,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@mRr aKaaRe,0:26:00,,,,,,
22,:_pewdieRip::_pewdieRip:,username@ohroA idAa,0:27:00,,,,,,
23,:_pewdieFloorGang2:,username@jhihheiije,0:28:00,,,,,,
24,yah a add,username@svamoiahhi,0:28:00,,,,,,
25,epicc,username@l00000ll0l,0:29:00,,,,,,
26,Yes let’s goooo,username@oxaoCCoaoo,0:29:00,,,,,,
27,hallooo,username@mzmnmmm zz,0:30:00,,,,,,
28,omg scare pewdiepie season 2 is out finally,username@JJaJyyJJay,0:31:00,,,,,,
29,good early morning from PH!,username@rAdbdAamrd,0:31:00,,,,,,
30,BIRTHDAY GANG,username@RReKaeyKRg,0:31:00,,,,,,
31,is rh 15th of october like most common birth day or smn XDXD ? because there is like 3 + me who has bday today xD,username@Atl k kAkk,0:31:00,,,,,,
32,lmao which one of you found my art account and commented on it saying i was on stream,username@knooin gnk,0:33:00,,,,,,
33,hello bros ^^,username@BkhhrnaBBg,0:33:00,,,,,,
34,HEYYYYYYYY,username@ncNiNiirio,0:34:00,,,,,,
35,aaaaand to the commerciaals,username@e h oaahho,0:34:00,,,,,,
36,YEEEEEEEEE,username@ehLL anaon,0:35:00,,,,,,
37,Love All You Guys,username@coJaapohes,0:37:00,,,,,,
38,❤️,username@srnsnuiuue,0:37:00,,,,,,
39,early gang,username@ZeZuoZFrZo,0:37:00,,,,,,
40,FLOOR GANG OUH OUH hope everyone's doing good ❤,username@guor f l r,0:37:00,,,,,,
41,jigggyy,username@ rnLipu gg,0:38:00,,,,,,
42,Eyyyy,username@ o eaDahhr,0:38:00,,,,,,
43,WOO!,username@r DkUDUr t,0:38:00,,,,,,
44,:_pewdieRip:,username@ohroA idAa,0:39:00,,,,,,
45,oof ad time,username@jhihheiije,0:39:00,,,,,,
46,Hello guys,username@Waafo LWiv,0:41:00,,,,,,
47,that’s so dope,username@eDeeeogoge,0:41:00,,,,,,
48,I'm eating my dinner now 😀,username@  TZsTTr h,0:42:00,,,,,,
49,early gang,username@_x_nxxo_iX,0:43:00,,,,,,
50,Sweeeet,username@aaoaaekawk,0:44:00,,,,,,
51,hiii,username@nallallnnl,0:45:00,,,,,,
52,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,username@rAdbdAamrd,0:46:00,,,,,,
53,yessir,username@n R gaRlea,0:48:00,,,,,,
54,Sup,username@xxv9r9xaxa,0:48:00,,,,,,
