Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,ayyyy,,,,,,
1,:_pewdieDuck::_pewdieDuck::_pewdieDuck::_pewdieDuck:,,,,,,
2,:_pewdieRicardo:,,,,,,
3,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,,,,,,
4,Late gang,,,,,,
5,corpse :_pewdieSIMP:,,,,,,
6,Yess phasmophobia with corpse could be awesome !!,,,,,,
7,"if you were turned into an animal, what would it be and why",,,,,,
8,:_pewdieBrofist:,,,,,,
9,phasmophobia vr is pog,,,,,,
10,:_pewdieBrofist2::_pewdieBrofist2:,,,,,,
11,:_pewdieBrofist:,,,,,,
12,:_pewdieReee:,,,,,,
13,on time baby,,,,,,
14,hey floor gang,,,,,,
15,yoooo i cant stay up this late lol,,,,,,
16,"cmoooon start the stream, i wanna eat my cereal while watching",,,,,,
17,i got a tampon ad wtf?!,,,,,,
18,:_pewdieFloorGang2:,,,,,,
19,I'm a member😎,,,,,,
20,:_pewdieBrofist:,,,,,,
21,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,,,,,,
22,:_pewdieRip::_pewdieRip:,,,,,,
23,:_pewdieFloorGang2:,,,,,,
24,yah a add,,,,,,
25,epicc,,,,,,
26,Yes let’s goooo,,,,,,
27,hallooo,,,,,,
28,omg scare pewdiepie season 2 is out finally,,,,,,
29,good early morning from PH!,,,,,,
30,BIRTHDAY GANG,,,,,,
31,is rh 15th of october like most common birth day or smn XDXD ? because there is like 3 + me who has bday today xD,,,,,,
32,lmao which one of you found my art account and commented on it saying i was on stream,,,,,,
33,hello bros ^^,,,,,,
34,HEYYYYYYYY,,,,,,
35,aaaaand to the commerciaals,,,,,,
36,YEEEEEEEEE,,,,,,
37,Love All You Guys,,,,,,
38,❤️,,,,,,
39,early gang,,,,,,
40,FLOOR GANG OUH OUH hope everyone's doing good ❤,,,,,,
41,jigggyy,,,,,,
42,Eyyyy,,,,,,
43,WOO!,,,,,,
44,:_pewdieRip:,,,,,,
45,oof ad time,,,,,,
46,Hello guys,,,,,,
47,that’s so dope,,,,,,
48,I'm eating my dinner now 😀,,,,,,
49,early gang,,,,,,
50,Sweeeet,,,,,,
51,hiii,,,,,,
52,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,,,,,,
53,yessir,,,,,,
54,Sup,,,,,,
55,:_pewdieLeg::_pewdieLeg::_pewdieLeg::_pewdieLeg::_pewdieRip:,,,,,,
56,ayyo,,,,,,
57,FLOOR GANG,,,,,,
58,LATE,,,,,,
59,EARLY GANG OUH,,,,,,
60,epic,,,,,,
61,Sup bros,,,,,,
62,:_pewdieReee:,,,,,,
63,Ayyyyyy,,,,,,
64,jiggy jiggy gang,,,,,,
65,on time gang,,,,,,
66,FLOOR FANGGG,,,,,,
67,:_pewdieRip:,,,,,,
68,my birthday is after 2 days !! ^^,,,,,,
69,hey pewpew,,,,,,
70,POG,,,,,,
71,Hi guys,,,,,,
72,Yoooo,,,,,,
73,WHATS UP GAMERS,,,,,,
74,yeeeeeeeeez,,,,,,
75,:_pewdieJörgen:,,,,,,
76,good apetit,,,,,,
77,flooooorgannnnng,,,,,,
78,lag gang,,,,,,
79,HERE WE GO HOOLLLLLLYYYYYYY,,,,,,
80,WeirdThumbGang,,,,,,
81,this where chat goes insane?,,,,,,
82,hi gang,,,,,,
83,WOOHOO,,,,,,
84,yo guys wassup,,,,,,
85,ayeeee,,,,,,
86,:_pewdieLeg2::_pewdieLeg2::_pewdieLeg2::_pewdieLeg2:,,,,,,
87,HI PEWDS ❤ ❤ ❤,,,,,,
88,Sup bros,,,,,,
89,Hi,,,,,,
90,What’s popping,,,,,,
91,Wtf,,,,,,
92,hi,,,,,,
93,:_pewdieOUH::_pewdieOUH::_pewdieOUH:,,,,,,
94,Ayo good morning logang whats poppin!!??,,,,,,
95,lettsogo mario,,,,,,
96,member gannnnnng,,,,,,
97,❤️❤️❤️❤️❤️,,,,,,
98,Greetings,,,,,,
99,Hey ho,,,,,,
100,finally,,,,,,
101,Yoooo,,,,,,
102,eyyyt,,,,,,
103,hihihi,,,,,,
104,Æ,,,,,,
105,so SATISFYING,,,,,,
106,hello everyone,,,,,,
107,hey,,,,,,
108,Hi!!,,,,,,
109,Hello,,,,,,
110,:_pewdieHead2::_pewdieTorso2::_pewdieLeg2:,,,,,,
111,:_pewdieEdgar2:,,,,,,
112,let me know if you need any data science work done. guessing you already have it based on previous things you have said,,,,,,
113,hiii,,,,,,
114,I joined member :D,,,,,,
115,chat gang,,,,,,
116,:_pewdieFloorGang2::_pewdieOUH:,,,,,,
117,Floor gang,,,,,,
118,let's gooooo,,,,,,
119,perfect time i'm literally going to bed,,,,,,
120,Hey Hey!!!,,,,,,
121,Those bird sounds are reminding me of morning and I hate it,,,,,,
122,Yu,,,,,,
123,Hii,,,,,,
124,Broooooooo this is gonna be soooo good,,,,,,
125,what's up fellow gamers,,,,,,
126,ayyy let’s go:_pewdieOUH:,,,,,,
127,great to be here,,,,,,
128,hey guyz,,,,,,
129,😀,,,,,,
130,happy Birthday leeeeenaaaaaa 🎂,,,,,,
131,:_pewdieYoYo1::_pewdieFloorGang2::_pewdieOUH::_pewdieMelon::_pewdieJojoNO::_pewdieUh1::_pewdieJojoNO::_pewdieFloorGang2::_pewdieBoosh:,,,,,,
132,eyyy ken,,,,,,
133,yooooo,,,,,,
134,nice animation,,,,,,
135,yooooooooo guysss🙏🙏,,,,,,
136,hi ken !!!,,,,,,
137,startt it ],,,,,,
138,floor gang,,,,,,
139,Hey,,,,,,
