Unnamed: 0,time_text,message,author,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,3:35,first,username@u Bukr cBr,,,,,,
1,3:37,Hi Brian,username@u ddrivoiR,,,,,,
2,3:39,Hello,username@n nanonehn,,,,,,
3,3:39,Hi,username@t  Johataa,,,,,,
4,3:42,2,username@u ddrivoiR,,,,,,
5,3:43,hi,username@t1T mcegTl,,,,,,
6,3:44,Gday,username@erPtossuoc,,,,,,
7,3:44,Lest go1,username@kaRyekkLRL,,,,,,
8,3:45,hey dad,username@aCaoaeDt o,,,,,,
9,3:45,Ollo,username@DonnnLoTeD,,,,,,
10,3:47,"Hi, Brian!",username@lG7G7m2Gee,,,,,,
11,3:47,Hola,username@1nwna11mn1,,,,,,
12,3:47,I was first to join,username@t  Johataa,,,,,,
13,3:50,Brine,username@m’eHt HmIi,,,,,,
14,3:50,Hi brine,username@u ddrivoiR,,,,,,
15,3:52,Sup boys,username@n nanonehn,,,,,,
16,3:53,Don’t die,username@ eLognoog,,,,,,
17,3:54,brain,username@aCaoaeDt o,,,,,,
18,3:55,Bet it’s nogla,username@rSor uSrea,,,,,,
19,3:55,brain,username@aCaoaeDt o,,,,,,
20,3:57,Hello,username@GbouuGGbbb,,,,,,
21,3:57,Ya,username@luFrragu a,,,,,,
22,3:58,brain,username@aCaoaeDt o,,,,,,
23,3:58,Dad is that you,username@LeL nRnee,,,,,,
24,3:59,nogla kinda sus,username@ aSzzSaSJJ,,,,,,
25,4:01,Hi brine,username@u ddrivoiR,,,,,,
26,4:02,Heyyyy,username@alaaTiille,,,,,,
27,4:03,I'd kill to play with these guys,username@_uDGDlAAoa,,,,,1,1
28,4:04,doodavoice,username@y xG GoDoG,,,,,,
29,4:06,Do you remember Mario 64 stream,username@m’eHt HmIi,,,,,,
30,4:07,Dad,username@LeL nRnee,,,,,,
31,4:07,69 ppl nice,username@luFrragu a,,,,,,
32,4:07,Hi I was watching Lazars stream,username@t  Johataa,,,,,,
33,4:11,papa???,username@aCaoaeDt o,,,,,,
34,4:12,Brown,username@u ddrivoiR,,,,,,
35,4:13,Helo,username@nmdona ddo,,,,,,
36,4:14,hi,username@iLnL nitWi,,,,,,
37,4:14,It is not lazar,username@t  Johataa,,,,,,
38,4:16,Gday,username@erPtossuoc,,,,,,
39,4:16,Hi,username@3maBabHd7r,,,,,,
40,4:17,it's nogla,username@aCaoaeDt o,,,,,,
41,4:18,Nice gyro,username@1nwna11mn1,,,,,,
42,4:21,HELLO,username@iigntitonn,,,,,,
43,4:22,Hi,username@iggsGesLaL,,,,,,
44,4:23,I'm jo,username@aCaoaeDt o,,,,,,
45,4:23,It’s not lazar,username@t  Johataa,,,,,,
46,4:24,Good kill on lazar,username@alaaTiille,1,,,,,1
47,4:32,Did this just start?,username@luFrragu a,,,,,,
48,4:35,it's nogla,username@iLnL nitWi,,,,,,
49,4:38,WHERE IS VANOSS,username@32a1a10p3d,,,,,,
50,4:39,Ayyo,username@rrrouFdroq,,,,,,
51,4:40,hi terroriser,username@RG_RG3_RT4,1,,,,,
52,4:41,It is not lazar,username@t  Johataa,,,,,,
53,4:43,its nogla,username@u Bukr cBr,,,,,,
54,4:43,Terirrisor is the imposter,username@xxxrzuiziC,,,,,,
55,4:45,Yes,username@kaRyekkLRL,,,,,,
56,4:46,Oh HEY im the only member in chat right nbow,username@iggsGesLaL,,,,,,
57,4:47,hello brian,username@ulaciTnaGi,,,,,,
58,4:56,It’s bees knees because cray and bees knees where together,username@ot ’ciDAio,,,,,,
59,4:57,Not lazar,username@alaaTiille,,,,,,
60,4:57,Lol nice games,username@luFrragu a,,,,,,
61,4:58,It’s nogla,username@iigntitonn,,,,,,
62,4:59,mmmm,username@JyJoyoynro,,,,,,
63,5:03,I saw Nogla's and then this stream and the difference in views is depressing,username@eOeewnnOew,,,,,,
64,5:04,lets go my guy,username@oBaooxB aa,,,,,,
65,5:06,I’m new lol,username@nmdona ddo,,,,,,
66,5:06,Nogla,username@ツrBreyBJoU,,,,,,
67,5:11,Super Mario 64 was fun,username@ay AkkAA k,,,,,,
68,5:15,Whats gooood,username@6JJ644674J,,,,,,
69,5:22,Brian💪🏾,username@oiam gonoG,,,,,,
70,5:26,hey hunnyyy,username@JyJoyoynro,,,,,,
71,5:27,its terroriser,username@c aanahcPP,1,,,,,
72,5:27,play till 3,username@tttmaaataa,,,,,,
73,5:28,imagine he puts the chat in members only and i end up all by myself 😆,username@iggsGesLaL,,,,,,
74,5:28,Big up Irishmen,username@luFrragu a,,,,,,
75,5:29,Wait it is terrorizer,username@t  Johataa,,,,,,
76,5:33,Hi,username@CWiCoss2 o,,,,,,
77,5:44,hi,username@MnMMêniêhn,,,,,,
78,5:51,Lightning no one cares,username@6JJ644674J,1,,,,,
79,5:59,I know it’s an among us stream but how many stars are you sitting at in Super Mario 64 if you remember?,username@lBKgiKzKBi,,,,,,
80,6:02,its either terrorizer or Cray,username@c aanahcPP,,,,,,
81,6:04,no need to be Toxic JC,username@iggsGesLaL,,,,,,
82,6:06,Yay,username@oanoaj baw,,,,,,
83,6:07,Its lannan,username@yRmmihik k,,,,,,
84,6:09,Woah jc674 sus,username@luFrragu a,,,,,,
85,6:17,hi,username@zRRoooca-o,,,,,,
86,6:18,😂👌,username@6JJ644674J,,,,,,
87,6:20,owww it's 5 in the morning,username@OSOO 332S2,,,,,,
88,6:23,dont be switching between streams ;/ dont say whp is,username@St  t tikS,,,,,,
89,6:24,Hi,username@okSioikuiS,,,,,,
90,6:29,Toxic,username@luFrragu a,,,,,,
91,6:31,is that preston plays the minecraft guy,username@EEeEEaEalp,,,,,,
92,6:36,no spoilers,username@894mmaaoeo,,,,,,
