Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,first,,,,,,
1,Hi Brian,,,,,,
2,Hello,,,,,,
3,Hi,,,,,,
4,2,,,,,,
5,hi,,,,,,
6,Gday,,,,,,
7,Lest go1,,,,,,
8,hey dad,,,,,,
9,Ollo,,,,,,
10,"Hi, Brian!",,,,,,
11,Hola,,,,,,
12,I was first to join,,,,,,
13,Brine,,,,,,
14,Hi brine,,,,,,
15,Sup boys,,,,,,
16,Don’t die,,,,,,
17,brain,,,,,,
18,Bet it’s nogla,,,,,,
19,brain,,,,,,
20,Hello,,,,,,
21,Ya,,,,,,
22,brain,,,,,,
23,Dad is that you,,,,,,
24,nogla kinda sus,,,,,,
25,Hi brine,,,,,,
26,Heyyyy,,,,,,
27,I'd kill to play with these guys,,,,,1.0,1.0
28,doodavoice,,,,,,
29,Do you remember Mario 64 stream,,,,,,
30,Dad,,,,,,
31,69 ppl nice,,,,,,
32,Hi I was watching Lazars stream,,,,,,
33,papa???,,,,,,
34,Brown,,,,,,
35,Helo,,,,,,
36,hi,,,,,,
37,It is not lazar,,,,,,
38,Gday,,,,,,
39,Hi,,,,,,
40,it's nogla,,,,,,
41,Nice gyro,,,,,,
42,HELLO,,,,,,
43,Hi,,,,,,
44,I'm jo,,,,,,
45,It’s not lazar,,,,,,
46,Good kill on lazar,,,,,,
47,Did this just start?,,,,,,
48,it's nogla,,,,,,
49,WHERE IS VANOSS,,,,,,
50,Ayyo,,,,,,
51,hi terroriser,,,,,,
52,It is not lazar,,,,,,
53,its nogla,,,,,,
54,Terirrisor is the imposter,,,,,,
55,Yes,,,,,,
56,Oh HEY im the only member in chat right nbow,,,,,,
57,hello brian,,,,,,
58,It’s bees knees because cray and bees knees where together,,,,,,
59,Not lazar,,,,,,
60,Lol nice games,,,,,,
61,It’s nogla,,,,,,
62,mmmm,,,,,,
63,I saw Nogla's and then this stream and the difference in views is depressing,,,,,,
64,lets go my guy,,,,,,
65,I’m new lol,,,,,,
66,Nogla,,,,,,
67,Super Mario 64 was fun,,,,,,
68,Whats gooood,,,,,,
69,Brian💪🏾,,,,,,
70,hey hunnyyy,,,,,,
71,its terroriser,,,,,,
72,play till 3,,,,,,
73,imagine he puts the chat in members only and i end up all by myself 😆,,,,,,
74,Big up Irishmen,,,,,,
75,Wait it is terrorizer,,,,,,
76,Hi,,,,,,
77,hi,,,,,,
78,Lightning no one cares,1.0,,,,,
79,I know it’s an among us stream but how many stars are you sitting at in Super Mario 64 if you remember?,,,,,,
80,its either terrorizer or Cray,,,,,,
81,no need to be Toxic JC,,,,,,
82,Yay,,,,,,
83,Its lannan,,,,,,
84,Woah jc674 sus,,,,,,
85,hi,,,,,,
86,😂👌,,,,,,
87,owww it's 5 in the morning,,,,,,
88,dont be switching between streams ;/ dont say whp is,,,,,,
89,Hi,,,,,,
90,Toxic,,,,,,
91,is that preston plays the minecraft guy,,,,,,
92,no spoilers,,,,,,
93,i havent heard of him in years,,,,,,
94,It is not lazar I was on his stream,,,,,,
95,takes the fun away,,,,,,
96,i sub because you got top link on a vanoss video,,,,,,
97,hi brian,,,,,,
98,Woah closing in on 1k members. Let’s get it,,,,,,
99,How long have y’all been playing,,,,,,
100,guys like the video,,,,,,
101,yay stream,,,,,,
102,Monday,,,,,,
103,Hey MonkeyMan,,,,,,
104,How you been Brian ?,,,,,,
105,Sorry cod mw making me act up lol,,,,,,
106,Turn off the chat then!,,,,,,
107,heyo,,,,,,
108,hi terroriser,,,,,,
109,yea fr dont spoil/snitch \,,,,,,
110,100th like,,,,,,
111,i gues that happens,,,,,,
112,Briaaaannnn,,,,,,
113,Brian I am sorry I am very tired! Love you man keep up the good work! also helping us all keep our happy during this pandemic.,,,,,,
114,Bro,,,,,,
115,was on nogla's stream for a long time and figured id switch over cause i felt like it,,,,,,
116,How you doing future Ted Crilly?,,,,,,
117,Skittles sky if you don’t want it spoiled turn the chat off!,,,,,,
118,Win this round,,,,,,
119,Yo,,,,,,
120,Sup,,,,,,
121,Hi,,,,,,
122,Hey Brian,,,,,,
123,First,,,,,,
124,Sup,,,,,,
125,Hello,,,,,,
126,Hi,,,,,,
127,Meanie head,,,,,,
128,#believeinvanoss,,,,,,
129,Hi,,,,,,
130,Hi,,,,,,
131,yo,,,,,,
132,It’s nogla,,,,,,
133,Oh no Brian died,,,,,,
134,"MonkeyMan, i didnt know you were a memer of Terroriser too",,,,,,
135,suddenly my day just got better,,,,,,
136,Sup,,,,,,
137,yo,,,,,,
138,hewos,,,,,,
139,PAPA,,,,,,
140,I think it’s black I’m not sure tho,,,,,,
141,What up,,,,,,
142,Ahoy,,,,,,
143,hey terrorizer,,,,,,
144,yo,,,,,,
145,HI!,,,,,,
146,Hi,,,,,,
147,hi brian!!,,,,,,
148,What’s good,,,,,,
149,Suh Brian,,,,,,
150,Hi,,,,,,
151,ion really look at chat soo- im jus sayin its not fun or cool for others,,,,,,
152,Hi,,,,,,
153,hey im here before the notifications,,,,,,
154,yoooooooooo,,,,,,
155,Yo yo,,,,,,
156,Hello,,,,,,
157,Hey Brian,,,,,,
158,Yooooo what’s good,,,,,,
159,hi brian,,,,,,
160,hi,,,,,,
161,hey dad,,,,,,
162,brian,,,,,,
163,hi,,,,,,
164,Hi I just joined,,,,,,
165,WAZZZZZZZZZZZZZZZZZZZZZZUP!,,,,,,
166,when the next mario stream,,,,,,
167,Lol,,,,,,
168,um derilous has a kid give birth,,,,,,
169,Terroriser I wanna play,,,,,,
170,brain please be best,,,,,,
171,Sup Mr. Hamby,,,,,,
172,hi,,,,,,
173,Hiiii,,,,,,
174,hello,,,,,,
175,😂,,,,,,
176,Brian you’re standing on top of a dead body,,,,,,
177,Hello!,,,,,,
178,terrorizor died lol XD,,,,,,1.0
179,vanos,,,,,,
180,finally CONTENT,,,,,,
181,hi,,,,,,
182,Hi,,,,,,
183,"Who will do the first dislike. It could be anyone in this room. It could be me, it could be you.",,,,1.0,,
184,Yoooooo,,,,,,
185,loll,,,,,,
186,It’s vanoss,,,,,,
187,now,,,,,,
