Unnamed: 0,time_text,message,author,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
2934,2:51:44,IT IS NOAH,username@cKcpkrrpki,,,,,,
2935,2:51:44,It’s not lazar,username@e aneVGuiu,,,,,,
2936,2:51:55,sup bryan how are you doing,username@h-d-ktikng,,,,,,
2937,2:51:58,it is not lazer or nogle,username@ch hBbcbac,,,,,,
2938,2:52:03,Fart lol!,username@VtdlttitVV,,,,,,
2939,2:52:10,Brian The Terroriser what is my Broski,"username@n,xoaDDxan",,,,,,
2940,2:52:10,its definitely Brian,username@ad nunnJ n,,,,,,
2941,2:52:21,hi,username@eoasBeRbb,,,,,,
2942,2:52:25,Bet Alex,username@aaarCyyaoC,,,,,,
2943,2:52:43,noah and alex sus trus,username@rIiat higl,,,,,,
2944,2:52:45,its not Lannan and its not Nogla im watching their stream as well,username@tTesaMhTsy,,,,,,
2945,2:52:45,"Not l or Alex, they were in Electricals for a while",username@lirCpCayto,,,,,,
2946,2:52:49,Task fake Trolling,username@KamhammiKh,,,,,,
2947,2:52:57,hey dad,username@eainiMeRRd,,,,,,
2948,2:53:04,IoI,username@cccccccccc,,,,,,
2949,2:53:09,its nogla,username@hSzrekMrtM,,,,,,
2950,2:53:10,arriba las chivas!!,username@ailllai re,,,,,,
2951,2:53:12,awesome i just finished noglas live like 20 mins ago now gunna restart this one !!,username@clnrnldlic,,,,,,
2952,2:53:13,Hey son,username@G nammlnon,,,,,,
2953,2:53:13,it is l,username@Hhaded yeH,,,,,,
2954,2:53:18,Nogla sus,username@YYYiYiiuii,,,,,,
2955,2:53:24,damn theres a lot of snitches here:stayhome:,username@k hCa  e T,,,,,,
2956,2:53:26,im george,username@oGGrreeeer,,,,,,
2957,2:53:28,hi,username@nk  dsaana,,,,,,
2958,2:53:33,not nogla,username@elhotfaief,,,,,,
2959,2:53:38,Heyy,username@ë x oxoëxë,,,,,,
2960,2:53:43,No stream sniping even if their innocent!,username@ chahafahS,,,,,,
2961,2:53:46,Yo 2014 the og crew was hands down the funniest Channels on YouTube black ops 2 funny moments was literally the greatest thing didn’t matter who’s perspective you was watching,username@ 2aa2a2D44,,,,,,
2962,2:53:49,So many snitches. Fucking ridiculous,username@e a sceioi,,,,,,
2963,2:53:49,guys like the video,username@cu2acccu2a,,,,,,
2964,2:53:54,Has to be alex,username@3i7277LLrm,,,,,,
2965,2:53:54,Noah kinda sus,username@SlAtlguueA,,,,,,
2966,2:53:57,if you get 1 million likes I'll give you $1 million,username@tatammmata,,,,1,,
2967,2:53:59,nogla is fine what do you mean,username@rIiat higl,,,,,,
2968,2:54:02,No homo I love Brian he’s so funny,username@EjhEh lacc,,,,,,
2969,2:54:11,"nogla isn't hard accusing this time,it has to be him,no I'm not stream sniping",username@hSzrekMrtM,,,,,,
2970,2:54:13,I think may,username@e aneVGuiu,,,,,,
2971,2:54:18,The imposter is Terroriser,username@ielrbte ri,,,,,,
2972,2:54:19,im just happy to be supportin Brine,username@cccccccccc,,,,,,
2973,2:54:20,Nogla ia always sus. :P,username@eovoDiv ve,,,,,,
2974,2:54:26,Anyone notice Nogla's been more calm than normal in this stream?,username@e mMisleoa,,,,,,
2975,2:54:37,cool,username@ entnee7 t,,,,,,
2976,2:54:39,No,username@ntut ntsnB,,,,,,
2977,2:54:40,this game makes everyone a sus 🤣,username@elhotfaief,,,,,,
2978,2:54:43,I went and looked back and it was Alex that ran past him,username@alaLlD irl,,,,,,
2979,2:54:47,yeah he seems sad,username@dyyyyyddei,,,,,,
2980,2:54:53,Might be brown,username@YYYiYiiuii,,,,,,
2981,2:54:54,@Rosie Marshmallow Probably tired from his yelling 😆,username@lirCpCayto,,,,,,
2982,2:55:01,Yeah it looked like orange,username@yzyePezype,,,,,,
2983,2:55:08,"if you think about it, today almost everywhere in the world its 4/20, its October 4th 2020",username@ssssoyssso,,,,,,
2984,2:55:10,Oh probably lol,username@e mMisleoa,,,,,,
2985,2:55:33,no just no,username@LJJJoosJGn,,,,,,
2986,2:55:34,At least put chat to members only to reduce stream sniping!,username@ chahafahS,,,,,,
2987,2:55:49,i think its mau,username@ entnee7 t,,,,,,
2988,2:56:04,k,username@issssaisaa,,,,,,
2989,2:56:06,How tf does that reduce stream sniping lmao,username@alaLlD irl,,,,,,
2990,2:56:06,@Raymond Schlagenhauff if it's such a big deal then close chat,username@aaarCyyaoC,,,,,,
2991,2:56:07,Im thinking mau too,username@bblalilblo,,,,,,
2992,2:56:08,I’m 100% sure its alex,username@3i7277LLrm,,,,,,
2993,2:56:08,Some of us can’t afford a membership and someone of us like talking to terrorizer,username@e a sceioi,,,,,,
2994,2:56:09,It’s late,username@  s sNCdUs,,,,,,
2995,2:56:10,mau or alex,username@rIiat higl,,,,,,
2996,2:56:13,Orange is mad sus,username@SlAtlguueA,,,,,,
2997,2:56:15,"If you don't want to see stream snipers, hide the stream",username@lirCpCayto,,,,,,
2998,2:56:17,why is nogla pay to talk,username@iCntiCCais,,,,,,
2999,2:56:28,"i think its that terroriser guy, he's really sus",username@ssssoyssso,,,,,,
3000,2:56:28,"should have put on diamond armor brian, you would have survived that hit.",username@HpSpSHHHop,,,,,,
3001,2:56:32,stream chat*,username@lirCpCayto,,,,,,
3002,2:56:37,"wuz wrong,lol",username@hSzrekMrtM,,,,,,
3003,2:56:42,GG,username@SS   K KS,,,,,,
3004,2:56:44,:_terroriserGGG::_terroriserGGG::_terroriserGGG::_terroriserGGG:,username@rsdsaa'ese,,,,,,
3005,2:56:47,whats the code?,username@ HLLRHAALU,,,,,,
3006,2:56:49,hii,username@MM.nEmEziG,,,,,,
3007,2:56:53,yeeeaaahhh:_terroriserCrown:,username@cccccccccc,,,,,,
3008,2:56:58,Lol,username@YYYiYiiuii,,,,,,
3009,2:57:05,oof lol this is fun to watch,username@lllGialaaA,,,,,,
3010,2:57:09,Oh my god,username@alimlynaRl,,,,,,
3011,2:57:12,@ARABELLA JURISH I can tell you right now that it ends in QQ,username@aaarCyyaoC,,,,,,
3012,2:57:14,Use code Moo,username@rarroaDarr,,,,,,
3013,2:57:15,code is MOO,username@cccccccccc,,,,,,
3014,2:57:15,:elbowcough::elbowcough:,username@Kt tO*ooet,,,,,,
3015,2:57:18,lobby code starts with Y and ends with Q,username@iCntiCCais,,,,,,
3016,2:57:19,I need to sleeeep,username@bblalilblo,,,,,,
3017,2:57:27,"great stream @Terroriser wish i could watch the rest, but i need to rest as i did moving this weekend and still need to unpack",username@RlkTGeGlee,,,,,,
3018,2:57:30,Code is CODMOO,username@lirCpCayto,,,,,,
3019,2:57:33,Use code moo,username@h111t 61 0,,,,,,
3020,2:57:34,Brian can i join,username@Pgkpppppkl,,,,,,
3021,2:57:35,sherloc homes,username@et errcePt,,,,,,
3022,2:57:35,Use cope Mau,username@iggsGesLaL,,,,,,
3023,2:57:35,Sherlock,username@haWaW otn,,,,,,
3024,2:57:36,wait,username@iggsGesLaL,,,,,,
3025,2:57:39,sherlock,username@erhbeehhro,,,,,,
3026,2:57:39,A lot homes,username@LLLka kaaL,,,,,,
3027,2:57:40,LockSher,username@EtEhbootoE,,,,,,
3028,2:57:40,are we using code Moo?,username@ssssoyssso,,,,,,
3029,2:57:40,Sherlock,username@ertshroree,,,,,,
3030,2:57:40,sherlock holmes,username@gNNaFut hr,,,,,,
3031,2:57:41,"Much love, thanks for all the hard work!",username@ceelemomih,,,,,,
3032,2:57:41,sherlock holmes,username@s sTtsK ys,,,,,,
3033,2:57:41,holmes,username@DxDxxoDDxx,,,,,,
3034,2:57:42,Sherlock,username@o d  Beooe,,,,,,
3035,2:57:42,sherlock,username@im lcialsl,,,,,,
3036,2:57:43,codemoo,username@ ESretwcir,,,,,,
3037,2:57:43,holmesssssssssssss,username@allapalaal,,,,,,
3038,2:57:44,Sherlock Holmes,username@SS   K KS,,,,,,
3039,2:57:44,sherlock homes,username@pCplsr sks,,,,,,
3040,2:57:44,SHERLOC HOLMS,username@PGAPCA0PGP,,,,,,
3041,2:57:44,l as Batman and nogla as Bane and alexace as vision and brode as Shazam and ScarySpice as Captain Marvel and fesh as The Flash noahJ as War Machine and lMAu as Martian Manhunter and,username@enIImnemnT,,,,,,
3042,2:57:44,Sherlock,username@amasmaaJs,,,,,,
3043,2:57:45,Sherlock,username@ sosSkship,,,,,,
3044,2:57:46,Sherlock Holmes,username@aaClrllrlC,,,,,,
3045,2:57:46,SHERLOCK LMAO,username@oGefrhoGof,,,,,,
3046,2:57:47,sherlock holmes,username@liihhhlaCl,,,,,,
3047,2:57:47,Sherlock holmes?,username@L aaLaD DD,,,,,,
3048,2:57:47,Sherlock lol,username@EeleoEccsc,,,,,,
3049,2:57:48,Use code moo,username@e mMisleoa,,,,,,
3050,2:57:49,sherlock,username@nneeeoe30p,,,,,,
3051,2:57:50,Holmes,username@aaHakri Ca,,,,,,
3052,2:57:52,Sherlock,username@Ree pe eTr,,,,,,
3053,2:57:54,:chillwdog:,username@Msya  ArhA,,,,,,
3054,2:57:54,brian do u need a filler player?,username@03390GGn s,,,,,,
3055,2:57:55,Batman,username@ttrzrCrarn,,,,,,
3056,2:57:56,Sherlock,username@auast MaaK,,,,,,
3057,2:58:01,sherlock holmes,username@Ro8iydiebo,,,,,,
3058,2:58:05,batman is a detective,username@rtauuuunra,,,,,,
3059,2:58:05,😂,username@rsdsaa'ese,,,,,,
3060,2:58:06,sup,username@oogioairrG,,,,,,
3061,2:58:07,"You need to purchase a detective hat, Brian....",username@lirCpCayto,,,,,,
3062,2:58:07,sherlock homes hahahahahahahaha,username@lllGialaaA,,,,,,
3063,2:58:09,Y___QQ,username@ entnee7 t,,,,,,
3064,2:58:11,He looks more like someone from Newsies,username@ aiLiirmim,,,,,,
3065,2:58:14,it's 3am where I am but feck it:_terroriserLove:,username@cccccccccc,,,,,,
3066,2:58:14,sherlock holmes,username@eeososoelr,,,,,,
3067,2:58:14,"Use Streamlabs to give 100% of your donation to Terroriser! SuperChats take out a portion, use this link instead --> https://streamlabs.com/terroriser/tip",username@hNtttggNoh,,,,,,
3068,2:58:18,Can I play?,username@Mg ngyeo a,,,,,,
3069,2:58:20,Sherlock,username@JisJn  ist,,,,,,
3070,2:58:22,the Irish guy forgot about Sherlock Holmes,username@ TJTTTTTTJ,,,,,,
3071,2:58:22,alguien español????,username@mrCfslcatm,,,,,,
3072,2:58:26,Elementary my dear WATSON,username@lirCpCayto,,,,,,
3073,2:58:26,INSPECTOR GADGET,username@oom eeeonm,,,,,,
3074,2:58:26,🥳,username@YYYiYiiuii,,,,,,
3075,2:58:26,It’s me.,username@rV tedaeDa,,,,,,
3076,2:58:28,hi,username@ددداحلهبدل,,,,,,
3077,2:58:29,"Well, it is sherLOCK",username@odnnedaeoa,,,,,,
3078,2:58:32,pink panther,username@krD rekaa,,,,,,
3079,2:58:36,❤,username@hShyaahnca,,,,,,
3080,2:58:37,True but It’s not that much of a problem for me but I’m not sure if Brian reads chat or not!,username@ chahafahS,,,,,,
3081,2:58:38,Newsies is a musical,username@ allrhyra,,,,,,
3082,2:58:39,Use CODE MOO,username@h111t 61 0,,,,,,
3083,2:58:40,plz i never got in a live,username@ HLLRHAALU,,,,,,
3084,2:58:41,stop throwin brah,username@RGoettLoLc,,,,,,
3085,2:58:42,heyyyy!!,username@sG'  Ot'Ss,,,,,,
3086,2:58:44,brians brains half fried,username@allapalaal,,,,,,
3087,2:58:46,trust me its red theres blood on him,username@PPnaPed eJ,,,,,,
3088,2:58:47,it is 3:00 am where I am,username@yhnP lxoPx,,,,,,
3089,2:58:51,Terrorizer as The Terminator that's the Avengers team if you didn't read the other comments that I sent their up above and the bad guys of your Avengers is Jake Paul with Black Adams powers,username@enIImnemnT,,,,,,
3090,2:58:52,Brian did you just have a stroke?,username@LLLka kaaL,,,,,,
3091,2:58:55,Jeff,username@raeBcrZaor,,,,,,
3092,2:58:56,Let’s goooooo,username@IRno  In,,,,,,
3093,2:59:02,"it's okay, Brian. just enjoy playing :):_terroriserLove:",username@cccccccccc,,,,,,
3094,2:59:09,what up,username@EA AA CEIA,,,,,,
3095,2:59:11,"Want to join the TerrorFam? Become a member to my channel and get access to ""Member-Only Chat"" and the Terroriser Private Discord! https://www.youtube.com/channel/UCQio...",username@hNtttggNoh,,,,,,
3096,2:59:14,its 1:00 am where im at,username@lllGialaaA,,,,,,
3097,2:59:16,it is fresh and scary,username@issssaisaa,,,,,,
3098,2:59:19,I don't mean to be offensive but I feel asleep yesterday Durning the stream did he finished Mario 64,username@niracJssor,,,,,,
3099,2:59:19,oof,username@lirCpCayto,,,,,,
3100,2:59:19,Newsies is a Disney musical. It’s about news paper boys,username@ aiLiirmim,,,,,,
3101,2:59:21,Ohhh rip,username@bblalilblo,,,,,,
3102,2:59:24,#BelieveInVanoss,username@alimlynaRl,,,,,,
3103,2:59:26,Dam,username@SlAtlguueA,,,,,,
3104,2:59:26,Noice,username@YYYiYiiuii,,,,,,
3105,2:59:29,why is it so bright,username@iCntiCCais,,,,,,
3106,2:59:32,UHH,username@oom eeeonm,,,,,,
3107,2:59:33,fresh😂😂👌,username@LJJJoosJGn,,,,,,
3108,2:59:33,Ouch,username@rBNnrNnttN,,,,,,
3109,2:59:34,Always first😂😂,username@rsdsaa'ese,,,,,,
3110,2:59:37,3 here,username@C s rJrvCs,,,,,,
3111,2:59:40,Brian love your content keep up the good work but are you gonna play Super Mario Galaxy?,username@yennyyxnlA,,,,,,
