Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
37683,VOTE VOTE VOTE,username@M u MSuJMM,02:54:29,,,,,,
37684,4 More Years!,username@MMenoaaenr,02:54:29,,,,,,
37685,US #1 TRUMP!,username@eee nRnR R,02:54:29,,,,,,
37686,❤WE VOTE TRUMP AGAIN❤❤,username@ss#1#a#uus,02:54:29,,,,,,
37687,SAVE OUR COUNTRY VOTE TRUMP,username@Jik akiiaJ,02:54:29,,,,,,
37688,Don’t be a Democrat slave,username@ aaTTiTrli,02:54:29,,1.0,,,,
37689,Thank you @I Love America,username@rQrQi Qirr,02:54:29,,,,,,
37690,"instead of this, the liar and cheat is on foxnews",username@oShMMtforo,02:54:30,,1.0,,,,
37691,professor predicts 91 percent for trump,username@ llg!Hvoea,02:54:30,,,,,,
37692,President TRUM FREE KYLE,username@iynndanydw,02:54:30,,,,,,
37693,Trump!!!:washhands::washhands::washhands::washhands:,username@nrGGr eGre,02:54:30,,,,,,
37694,Trump2020 --- Pence2024,username@ sncjcejo,02:54:31,,,,,,
37695,TRUMP FIGHTING FOR AMERICA,username@nOm yRnymR,02:54:31,,,,,,
37696,Yassssssss,username@.ATTTAFTA,02:54:31,,,,,,
37697,Texas loves Trump 2020 2024,username@a rm  asmg,02:54:31,,,,,,
37698,Guys what's the RSBN record?,username@nzahmaTaie,02:54:31,,,,,,
37699,OH TRUMP,username@eBBBBk Be,02:54:32,,,,,,
37700,SO LUV THIS MAN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,username@QputTauuro,02:54:32,,,,,,
37701,:_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA::_RSBNDJTMAGA:,username@mrcrummucy,02:54:32,,,,,,
37702,WE LOVE YOU!!!,username@rh cerThau,02:54:32,,,,,,
37703,WORLD 🌍 PEACE ✌🏻❤️TRUMP,username@Dtligiirig,02:54:32,,,,,,
37704,🌎 𝗪𝗢𝗥𝗟𝗗 𝗙𝗢𝗥 𝗧𝗥𝗨𝗠𝗣!! 🌍,username@C P030C008,02:54:33,,,,,,
37705,I’m commandeering their screen passes,username@ T  TonaTT,02:54:33,,,,,,
37706,CNN= COMMUNIST NEWS NETWORK,username@aaca8 al 8,02:54:33,,1.0,,1.0,,
37707,"@cjt700-----STOP PRETENDING THAT TRUMP IS A RACIST. HE HAS A BETTER CIVIL RIGHTS RECORD THAN BIDEN. IF YOU AIN'T VOTING FOR BIDEN, YOU AIN'T BLACK. HOW RACIST IS THAT?",username@rb yayauS,02:54:33,,1.0,,,,
37708,PUT THE TRAITORS AND CRIMINALS IN PRISON,username@ahwhnaelaw,02:54:33,,,,,,
37709,THERE IS ONLY ONE REAL CHOICE,username@TdneTFFnnT,02:54:34,,,,,,
37710,VOTE TRUMP! TEXAS FOR TRUMP!,username@Tmr hyhagm,02:54:34,,,,,,
37711,AMERICA!!!!!!!!!,username@ iMnRtregt,02:54:34,,,,,,
37712,democrats are fugly,username@ervrrrrtae,02:54:34,,1.0,,,,
37713,BE PART OF THE RED WAVE!! Vote TRUMP tomorrow!,username@lR unonels,02:54:34,,,,,,
37714,SCOTLAND LOVES TRUMP!!,username@UUKSTTCKSK,02:54:35,,,,,,
37715,TRUMP HAS JUST BEGUN TO DRAIN THE SWAMP!,username@errePomor,02:54:35,,,,,,
37716,Just voted Trump!,username@cwarwcrnwn,02:54:35,,,,,,
37717,TRUMP VICTORY,username@roBieaarre,02:54:35,,,,,,
37718,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤VOTE TRUMP!❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,username@oandlwSnan,02:54:35,,,,,,
37719,Cancel a Biden vote today! vote Trump 2020,username@  hhlsiell,02:54:36,,1.0,,,,
37720,BACK TO BACK WORLD CHAMPS,username@Hb  bobobk,02:54:36,,,,,,
37721,💥💥🌟🌟🌟,username@rsehaCerer,02:54:36,,,,,,
37722,🍕🍕🍕🍕🍕🍕🍕🍕🍕,username@igeeggeGgr,02:54:36,,,,,,
37723,161.667,username@D D   D RR,02:54:36,,,,,,
37724,*** THANK YOU SECRET SERVICE ***,username@GCCoCCoGfC,02:54:36,,,,,,
37725,BUNTER HIDIN' @GITMO🌴,username@OEPOOEZPOE,02:54:36,,,,,,
37726,IT'S ALL ABOUT THE LOVE...,username@ skkjjob k,02:54:37,,,,,,
37727,Trump won't let America be attacked like Vienna in Austria!,username@Laallaalvv,02:54:37,,,,,,
37728,TRUMP IS OUR HERO!!!!!!!:_RSBNSuperman::_RSBNWwg1wga::_RSBNUSA::_RSBNTRUMP:,username@ ryaGyG aa,02:54:37,,,,,,
37729,"""FREEZIN MY ASS OFF"" pRESIDENT tRUMP - KEEPS IT REAL!!!",username@ly8aailyt8,02:54:37,,,,,,
37730,"CAREFREE OBSERVATORY ❤❤❤❤'S Pesident Trump! Subscribe ,Right Side Broadcasting Network THANK YOU for all the Hard Work You Do. VOTE TOMARROW SOLID RED, PLEASE! GOD BLESS THE UNITED STATES OF AMERICA!",username@TATBAEBRAR,02:54:40,,,,,,
37731,We love Trump,username@ YAnAyyGyY,02:54:40,,,,,,
37732,WHERES CREEPY JOE?,username@hMss ansnh,02:54:40,,,,1.0,,
37733,KENOSHA WISCONISN UP NEXT,username@nioiBltiB,02:54:40,,,,,,
37734,FOX is now fake news,username@iJJmJimKJi,02:54:40,,1.0,,1.0,,
37735,love ALL THE PARADES!!!!!,username@ab  b bba,02:54:40,,,,,,
37736,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,username@m012t1a2it,02:54:40,,,,,,
37737,SPEAK IT!,username@BhGreca Ma,02:54:40,,,,,,
