Unnamed: 0,message,author,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
9000,👀YUP ! FACTS! PROOF! EVIDENCE! TRUTH! IS THE LAW OUR GOD OF THE LIVING ! HUGE MASSIVE GOD THE CREATOR CREATE IS..BALANCE⚖SYSTEM..SO GOD NOT BE INJUSTICE !..WHAT WE PUT IN !..IS WHAT WE GET BACK OUT !,username@ISRKEWKELW,50:15:00,,,,,,
9001,"Pray USA, 🙏🙏🙏❤️❤️❤️",username@BnnBe eeBn,50:15:00,,,,,,
9002,TRUMP 2020❤️❤️❤️❤️RED WAVE INCOMING,username@iizzilln i,50:15:00,,,,,,
9003,All you people crying about covid dont even know its all part of the agenda. you're sleeping with the enemy,username@JxeoonFio ,50:16:00,,,,,,
9004,GERMANY LOVES TRUMP! WE NEED SOMEONE LIKE HIM!,username@rraorroaag,50:16:00,,,,,,
9005,Down with the globalists❤❤❤❤❤,username@t oPsootPP,50:16:00,,,,,,
9006,Trump 2029,username@aa4lC00iCC,50:17:00,,,,,,
9007,Silver Man Good,username@.J.oNoJm..,50:17:00,,,,,,
9008,CA Chumps 4 TrumpPence 4 Pres after Trump,username@uJiShiStmJ,50:17:00,,,,,,
9009,shes wife,username@rPoodro ld,50:17:00,,,,,,
9010,WHY ARE SOCIALIST MAGGOT DEMS ON HERE? GO TO A BIDEN RALLY...LMAO,username@Rhtcehychn,50:18:00,,1,,,,1
9011,"Thank you VP Pence! Thank you for your faith and integrity, love for us!",username@icaitcH cn,50:20:00,,,,,,
9012,No trump,username@jnnA jrnAn,50:21:00,,,,,,
9013,:washhands::washhands::washhands::washhands::washhands:TRUMP 2020:washhands::washhands::washhands::washhands::washhands::thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc:TRUMP 2020:dothefive::dothefive:,username@OeOnegimiw,50:21:00,,,,,,
9014,TRUMP AGAIN IN 2024 ! 👍👍👍👍,username@3rae3l1r1i,50:21:00,,,,,,
9015,MACKINAW ISLAND FOR TRUMP,username@AncrnAoRAk,50:22:00,,,,,,
9016,How much is TRUMP WINNING!?!?,username@deuatikEuk,50:22:00,,,,,,
9017,Biden to JAIL,username@HnnHnnaAH ,50:22:00,,1,,,,1
9018,Biden and Harris for prison,username@elrldlaaKl,50:22:00,,1,,,,1
9019,JOE WILL BE THE WORST THING TO EVER HAPPEN TO AMERICA,username@iKfgnKigKn,50:22:00,,1,,,,1
9020,PENCE - TRUMP JR. 2024,username@icwieaD MD,50:22:00,,,,,,
9021,:elbowcough:THANK YOU VP PENCE!!👏👏👏👏👏👏👏👏👏👏👏👏,username@ParPcPiPri,50:22:00,,,,,,
9022,anyone caught cheating at polls needs to be dragged out and ended for treason,username@n ncieence,50:22:00,,,,,,
9023,HAIR PLUGS,username@sslsRRsesl,50:22:00,,,,,,
