Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,DEMOCRATS ARE TERRORISTS!,,1.0,,,,
1,"Let's be honest, they aren't voting for Biden, it's for Kamala and the one they are keeping secret because that person will be worst pick than Kamala",,,,,,
2,Where would we be if not for RSBN?,,,,,,
3,THEY WON'T BE HAPPY WHEN THEY ARE REGULATED 😛😛😥,,1.0,,,,
4,TRUMP 2020,,,,,,
5,SALT MUST FLOW,,,,,,
6,Corn Pop say I pity da fool who don't eat Mr T cereal,,,,,,
7,RSBN IS THE GREATEST GIFT FOR THIS CLIMACTIC MOMENT IN AMERICAN HISTORY,,,,,,
8,TRUMP 95% IN CALIFORNIA🤩🤩🤩🤩🤩🤩🤩🤩,,,,,,
9,💙 BIDE‎N FO‍R RACISM! 💙,1.0,1.0,,,,1.0
10,"OE BIDEN IS A TROJAN HORSE FOR SOCIALISM THRU SANDERS, AOC, OMAR, PRESSLEY & TLAIB. VOTE THESE SOCIALISTS OUT OF OFFICE - Stand for Our Country, Our Constitution, Our Freedom.",1.0,1.0,,,,1.0
11,The Porn Industry is censoring and taking down all Hunter Biden videos from porn websites due to inappropriate material.,1.0,,1.0,,,1.0
12,START,,,,,,
13,Hunter Buyden MIA,,,,,,
14,"Yes, vote then next week- start Trump Victory Tour rally",,,,,,
15,"🥊Round 3 of 5🥊🛎ding,ding",,,,,,
16,"God bless our dear president and our great country. <3 I’ve not been a Democrat for years, and won’t affiliate myself with them ever again; they are truly evil!",,,,,,
17,#googleLetThePeopleBeFree,,,,,,
18,V I C T O R Y,,,,,,
19,🔴🔴🔴🔴🔴🔴🔴BIGFOOT FOR TRUMP2020PENCE🔴🔴🔴🔴🔴🔴🔴,,,,,,
20,"I'm from a state that has voted in only one Republican governor in its history, most of the people I've talked to are voting for Donald Trump, it's the 2 adminment issue that changed our mind.",,,,,,
21,Pa for trump,,,,,,
22,am ready to ride the big red wave!,,,,,,
23,❁ VOTE FOR TRUMP ❁,,,,,,
24,With out RSBN we would be in the dark! Thank you for carrying us.,,,,,,
25,Avoid all MSM - it's all lies and disinfo,,,,1.0,,
26,i hope they can show the crowd before the rally,,,,,,
27,Hello Trish Pettijohn UK 4 TRUMP,,,,,,
28,the W A V E = R E D,,,,,,
29,No SOCIALISM on TRUMP'S Watch!!!,,1.0,,,,
30,thank you RSBN!!!!,,,,,,
31,My hometown and birthplace! Love you Traverse city! from Sunny Florida!,,,,,,
32,We just need to let Byedone be bye done!,,,,1.0,,
33,"NINE (9) down-voting trolls. Are we in trouble, or what?",,,,,,
34,HUNTER & BIGFOOT SPOTTED🚨,,,,1.0,,
35,Trump was slandered as a racist Slanderers perish ed Elijah Cummings died 2019 Cancer John Lewis died.2020 Cancer Chadwick Boseman died.2020 Cancer . God hears everything we say.,,,,,,
36,Biden needs more Adrenochrome Supply to remember stuff,1.0,,,,,
37,A VOTE FOR BIDEN IS A VOTE FOR THE COMMUNIST CHINA,1.0,1.0,,,,
38,democrats are terrorists,,1.0,,,,
39,@Realsatyagraha at twitter predicts 315-328 for TRUMP,,,,,,
40,Google bots in the chat ⚠,,,,,,
41,📢📢📢BREAKING NEWS : BIDEN CAUGHT LYING! AGAIN! 📢📢📢,,,,1.0,,
42,share this video,,,,,,
43,DEMOCRATS LIES ON VILE MEDIA. ABOUT EVERYTHING. DON'T DO THAT TO OUR CHILDREN,,,,,,
44,have fun people,,,,,,
45,OHIO LOVES TRUMP,,,,,,
46,GroundHog Day?,,,,,,
47,He just left Pennsylvania. Go Eagles!!!,,,,,,
48,"Do the ""Trump Trot"":elbowcough:",,,,,,
49,Victory !!!,,,,,,
50,BIDEN 85% SHOT,,,,,,
51,BIDEN CRIME FAMILY,1.0,,,,,
52,"MI, GET IT DONE!!!!!!!!!!:_RSBNTRUMP::_RSBNTRUMP::_RSBNTRUMP::_RSBNTRUMP:",,,,,,
53,SOUND,,,,,,
54,RED TSUNAMI !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,,,,
55,😎😎,,,,,,
56,❤,,,,,,
57,Hunter Biden's laptop has compromised JOE BIDEN He is now an ACTIVE NATIONAL SECURITY THREAT for BLACKMAIL,,,,1.0,,
58,Texas for TRUMP,,,,,,
