fox_news - Toxic,corr coeff,p-value
gon na,0.7745966692414834,0.0704839969102199
trump lose,0.6956083436402525,0.124879825742908
biden orange suit,0.632455532033676,0.1778078083562211
trump lose sleepy,0.632455532033676,0.1778078083562211
fk blm,0.632455532033676,0.1778078083562211
fk acosta,0.632455532033676,0.1778078083562211
orange suit jail,0.632455532033676,0.1778078083562211
orange suit,0.632455532033676,0.1778078083562211
rat expose let,0.632455532033676,0.1778078083562211
wait prison,0.632455532033676,0.1778078083562211
