nogla - Toxic,corr coeff,p-value
white boy,0.7745966692414834,0.0704839969102199
floyd hell,0.632455532033676,0.1778078083562211
trump little,0.632455532033676,0.1778078083562211
dick eat,0.632455532033676,0.1778078083562211
floyd rotten criminal,0.632455532033676,0.1778078083562211
rotten criminal,0.632455532033676,0.1778078083562211
pete fuckin idiot,0.632455532033676,0.1778078083562211
floyd rotten,0.632455532033676,0.1778078083562211
pete fuckin,0.632455532033676,0.1778078083562211
white boy vote,0.632455532033676,0.1778078083562211
