,DH POS-SEQ,DH value,HS POS-SEQ,HS value,SH POS-SEQ,SH value,TR POS-SEQ,TR value,OT POS-SEQ,OT value,TX POS-SEQ,TX value
0,noun verb,8.590465002575494,propn verb,34.44220864057749,noun noun,1.6801347178761794,verb noun,6.307823937980627,verb propn,2.0,noun verb,8.371318331484614
1,noun noun,6.747648158171796,propn noun,13.227079299515331,verb noun,1.283161736224923,verb noun propn,5.948497122690602,verb noun,1.076824376671942,verb noun,4.991490650277181
2,propn propn,5.313929565601143,noun noun,10.732088607893342,verb verb,1.1439618415910573,propn verb noun,5.381650215592165,verb noun emoji,0.737692477909266,noun noun,4.731830090238546
3,propn noun,4.706901846997847,propn propn,7.95127561221149,propn adj,1.0,noun propn noun,5.223654459557729,verb noun verb,0.684328962263371,propn noun,4.649830715789292
4,adj noun,3.7998670700900337,noun verb,4.336777321986436,adj propn,1.0,propn propn verb,5.154168507183893,noun emoji,0.5903223371526266,noun verb noun,3.0429535102823886
5,propn verb,3.695827200735218,propn adj,3.4794522248639588,propn noun,1.0,noun propn,5.140153344851106,pron verb verb,0.574744178878861,adj noun,2.780187847983125
6,emoji emoji,3.5026816417373263,propn propn propn,3.453465919887762,noun verb,0.9307400090167582,propn verb,4.540443029834808,verb verb noun,0.5060831465809116,adj noun verb,2.650289222084166
7,verb noun,3.297720255657132,adv verb,2.8723223654202945,noun verb verb,0.824924653391828,propn noun,4.326915598001612,noun verb,0.4861262833006598,verb propn,2.4482093043581736
8,emoji emoji emoji,3.147721741830678,adj noun,2.5908864021829427,propn verb noun,0.7181246919685552,propn propn,4.286180373054062,verb verb,0.3985562372068768,noun noun noun,2.1529375435669573
9,noun verb noun,2.575878037638956,verb noun,2.590058024896304,verb verb noun,0.7045358871088124,verb verb,3.121311247688235,pron verb,0.3920250168280507,propn propn,2.001916467438883
