,DH POS-SEQ,DH value,HS POS-SEQ,HS value,SH POS-SEQ,SH value,TR POS-SEQ,TR value,OT POS-SEQ,OT value,TX POS-SEQ,TX value
0,propn,127.32814197902717,propn,184.64088522938704,propn,6.7471593271025,propn,108.95981882842388,propn,17.509669835253163,propn,99.21131092579748
1,noun,115.58004479603798,noun,171.79363932806922,noun,4.968937687943619,noun,100.39151356379716,noun,15.6145006787363,noun,95.80591037615348
2,verb,80.64571358041799,propn propn,105.70498002849156,propn propn,4.274894854707238,verb,72.22282978784594,verb,12.775222769135176,verb,58.681463184518
3,propn propn,70.04386533918448,verb,96.85824658307249,verb,3.5407636817925767,propn propn,58.88480115741498,propn propn,10.049174403156998,propn propn,53.52676769228489
4,noun noun,47.0239626750871,noun noun,70.69041990686097,propn verb,2.5233032113629488,noun noun,39.33131368554415,noun verb,7.984030889769258,propn noun,37.731912584971056
5,propn noun,42.45324223543048,propn noun,65.86114142831987,verb noun,2.3732359598992905,propn noun,38.07426400688824,propn propn propn,6.658012774902691,noun noun,37.72553009069778
6,adj,37.82910326404219,propn propn propn,57.802739496555,propn propn propn,2.16176804063267,verb noun,37.697882376246426,verb noun,6.493883031975549,noun verb,31.708022832987343
7,propn verb,36.71043819876056,adj,56.42264363545056,propn noun,2.118816171538438,noun verb,37.33147648628552,propn noun,5.032414673188415,propn verb,29.382483314506796
8,noun verb,33.3698209414292,noun propn,54.02709076334999,noun propn,1.9265977247805728,propn verb,37.309750390928826,noun propn,4.6643947468802125,adj,28.22826320370863
9,verb noun,33.22337002643877,propn verb,50.49972261557113,noun noun,1.5982519760554463,adj,34.52022547791562,noun verb noun,4.6437111225888845,propn propn propn,26.40626636704972
