,DH POS-SEQ,DH value,HS POS-SEQ,HS value,SH POS-SEQ,SH value,TR POS-SEQ,TR value,OT POS-SEQ,OT value,TX POS-SEQ,TX value
0,propn,3.2820233290588714,noun,39.9795597139605,noun,1.603356295846508,noun,4.110639059262993,adj,0.0,noun,5.362787298569345
1,noun,3.189209216615126,propn verb,27.65900988728378,verb,1.320928113478292,verb,3.655919444858605,pron adv verb,0.0,propn,3.8364146717903176
2,propn verb,2.615165105602718,propn,27.10950149871971,verb verb,1.0397396860220869,propn,3.0215445370385403,pron emoji emoji,0.0,verb,3.641113989065469
3,verb,2.111611679319087,verb,21.42954361934277,propn,0.8874933594355767,verb noun,2.3328245465747672,pron emoji propn,0.0,noun verb,2.659009363918976
4,adj,1.9980020219879344,propn noun,11.010290152743313,adj propn,0.8532740514294576,verb verb,2.068655033316016,pron intj,0.0,propn noun,2.5869156076227338
5,noun noun,1.920911858222229,noun noun,8.060097330874598,adj,0.7897790527702218,adj,2.022406751228281,pron intj adj,0.0,noun noun,2.469844018596649
6,propn noun,1.262559784197156,adj,5.077081706747672,noun verb verb,0.7471286050850541,noun verb,1.9970361344680851,pron intj noun,0.0,adj,2.1095019440184517
7,propn propn,1.2137485470042888,propn propn,4.902146458062944,noun verb,0.6112229794677162,noun verb noun,1.494071320782887,pron intj num,0.0,propn propn,1.5454975744950128
8,verb adj,1.2063302973033876,noun verb,3.5164481756998063,verb verb noun,0.5966753563903932,noun propn,1.2756586094517817,pron noun,0.0,verb noun,1.4918388629391977
9,propn verb adj,1.0939659813911735,propn adj,3.0308166203974403,pron,0.5872515374437814,propn adj,1.1689365158277163,pron noun adj,0.0,adj adj,1.1457159020034264
