,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj adj,,,,,,,,,,,,
adj adj adj noun,,,,,,,,,,,,
adj adj noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj noun intj,,,,,,,,,,,,
adj adj noun noun,,,,,,,,,,,,
adj adj noun num,,,,,,,,,,,,
adj adj noun propn,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj noun verb,,,,,,,,,,,,
adj adj num,,,,,,,,,,,,
adj adj num noun,,,,,,,,,,,,
adj adj propn,,,,,,,,,,,,
adj adj propn propn,,,,,,,,,,,,
adj adj verb,,,,,,,,,,,,
adj adj verb propn,,,,,,,,,,,,
adj adp,,,,,,,,,,,,
adj adp propn,,,,,,,,,,,,
adj adv,,,,,,,,,,,,
adj adv adj,,,,,,,,,,,,
adj adv adv,,,,,,,,,,,,
adj adv noun,,,,,,,,,,,,
adj emoji,,,,,,,,,,,,
adj emoji emoji,,,,,,,,,,,,
adj emoji emoji emoji,,,,,,,,,,,,
adj emoji emoji noun,,,,,,,,,,,,
adj intj,,,,,,,,,,,,
adj intj noun,,,,,,,,,,,,
adj noun,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
adj noun adj,,,,,,,,,,,,
adj noun adj noun,,,,,,,,,,,,
adj noun adj propn,,,,,,,,,,,,
adj noun adp,,,,,,,,,,,,
adj noun adp noun,,,,,,,,,,,,
adj noun adv,,,,,,,,,,,,
adj noun adv adj,,,,,,,,,,,,
adj noun adv adv,,,,,,,,,,,,
adj noun adv intj,,,,,,,,,,,,
adj noun adv noun,,,,,,,,,,,,
adj noun adv propn,,,,,,,,,,,,
adj noun adv verb,,,,,,,,,,,,
adj noun emoji,,,,,,,,,,,,
adj noun intj,,,,,,,,,,,,
adj noun noun,,,,,,,,,,,,
adj noun noun adj,,,,,,,,,,,,
adj noun noun adv,,,,,,,,,,,,
adj noun noun emoji,,,,,,,,,,,,
adj noun noun intj,,,,,,,,,,,,
adj noun noun noun,,,,,,,,,,,,
adj noun noun pron,,,,,,,,,,,,
adj noun noun propn,,,,,,,,,,,,
adj noun noun verb,,,,,,,,,,,,
adj noun num,,,,,,,,,,,,
adj noun num adv,,,,,,,,,,,,
adj noun num emoji,,,,,,,,,,,,
adj noun num intj,,,,,,,,,,,,
adj noun num noun,,,,,,,,,,,,
adj noun num verb,,,,,,,,,,,,
adj noun pron,,,,,,,,,,,,
adj noun pron adj,,,,,,,,,,,,
adj noun pron adv,,,,,,,,,,,,
adj noun pron noun,,,,,,,,,,,,
adj noun pron pron,,,,,,,,,,,,
adj noun pron verb,,,,,,,,,,,,
adj noun propn,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun propn emoji,,,,,,,,,,,,
adj noun propn noun,,,,,,,,,,,,
adj noun propn num,,,,,,,,,,,,
adj noun propn propn,,,,,,,,,,,,
adj noun propn verb,,,,,,,,,,,,
adj noun verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun verb adj,,,,,,,,,,,,
adj noun verb adp,,,,,,,,,,,,
adj noun verb adv,,,,,,,,,,,,
adj noun verb noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun verb num,,,,,,,,,,,,
adj noun verb propn,,,,,,,,,,,,
adj noun verb verb,,,,,,,,,,,,
adj num,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj num adj,,,,,,,,,,,,
adj num adv,,,,,,,,,,,,
adj num adv adj,,,,,,,,,,,,
adj num noun,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj num noun num,,,,,,,,,,,,
adj num noun verb,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj num propn,,,,,,,,,,,,
adj pron,,,,,,,,,,,,
adj pron noun,,,,,,,,,,,,
adj pron pron,,,,,,,,,,,,
adj pron pron noun,,,,,,,,,,,,
adj propn,,,,,,,,,,,,
adj propn adj,,,,,,,,,,,,
adj propn adj noun,,,,,,,,,,,,
adj propn adv,,,,,,,,,,,,
adj propn adv verb,,,,,,,,,,,,
adj propn noun,,,,,,,,,,,,
