,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj,0.6546536707079772,0.15830242337545783,0.39279220242478635,0.4411128091213043,-0.6546536707079772,0.15830242337545783,-0.39279220242478635,0.4411128091213043,0.13093073414159545,0.8047261622231061,-0.13093073414159545,0.8047261622231061
adj adj,0.1391216687280505,0.7926638356375505,0.6956083436402525,0.12487982574290808,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828
adj adj adj,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adj adj noun,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adj adj punct,,,,,,,,,,,,
adj adj adp,,,,,,,,,,,,
adj adj adp det,,,,,,,,,,,,
adj adj adp noun,,,,,,,,,,,,
adj adj adp pron,,,,,,,,,,,,
adj adj adv,,,,,,,,,,,,
adj adj cconj,,,,,,,,,,,,
adj adj cconj adj,,,,,,,,,,,,
adj adj cconj noun,,,,,,,,,,,,
adj adj cconj verb,,,,,,,,,,,,
adj adj emoji,,,,,,,,,,,,
adj adj intj,,,,,,,,,,,,
adj adj intj punct,,,,,,,,,,,,
adj adj noun,0.1391216687280505,0.7926638356375505,0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,0.6956083436402525,0.12487982574290808,-0.41736500618415145,0.4103036364236828
adj adj noun adp,,,,,,,,,,,,
adj adj noun adv,,,,,,,,,,,,
adj adj noun aux,,,,,,,,,,,,
adj adj noun cconj,,,,,,,,,,,,
adj adj noun det,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj noun emoji,,,,,,,,,,,,
adj adj noun intj,,,,,,,,,,,,
adj adj noun noun,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj noun pron,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adj noun propn,,,,,,,,,,,,
adj adj noun punct,,,,,,,,,,,,
adj adj noun verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj adj propn,,,,,,,,,,,,
adj adj propn pron,,,,,,,,,,,,
adj adj propn propn,,,,,,,,,,,,
adj adj propn punct,,,,,,,,,,,,
adj adj punct,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj punct adj,,,,,,,,,,,,
adj adj punct det,,,,,,,,,,,,
adj adj punct noun,,,,,,,,,,,,
adj adj punct pron,,,,,,,,,,,,
adj adj punct punct,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj sconj,,,,,,,,,,,,
adj adj sconj noun,,,,,,,,,,,,
adj adj sym,,,,,,,,,,,,
adj adj sym adj,,,,,,,,,,,,
adj adj verb,,,,,,,,,,,,
adj adj verb det,,,,,,,,,,,,
adj adp,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993,0.46475800154489,0.3530568618495133
adj adp adj,,,,,,,,,,,,
adj adp adj adj,,,,,,,,,,,,
adj adp adj emoji,,,,,,,,,,,,
adj adp adj noun,,,,,,,,,,,,
adj adp adj pron,,,,,,,,,,,,
adj adp adj propn,,,,,,,,,,,,
adj adp adj punct,,,,,,,,,,,,
adj adp adp,,,,,,,,,,,,
adj adp adp noun,,,,,,,,,,,,
adj adp adp pron,,,,,,,,,,,,
adj adp adp propn,,,,,,,,,,,,
adj adp adv,,,,,,,,,,,,
adj adp adv adj,,,,,,,,,,,,
adj adp adv adv,,,,,,,,,,,,
adj adp adv det,,,,,,,,,,,,
adj adp adv punct,,,,,,,,,,,,
adj adp det,,,,,,,,,,,,
adj adp det adj,,,,,,,,,,,,
adj adp det adp,,,,,,,,,,,,
adj adp det det,,,,,,,,,,,,
adj adp det emoji,,,,,,,,,,,,
adj adp det noun,,,,,,,,,,,,
adj adp det propn,,,,,,,,,,,,
adj adp det punct,,,,,,,,,,,,
adj adp det verb,,,,,,,,,,,,
adj adp emoji,,,,,,,,,,,,
adj adp intj,,,,,,,,,,,,
adj adp intj noun,,,,,,,,,,,,
adj adp intj num,,,,,,,,,,,,
adj adp noun,,,,,,,,,,,,
adj adp noun adj,,,,,,,,,,,,
adj adp noun adp,,,,,,,,,,,,
adj adp noun adv,,,,,,,,,,,,
adj adp noun aux,,,,,,,,,,,,
adj adp noun cconj,,,,,,,,,,,,
adj adp noun det,,,,,,,,,,,,
adj adp noun noun,,,,,,,,,,,,
adj adp noun pron,,,,,,,,,,,,
adj adp noun punct,,,,,,,,,,,,
adj adp noun verb,,,,,,,,,,,,
adj adp num,,,,,,,,,,,,
adj adp num adp,,,,,,,,,,,,
adj adp num noun,,,,,,,,,,,,
adj adp pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj adp pron adj,,,,,,,,,,,,
adj adp pron adp,,,,,,,,,,,,
adj adp pron adv,,,,,,,,,,,,
adj adp pron aux,,,,,,,,,,,,
adj adp pron cconj,,,,,,,,,,,,
adj adp pron det,,,,,,,,,,,,
adj adp pron intj,,,,,,,,,,,,
adj adp pron noun,,,,,,,,,,,,
adj adp pron num,,,,,,,,,,,,
adj adp pron pron,,,,,,,,,,,,
adj adp pron propn,,,,,,,,,,,,
adj adp pron punct,,,,,,,,,,,,
adj adp pron verb,,,,,,,,,,,,
