,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj,-0.13284223283101432,0.8019087881019875,-0.5313689313240573,0.27796339331848685,-0.5313689313240573,0.27796339331848685,0.13284223283101432,0.8019087881019875,0.6642111641550715,0.15020042233101136,0.3985266984930429,0.43385766067017734
adj adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj adj adj,,,,,,,,,,,,
adj adj adv,,,,,,,,,,,,
adj adj intj,,,,,,,,,,,,
adj adj noun,,,,,,,,,,,,
adj adj propn,,,,,,,,,,,,
adj adj verb,,,,,,,,,,,,
adj adv,,,,,,,,,,,,
adj adv adj,,,,,,,,,,,,
adj adv adv,,,,,,,,,,,,
adj adv noun,,,,,,,,,,,,
adj adv propn,,,,,,,,,,,,
adj adv verb,,,,,,,,,,,,
adj emoji,,,,,,,,,,,,
adj emoji emoji,,,,,,,,,,,,
adj emoji noun,,,,,,,,,,,,
adj intj,,,,,,,,,,,,
adj intj adv,,,,,,,,,,,,
adj intj noun,,,,,,,,,,,,
adj intj num,,,,,,,,,,,,
adj intj propn,,,,,,,,,,,,
adj intj verb,,,,,,,,,,,,
adj noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adj,,,,,,,,,,,,
adj noun adv,,,,,,,,,,,,
adj noun emoji,,,,,,,,,,,,
adj noun intj,,,,,,,,,,,,
adj noun noun,,,,,,,,,,,,
adj noun num,,,,,,,,,,,,
adj noun pron,,,,,,,,,,,,
adj noun propn,,,,,,,,,,,,
adj noun verb,,,,,,,,,,,,
adj num,,,,,,,,,,,,
adj num adj,,,,,,,,,,,,
adj num noun,,,,,,,,,,,,
adj num num,,,,,,,,,,,,
adj num propn,,,,,,,,,,,,
adj num verb,,,,,,,,,,,,
adj pron,,,,,,,,,,,,
adj pron adj,,,,,,,,,,,,
adj pron adv,,,,,,,,,,,,
adj pron noun,,,,,,,,,,,,
adj pron pron,,,,,,,,,,,,
adj pron propn,,,,,,,,,,,,
adj pron verb,,,,,,,,,,,,
adj propn,,,,,,,,,,,,
adj propn adj,,,,,,,,,,,,
adj propn adv,,,,,,,,,,,,
adj propn emoji,,,,,,,,,,,,
adj propn noun,,,,,,,,,,,,
adj propn num,,,,,,,,,,,,
adj propn pron,,,,,,,,,,,,
adj propn propn,,,,,,,,,,,,
adj propn verb,,,,,,,,,,,,
adj verb,,,,,,,,,,,,
adj verb adj,,,,,,,,,,,,
adj verb adv,,,,,,,,,,,,
adj verb noun,,,,,,,,,,,,
adj verb num,,,,,,,,,,,,
adj verb pron,,,,,,,,,,,,
adj verb propn,,,,,,,,,,,,
adj verb verb,,,,,,,,,,,,
adv,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adv adj,,,,,,,,,,,,
adv adj adj,,,,,,,,,,,,
adv adj adv,,,,,,,,,,,,
adv adj emoji,,,,,,,,,,,,
adv adj intj,,,,,,,,,,,,
adv adj noun,,,,,,,,,,,,
adv adj num,,,,,,,,,,,,
adv adj pron,,,,,,,,,,,,
adv adj propn,,,,,,,,,,,,
adv adj verb,,,,,,,,,,,,
adv adv,,,,,,,,,,,,
adv adv adj,,,,,,,,,,,,
adv adv adv,,,,,,,,,,,,
adv adv emoji,,,,,,,,,,,,
adv adv noun,,,,,,,,,,,,
adv adv num,,,,,,,,,,,,
adv adv pron,,,,,,,,,,,,
adv adv propn,,,,,,,,,,,,
adv adv verb,,,,,,,,,,,,
adv emoji,,,,,,,,,,,,
adv emoji emoji,,,,,,,,,,,,
adv intj,,,,,,,,,,,,
adv intj adv,,,,,,,,,,,,
adv intj num,,,,,,,,,,,,
adv intj verb,,,,,,,,,,,,
adv noun,,,,,,,,,,,,
adv noun adj,,,,,,,,,,,,
adv noun adv,,,,,,,,,,,,
adv noun intj,,,,,,,,,,,,
adv noun noun,,,,,,,,,,,,
adv noun pron,,,,,,,,,,,,
adv noun propn,,,,,,,,,,,,
adv noun verb,,,,,,,,,,,,
adv num,,,,,,,,,,,,
adv num noun,,,,,,,,,,,,
adv num num,,,,,,,,,,,,
adv pron,,,,,,,,,,,,
adv pron adj,,,,,,,,,,,,
adv pron adv,,,,,,,,,,,,
adv pron noun,,,,,,,,,,,,
adv pron verb,,,,,,,,,,,,
adv propn,,,,,,,,,,,,
adv propn adj,,,,,,,,,,,,
adv propn adv,,,,,,,,,,,,
adv propn noun,,,,,,,,,,,,
adv propn pron,,,,,,,,,,,,
adv propn propn,,,,,,,,,,,,
adv propn verb,,,,,,,,,,,,
adv verb,,,,,,,,,,,,
adv verb adj,,,,,,,,,,,,
adv verb adv,,,,,,,,,,,,
adv verb emoji,,,,,,,,,,,,
adv verb intj,,,,,,,,,,,,
adv verb noun,,,,,,,,,,,,
adv verb num,,,,,,,,,,,,
adv verb pron,,,,,,,,,,,,
adv verb propn,,,,,,,,,,,,
adv verb verb,,,,,,,,,,,,
emoji,,,,,,,,,,,,
emoji adj,,,,,,,,,,,,
emoji adj noun,,,,,,,,,,,,
