,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj adj,,,,,,,,,,,,
adj adj adj,,,,,,,,,,,,
adj adj adj adj,,,,,,,,,,,,
adj adj adj noun,,,,,,,,,,,,
adj adj emoji,,,,,,,,,,,,
adj adj noun,,,,,,,,,,,,
adj adj noun adj,,,,,,,,,,,,
adj adj noun adv,,,,,,,,,,,,
adj adj noun noun,,,,,,,,,,,,
adj adj noun pron,,,,,,,,,,,,
adj adj noun propn,,,,,,,,,,,,
adj adj noun verb,,,,,,,,,,,,
adj adj pron,,,,,,,,,,,,
adj adj pron verb,,,,,,,,,,,,
adj adj propn,,,,,,,,,,,,
adj adj verb,,,,,,,,,,,,
adj adp,,,,,,,,,,,,
adj adp noun,,,,,,,,,,,,
adj adp noun noun,,,,,,,,,,,,
adj adv,,,,,,,,,,,,
adj adv adj,,,,,,,,,,,,
adj adv adj adv,,,,,,,,,,,,
adj adv adj noun,,,,,,,,,,,,
adj adv adv,,,,,,,,,,,,
adj adv adv propn,,,,,,,,,,,,
adj adv emoji,,,,,,,,,,,,
adj adv emoji emoji,,,,,,,,,,,,
adj adv noun,,,,,,,,,,,,
adj adv noun propn,,,,,,,,,,,,
adj adv propn,,,,,,,,,,,,
adj adv verb,,,,,,,,,,,,
adj adv verb noun,,,,,,,,,,,,
adj adv verb propn,,,,,,,,,,,,
adj adv verb verb,,,,,,,,,,,,
adj emoji,,,,,,,,,,,,
adj emoji emoji,,,,,,,,,,,,
adj intj,,,,,,,,,,,,
adj intj adv,,,,,,,,,,,,
adj intj adv verb,,,,,,,,,,,,
adj intj pron,,,,,,,,,,,,
adj intj pron noun,,,,,,,,,,,,
adj intj pron verb,,,,,,,,,,,,
adj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun adj,,,,,,,,,,,,
adj noun adj adj,,,,,,,,,,,,
adj noun adj noun,,,,,,,,,,,,
adj noun adp,,,,,,,,,,,,
adj noun adp noun,,,,,,,,,,,,
adj noun adv,,,,,,,,,,,,
adj noun adv adj,,,,,,,,,,,,
adj noun adv emoji,,,,,,,,,,,,
adj noun adv noun,,,,,,,,,,,,
adj noun adv pron,,,,,,,,,,,,
adj noun adv propn,,,,,,,,,,,,
adj noun adv verb,,,,,,,,,,,,
adj noun emoji,,,,,,,,,,,,
adj noun emoji num,,,,,,,,,,,,
adj noun intj,,,,,,,,,,,,
adj noun noun,,,,,,,,,,,,
adj noun noun adj,,,,,,,,,,,,
adj noun noun adp,,,,,,,,,,,,
adj noun noun adv,,,,,,,,,,,,
adj noun noun noun,,,,,,,,,,,,
adj noun noun num,,,,,,,,,,,,
adj noun noun pron,,,,,,,,,,,,
adj noun noun propn,,,,,,,,,,,,
adj noun noun verb,,,,,,,,,,,,
adj noun num,,,,,,,,,,,,
adj noun num noun,,,,,,,,,,,,
adj noun num propn,,,,,,,,,,,,
adj noun pron,,,,,,,,,,,,
adj noun pron adj,,,,,,,,,,,,
adj noun pron adv,,,,,,,,,,,,
adj noun pron emoji,,,,,,,,,,,,
adj noun pron noun,,,,,,,,,,,,
adj noun pron verb,,,,,,,,,,,,
adj noun propn,,,,,,,,,,,,
adj noun propn adj,,,,,,,,,,,,
adj noun propn noun,,,,,,,,,,,,
adj noun propn pron,,,,,,,,,,,,
adj noun propn propn,,,,,,,,,,,,
adj noun propn verb,,,,,,,,,,,,
adj noun verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun verb adj,,,,,,,,,,,,
adj noun verb adv,,,,,,,,,,,,
adj noun verb noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun verb pron,,,,,,,,,,,,
adj noun verb propn,,,,,,,,,,,,
adj noun verb verb,,,,,,,,,,,,
adj num,,,,,,,,,,,,
adj num adj,,,,,,,,,,,,
adj num adj verb,,,,,,,,,,,,
adj num emoji,,,,,,,,,,,,
adj num noun,,,,,,,,,,,,
adj num noun noun,,,,,,,,,,,,
adj pron,,,,,,,,,,,,
adj pron adj,,,,,,,,,,,,
adj pron adj verb,,,,,,,,,,,,
