,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj adj adj,,,,,,,,,,,,
adj adj adj adj,,,,,,,,,,,,
adj adj adj noun,,,,,,,,,,,,
adj adj adp,,,,,,,,,,,,
adj adj adp propn,,,,,,,,,,,,
adj adj adv,,,,,,,,,,,,
adj adj adv noun,,,,,,,,,,,,
adj adj adv verb,,,,,,,,,,,,
adj adj emoji,,,,,,,,,,,,
adj adj noun,,,,,,,,,,,,
adj adj noun adj,,,,,,,,,,,,
adj adj noun emoji,,,,,,,,,,,,
adj adj noun noun,,,,,,,,,,,,
adj adj noun pron,,,,,,,,,,,,
adj adj noun propn,,,,,,,,,,,,
adj adj noun verb,,,,,,,,,,,,
adj adj num,,,,,,,,,,,,
adj adj num noun,,,,,,,,,,,,
adj adj propn,,,,,,,,,,,,
adj adj propn noun,,,,,,,,,,,,
adj adj propn pron,,,,,,,,,,,,
adj adj propn propn,,,,,,,,,,,,
adj adj verb,,,,,,,,,,,,
adj adj verb adj,,,,,,,,,,,,
adj adj verb adv,,,,,,,,,,,,
adj adj verb propn,,,,,,,,,,,,
adj adj verb verb,,,,,,,,,,,,
adj adp,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adp adj,,,,,,,,,,,,
adj adp adj noun,,,,,,,,,,,,
adj adp emoji,,,,,,,,,,,,
adj adp noun,,,,,,,,,,,,
adj adp noun pron,,,,,,,,,,,,
adj adp propn,,,,,,,,,,,,
adj adp propn noun,,,,,,,,,,,,
adj adp verb,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adp verb noun,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj adv,,,,,,,,,,,,
adj adv adj,,,,,,,,,,,,
adj adv adj noun,,,,,,,,,,,,
adj adv adj verb,,,,,,,,,,,,
adj adv adv,,,,,,,,,,,,
adj adv adv pron,,,,,,,,,,,,
adj adv adv verb,,,,,,,,,,,,
adj adv emoji,,,,,,,,,,,,
adj adv noun,,,,,,,,,,,,
adj adv noun adj,,,,,,,,,,,,
adj adv noun num,,,,,,,,,,,,
adj adv pron,,,,,,,,,,,,
adj adv pron adj,,,,,,,,,,,,
adj adv pron verb,,,,,,,,,,,,
adj adv verb,,,,,,,,,,,,
adj adv verb adj,,,,,,,,,,,,
adj adv verb noun,,,,,,,,,,,,
adj adv verb propn,,,,,,,,,,,,
adj adv verb verb,,,,,,,,,,,,
adj emoji,,,,,,,,,,,,
adj emoji adj,,,,,,,,,,,,
adj emoji emoji,,,,,,,,,,,,
adj emoji emoji emoji,,,,,,,,,,,,
adj emoji noun,,,,,,,,,,,,
adj emoji verb,,,,,,,,,,,,
adj emoji verb pron,,,,,,,,,,,,
adj intj,,,,,,,,,,,,
adj intj noun,,,,,,,,,,,,
adj intj pron,,,,,,,,,,,,
adj intj pron emoji,,,,,,,,,,,,
adj intj verb,,,,,,,,,,,,
adj noun,0.6642111641550715,0.15020042233101136,-0.13284223283101432,0.8019087881019875,-0.5313689313240573,0.27796339331848685,-0.5313689313240573,0.27796339331848685,0.3985266984930429,0.43385766067017734,0.13284223283101432,0.8019087881019875
adj noun adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adj adv,,,,,,,,,,,,
adj noun adj emoji,,,,,,,,,,,,
adj noun adj noun,,,,,,,,,,,,
adj noun adj pron,,,,,,,,,,,,
adj noun adj verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adp,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adp adj,,,,,,,,,,,,
adj noun adp pron,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adv,,,,,,,,,,,,
adj noun adv adj,,,,,,,,,,,,
adj noun adv adv,,,,,,,,,,,,
adj noun adv noun,,,,,,,,,,,,
adj noun adv num,,,,,,,,,,,,
adj noun adv pron,,,,,,,,,,,,
adj noun adv propn,,,,,,,,,,,,
adj noun adv verb,,,,,,,,,,,,
adj noun emoji,,,,,,,,,,,,
adj noun emoji emoji,,,,,,,,,,,,
adj noun emoji pron,,,,,,,,,,,,
adj noun emoji verb,,,,,,,,,,,,
adj noun intj,,,,,,,,,,,,
adj noun intj num,,,,,,,,,,,,
