,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
000 000,,,,,,,,,,,,
000 000 arena,,,,,,,,,,,,
000 arena,,,,,,,,,,,,
000 arena _comm1,,,,,,,,,,,,
002 scare,,,,,,,,,,,,
002 scare stop,,,,,,,,,,,,
0_88 start,,,,,,,,,,,,
0_88 start bug,,,,,,,,,,,,
10 10,,,,,,,,,,,,
10 21,,,,,,,,,,,,
100 floor,,,,,,,,,,,,
100 floor lulw,,,,,,,,,,,,
100 vsm,,,,,,,,,,,,
100 vsm tonight,,,,,,,,,,,,
10000th time,,,,,,,,,,,,
10000x mw,,,,,,,,,,,,
10k doc,,,,,,,,,,,,
11 million,,,,,,,,,,,,
11 million arena,,,,,,,,,,,,
11 scare,,,,,,,,,,,,
11 scare stop,,,,,,,,,,,,
11 year,,,,,,,,,,,,
11 year old,,,,,,,,,,,,
11k watch,,,,,,,,,,,,
11k watch 3k,,,,,,,,,,,,
12 million,,,,,,,,,,,,
12 million arena,,,,,,,,,,,,
120 thousand,,,,,,,,,,,,
120 thousand arena,,,,,,,,,,,,
12k pog,,,,,,,,,,,,
14 gum,,,,,,,,,,,,
14 gum clapper,,,,,,,,,,,,
15 minute,,,,,,,,,,,,
150 million,,,,,,,,,,,,
150 million intro,,,,,,,,,,,,
16 hater,,,,,,,,,,,,
16 hater update,,,,,,,,,,,,
16 weight,,,,,,,,,,,,
16 weight bowling,,,,,,,,,,,,
17 million,,,,,,,,,,,,
1993 1994,,,,,,,,,,,,
1993 1994 blockbuster,,,,,,,,,,,,
1993 1994 forget,,,,,,,,,,,,
1994 blockbuster,,,,,,,,,,,,
1994 blockbuster video,,,,,,,,,,,,
1994 forget,,,,,,,,,,,,
1hr minimum,,,,,,,,,,,,
1mil fight,,,,,,,,,,,,
1mil fight bet,,,,,,,,,,,,
20 arena,,,,,,,,,,,,
20 million,,,,,,,,,,,,
20 million arena,,,,,,,,,,,,
20 second,,,,,,,,,,,,
200 billion,,,,,,,,,,,,
200 million,,,,,,,,,,,,
200 million alex,,,,,,,,,,,,
2020 let,,,,,,,,,,,,
2020 let gooooo,,,,,,,,,,,,
2024 know,,,,,,,,,,,,
20k 20,,,,,,,,,,,,
20k 20 arena,,,,,,,,,,,,
22 arena,,,,,,,,,,,,
22 minute,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
22 minute start,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
24 million,,,,,,,,,,,,
24 miss,,,,,,,,,,,,
25 arena,,,,,,,,,,,,
25 million,,,,,,,,,,,,
250k intro,,,,,,,,,,,,
250k intro 450k,,,,,,,,,,,,
25k 25,,,,,,,,,,,,
25k 25 arena,,,,,,,,,,,,
26 million,,,,,,,,,,,,
26 million arena,,,,,,,,,,,,
27 billion,,,,,,,,,,,,
29 million,,,,,,,,,,,,
2k dono,,,,,,,,,,,,
2x 1993,,,,,,,,,,,,
2x 1993 1994,,,,,,,,,,,,
2x arrive,,,,,,,,,,,,
2x arrive arena,,,,,,,,,,,,
2x baby,,,,,,,,,,,,
2x bring,,,,,,,,,,,,
2x bring violence,,,,,,,,,,,,
2x champ,,,,,,,,,,,,
2x champ wake,,,,,,,,,,,,
2x champion,,,,,,,,,,,,
2x champion message,,,,,,,,,,,,
2x clap,,,,,,,,,,,,
2x cuz,,,,,,,,,,,,
2x firm,,,,,,,,,,,,
2x firm handshake,,,,,,,,,,,,
2x hit,,,,,,,,,,,,
2x hit arena,,,,,,,,,,,,
2x lookin,,,,,,,,,,,,
2x lookin sharp,,,,,,,,,,,,
2x room,,,,,,,,,,,,
2x room start,,,,,,,,,,,,
2x stick,,,,,,,,,,,,
2x stick tower,,,,,,,,,,,,
2x survive,,,,,,,,,,,,
2x survive elevator,,,,,,,,,,,,
2x world,,,,,,,,,,,,
2x yayayayayaya,,,,,,,,,,,,
2x yayayayayayayayayayayayayayayaya,,,,,,,,,,,,
30 mil,,,,,,,,,,,,
30 million,,,,,,,,,,,,
30 million arena,,,,,,,,,,,,
300 foreign,,,,,,,,,,,,
300 foreign real,,,,,,,,,,,,
300 mph,,,,,,,,,,,,
3000 year,,,,,,,,,,,,
3080 yesterday,,,,,,,,,,,,
3080 yesterday doa,,,,,,,,,,,,
3090 500,,,,,,,,,,,,
3090 500 le,,,,,,,,,,,,
3090 scalper,,,,,,,,,,,,
30k like,,,,,,,,,,,,
30k like lol,,,,,,,,,,,,
31 million,,,,,,,,,,,,
31 million arena,,,,,,,,,,,,
33 million,,,,,,,,,,,,
360 minimum,,,,,,,,,,,,
37 inch,,,,,,,,,,,,
37 inch vertical,,,,,,,,,,,,
38 inch,,,,,,,,,,,,
38 inch vertical,,,,,,,,,,,,
3k like,,,,,,,,,,,,
3k like click,,,,,,,,,,,,
3k like video,,,,,,,,,,,,
40 minute,,,,,,,,,,,,
40 minute intro,,,,,,,,,,,,
420 ice,,,,,,,,,,,,
420 ice cold,,,,,,,,,,,,
44 buy,,,,,,,,,,,,
44 buy real,,,,,,,,,,,,
450k intro,,,,,,,,,,,,
4yer_cak3 hey,,,,,,,,,,,,
4yer_cak3 hey hopw,,,,,,,,,,,,
4yer_cake cuz,,,,,,,,,,,,
500 le,,,,,,,,,,,,
500 le price,,,,,,,,,,,,
5000 firm,,,,,,,,,,,,
5000 firm handshake,,,,,,,,,,,,
5000 handshake,,,,,,,,,,,,
5000 handshake _bless,,,,,,,,,,,,
51 dono,,,,,,,,,,,,
51 dono drdisrespect,,,,,,,,,,,,
51 flashback,,,,,,,,,,,,
56 modem,,,,,,,,,,,,
56 modem crew,,,,,,,,,,,,
5k like,,,,,,,,,,,,
5k like video,,,,,,,,,,,,
5th time,,,,,,,,,,,,
5th time johnny,,,,,,,,,,,,
62 inch,,,,,,,,,,,,
62 inch vertical,,,,,,,,,,,,
64 firm,,,,,,,,,,,,
64 firm handshake,,,,,,,,,,,,
64 handshake,,,,,,,,,,,,
64 handshake _handshake,,,,,,,,,,,,
64 love,,,,,,,,,,,,
64 love _love,,,,,,,,,,,,
69 nice,,,,,,,,,,,,
6900 xt,,,,,,,,,,,,
6900 xt doc,,,,,,,,,,,,
6900xt performance,,,,,,,,,,,,
6900xt performance rtx,,,,,,,,,,,,
700 late,,,,,,,,,,,,
720p doc,,,,,,,,,,,,
