,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
000 ntd,,,,,,,,,,,,
000 plus,,,,,,,,,,,,
10 pct,,,,,,,,,,,,
100 free,,,,,,,,,,,,
12 year,,,,,,,,,,,,
140 ntd,,,,,,,,,,,,
140137 people,,,,,,,,,,,,
146 000,,,,,,,,,,,,
149 000,,,,,,,,,,,,
15 2020,,,,,,,,,,,,
1776 shall,,,,,,,,,,,,
19 blame,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
1984 hoax,,,,,,,,,,,,
1st biden,,,,,,,,,,,,
1st lady,,,,,,,,,,,,
2020 2024,,,,,,,,,,,,
2020 2028,,,,,,,,,,,,
2020 2036,,,,,,,,,,,,
2020 24,,,,,,,,,,,,
2020 biden,,,,,,,,,,,,
2020 faux,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
2020 god,,,,,,,,,,,,
2020 ish,,,,,,,,,,,,
2020 love,,,,,,,,,,,,
2020 maga,,,,,,,,,,,,
2020 president,,,,,,,,,,,,
2020 rigged,,,,,,,,,,,,
2020 steal,,,,,,,,,,,,
2020 trump,,,,,,,,,,,,
2020 year,,,,,,,,,,,,
20202 thanksdoc,,,,,,,,,,,,
2021 nation,,,,,,,,,,,,
2024 rerun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
2024 win,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
2028 2036,,,,,,,,,,,,
2028 kamala,,,,,,,,,,,,
2term stop,,,,,,,,,,,,
30 funeral,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
30k really,,,,,,,,,,,,
35 trump,,,,,,,,,,,,
40 million,,,,,,,,,,,,
47 year,,,,,,,,,,,,
47 yr,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
60 minute,,,,,,,,,,,,
74 million,,,,,,,,,,,,
74 trump,,,,,,,,,,,,
