,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
000 people,,,,,,,,,,,,
000 people early,,,,,,,,,,,,
10 10,,,,,,,,,,,,
10 10 jiggy,,,,,,,,,,,,
10 betrayal,,,,,,,,,,,,
10 betrayal anime,,,,,,,,,,,,
10 deg,,,,,,,,,,,,
10 dollar,,,,,,,,,,,,
10 dollar worth,,,,,,,,,,,,
10 ghost,,,,,,,,,,,,
10 ghost yelp,,,,,,,,,,,,
10 jiggy,,,,,,,,,,,,
10 jiggy jiggy,,,,,,,,,,,,
10 lmao,,,,,,,,,,,,
10 lmao broke,,,,,,,,,,,,
10 oct,,,,,,,,,,,,
10 potato,,,,,,,,,,,,
10 potato 10,,,,,,,,,,,,
10 potatoes,,,,,,,,,,,,
10 potatoes 10,,,,,,,,,,,,
10 prank,,,,,,,,,,,,
10 prank wrong,,,,,,,,,,,,
10 sanity,,,,,,,,,,,,
10 say,,,,,,,,,,,,
10 say lose,,,,,,,,,,,,
10 season,,,,,,,,,,,,
10 second,,,,,,,,,,,,
10 second dead,,,,,,,,,,,,
10 yr,,,,,,,,,,,,
10 yr old,,,,,,,,,,,,
10 år,,,,,,,,,,,,
10 år ville,,,,,,,,,,,,
100 good,,,,,,,,,,,,
100 seriously,,,,,,,,,,,,
100 seriously just,,,,,,,,,,,,
107 milion,,,,,,,,,,,,
107 milion sub,,,,,,,,,,,,
11 18,,,,,,,,,,,,
11 41,,,,,,,,,,,,
11 42,,,,,,,,,,,,
11 42 gang,,,,,,,,,,,,
12 gang,,,,,,,,,,,,
12 gangggg,,,,,,,,,,,,
12months _pewdiefloorgang,,,,,,,,,,,,
15th october,,,,,,,,,,,,
15th october like,,,,,,,,,,,,
19 year,,,,,,,,,,,,
19 year old,,,,,,,,,,,,
1st xd,,,,,,,,,,,,
