,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
000 ntd,,,,,,
000 plus,,,,,,
000 plus watch,,,,,,
10 pct,,,,,,
10 pct usa,,,,,,
100 free,,,,,,
100 free fair,,,,,,
12 year,,,,,,
140 ntd,,,,,,
140 ntd wow,,,,,,
140137 people,,,,,,
140137 people watch,,,,,,
146 000,,,,,,
146 000 ntd,,,,,,
149 000,,,,,,
149 000 plus,,,,,,
15 2020,,,,,,
15 2020 rigged,,,,,,
1776 shall,,,,,,
1776 shall commence,,,,,,
19 blame,0.704,0.0,0.704,0.704,0.704,0.704
19 blame gov,0.704,0.0,0.704,0.704,0.704,0.704
1984 hoax,,,,,,
1st biden,,,,,,
1st biden administration,,,,,,
1st lady,,,,,,
1st lady melania,,,,,,
2020 2024,,,,,,
2020 2028,,,,,,
2020 2028 kamala,,,,,,
2020 2036,,,,,,
2020 24,,,,,,
2020 biden,,,,,,
2020 biden 2021,,,,,,
2020 faux,0.0,0.704,0.704,0.704,0.704,0.704
2020 faux news,0.0,0.704,0.704,0.704,0.704,0.704
2020 god,,,,,,
2020 god bless,,,,,,
2020 ish,,,,,,
2020 love,,,,,,
2020 love family,,,,,,
2020 maga,,,,,,
2020 president,,,,,,
2020 rigged,,,,,,
2020 rigged election,,,,,,
2020 steal,,,,,,
2020 steal wake,,,,,,
2020 trump,,,,,,
2020 trump forever,,,,,,
2020 year,,,,,,
20202 thanksdoc,,,,,,
20202 thanksdoc thanksdoc,,,,,,
2021 nation,,,,,,
2021 nation climb,,,,,,
2024 rerun,0.704,0.704,0.704,0.0,0.704,0.704
2024 rerun believe,0.704,0.704,0.704,0.0,0.704,0.704
2024 win,0.704,0.704,0.704,0.0,0.704,0.704
2024 win connect,0.704,0.704,0.704,0.0,0.704,0.704
2028 2036,,,,,,
2028 kamala,,,,,,
2028 kamala 2028,,,,,,
2term stop,,,,,,
2term stop steal,,,,,,
30 funeral,0.704,0.704,0.704,0.0,0.704,0.704
30 funeral pet,0.704,0.704,0.704,0.0,0.704,0.704
30k really,,,,,,
30k really let,,,,,,
35 trump,,,,,,
35 trump 60,,,,,,
40 million,,,,,,
47 year,,,,,,
47 year joe,,,,,,
47 yr,0.704,0.0,0.704,0.704,0.704,0.704
47 yr joe,0.704,0.0,0.704,0.704,0.704,0.704
60 minute,,,,,,
74 million,,,,,,
74 million vote,,,,,,
74 trump,,,,,,
74 trump lose,,,,,,
80 million,,,,,,
80 million legit,,,,,,
80 million people,,,,,,
80 million vote,,,,,,
