,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
000 die,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
000 like,,,,,,
000 people,,,,,,
000 tonight,,,,,,
000 tonight brett,,,,,,
000 viewer,,,,,,
0ï âƒ,,,,,,
0ï âƒ 2ï,,,,,,
10 big,,,,,,
10 big guy,,,,,,
10 million,,,,,,
10 year,,,,,,
100 000,,,,,,
100 watching,,,,,,
100 year,,,,,,
1000 year,,,,,,
12 vote,,,,,,
12 year,,,,,,
12 year 12,,,,,,
12 year trump,,,,,,
12 years,,,,,,
13 report,,,,,,
13 report vienna,,,,,,
14 000,,,,,,
14 000 like,,,,,,
15 injured,,,,,,
1550 opelika,,,,,,
16 year,,,,,,
19 devil,,,,,,
19 devil 19,,,,,,
197 pts,,,,,,
197 pts need,,,,,,
1st amendment,,,,,,
1st amendment 2nd,,,,,,
1st contact,,,,,,
1st contact tracer,,,,,,
1st responder,,,,,,
1st responder god,,,,,,
20 20,,,,,,
20 year,,,,,,
200 000,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
200 000 tonight,,,,,,
2000 stimulus,,,,,,
2000 stimulus executive,,,,,,
2020 2020,,,,,,
2020 2024,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
2020 2024 2028,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
2020 2028,,,,,,
2020 24,,,,,,
2020 666,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
2020 666 30330,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
2020 america,,,,,,
2020 america great,,,,,,
2020 baby,,,,,,
2020 biden,,,,,,
2020 biden memory,,,,,,
2020 boy,,,,,,
2020 brazil,,,,,,
2020 brazil president,,,,,,
2020 california,,,,,,
2020 cancer,,,,,,
2020 commies,0.704,0.0,0.704,0.704,0.704,0.704
2020 commies garbage,0.704,0.0,0.704,0.704,0.704,0.704
2020 cure,,,,,,
2020 denmark,,,,,,
2020 dont,0.704,0.0,0.704,0.704,0.704,0.704
2020 dont trump,0.704,0.0,0.704,0.704,0.704,0.704
2020 dothefive,,,,,,
2020 drain,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
2020 drain swamp,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
2020 god,,,,,,
2020 god bless,,,,,,
2020 good,,,,,,
2020 good president,,,,,,
2020 landslide,0.43385766067017734,0.15020042233101136,0.15020042233101136,0.6108504002950288,0.8019087881019875,0.6108504002950288
2020 landslide victory,,,,,,
2020 let,,,,,,
2020 life,0.24198153056802077,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.40178766311618047
2020 lmao,,,,,,
2020 love,,,,,,
2020 love trump,,,,,,
2020 maga,,,,,,
2020 maga pence,,,,,,
2020 maga trump,,,,,,
2020 make,1.0,0.14192744777405547,0.2694125126761958,0.2694125126761958,1.0,0.42631720794036876
2020 make america,,,,,,
2020 make amirica,1.0,0.14192744777405547,0.2694125126761958,0.2694125126761958,1.0,0.42631720794036876
2020 make usa,,,,,,
2020 need,,,,,,
2020 pence,,,,,,
2020 pence 2024,,,,,,
2020 potus,,,,,,
2020 potus vote,,,,,,
2020 president,,,,,,
2020 prosperous,,,,,,
2020 prosperous secure,,,,,,
2020 red,,,,,,
2020 red wave,,,,,,
2020 red way,,,,,,
2020 save,,,,,,
2020 say,0.704,0.0,0.704,0.704,0.704,0.704
2020 support,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
2020 tape,,,,,,
2020 tape blue,,,,,,
2020 thank,,,,,,
2020 thanksdoc,,,,,,
2020 thanksdoc thanksdoc,,,,,,
2020 time,,,,,,
2020 trump,0.704,0.704,0.704,0.0,0.704,0.704
2020 trump 2020,0.704,0.704,0.704,0.0,0.704,0.704
2020 trump jr,,,,,,
2020 vote,,,,,,
2020 vote red,,,,,,
2020 vote trump,,,,,,
2020 vote vote,,,,,,
2020 way,,,,,,
2020 wheres,,,,,,
2020 wheres hunter,,,,,,
2020 win,,,,,,
2020 world,,,,,,
2020 world peace,,,,,,
2020 year,,,,,,
2020 year flip,,,,,,
2020 year president,,,,,,
2020 yrs,,,,,,
2020 yt,,,,,,
2020 yt yt,,,,,,
2020 âš,,,,,,
2020 ðÿ,,,,,,
2020 ðÿ ðÿ,,,,,,
2020 ᅟᅟᅟthe,,,,,,
2020 ᅟᅟᅟthe problem,,,,,,
2020â trump,,,,,,
2020â trump 2020â,,,,,,
2020â ðÿ,,,,,,
2020â ðÿ ðÿ,,,,,,
2020ðÿ ªðÿ,,,,,,
2020ðÿ ªðÿ likeðÿ,,,,,,
2020ðÿ ðÿ,,,,,,
2020ðÿ ðÿ ðÿ,,,,,,
2024 2028,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
2024 2028 2032,,,,,,
2024 2028 trump,,,,,,
2024 2032,,,,,,
2024 great,,,,,,
2024 pence,,,,,,
2024 president,,,,,,
2024 sure,,,,,,
2024 trump,,,,,,
2028 2032,,,,,,
2028 2032 2036,,,,,,
2028 trump,,,,,,
2028 trump 2020,,,,,,
2032 2036,,,,,,
2032 2036 2040,,,,,,
2036 2040,,,,,,
2036 2040 2044,,,,,,
2040 2044,,,,,,
2040 2044 2048,,,,,,
2044 2048,,,,,,
2044 2048 2052,,,,,,
2048 2052,,,,,,
22 13,,,,,,
22 13 report,,,,,,
24 thank,,,,,,
24 thank support,,,,,,
288 249,,,,,,
2a 2a,,,,,,
2a lawyer,,,,,,
2a trump,,,,,,
2nd amendment,,,,,,
2nd amendment stake,,,,,,
2nd emendment,,,,,,
2nd emendment usa,,,,,,
2nd lady,,,,,,
2nd lady karen,,,,,,
2nd stimulus,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
2nd term,,,,,,
2o2o presidential,,,,,,
2o2o presidential upgrade,,,,,,
2q2q wwg1wga,,,,,,
2ï âƒ,,,,,,
2ï âƒ 0ï,,,,,,
30 year,,,,,,
30330 team,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
30330 team joe,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
315 328,,,,,,
315 328 trump,,,,,,
328 trump,,,,,,
344 auburn,,,,,,
365 electoral,,,,,,
365 electoral vote,,,,,,
39 dislike,0.704,0.0,0.704,0.704,0.704,0.704
3rd hispanic,,,,,,
3rd hispanic trump,,,,,,
3rd rally,,,,,,
40 likes,,,,,,
40 year,,,,,,
45 vote,,,,,,
45 vote 45,,,,,,
47 year,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133,0.5501142545045465
47 year failure,0.0,0.704,0.704,0.704,0.704,0.704
47 year trump,,,,,,
47 yr,,,,,,
47 yrs,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993
4ever settle,,,,,,
4ever settle forth,,,,,,
4more year,,,,,,
4ï âƒ,,,,,,
4ï âƒ 5ï,,,,,,
50 red,,,,,,
50 red state,,,,,,
50 shot,,,,,,
50 shot vienna,,,,,,
50 state,,,,,,
50 state red,,,,,,
50 year,,,,,,
55 electoral,,,,,,
55 electoral vote,,,,,,
57 000,,,,,,
5ï âƒ,,,,,,
5ï âƒ ðÿ,,,,,,
666 30330,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
666 30330 team,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.4103036364236828
90 medium,,,,,,
90 medium brave,,,,,,
90016 enter,,,,,,
90016 enter airspace,,,,,,
90016 pas,,,,,,
90016 pas grayling,,,,,,
942 glf5,,,,,,
942 glf5 pas,,,,,,
Unnamed: 0,0.15830242337545783,0.4411128091213043,0.8047261622231061,0.8047261622231061,0.4411128091213043,0.15830242337545783
_rsbn2nda _rsbn2nda,,,,,,
_rsbn2nda _rsbn2nda _rsbn2nda,,,,,,
_rsbn2nda _rsbn2nda _rsbndonpunish,,,,,,
_rsbn2nda _rsbn2nda _rsbnusa,,,,,,
_rsbn2nda _rsbndonpunish,,,,,,
_rsbn2nda _rsbndonpunish _rsbn2nda,,,,,,
_rsbn2nda _rsbnkag,0.704,0.0,0.704,0.704,0.704,0.704
_rsbn2nda _rsbnusa,,,,,,
_rsbn4moreyears _rsbn4moreyears,,,,,,
_rsbn4moreyears _rsbngovote,,,,,,
_rsbn4moreyears _rsbngovote _rsbngovote,,,,,,
_rsbnblueline _rsbnblueline,,,,,,
_rsbnblueline _rsbnblueline _rsbnblueline,,,,,,
_rsbnblueline _rsbngovote,,,,,,
_rsbnblueline _rsbngovote _rsbnblueline,,,,,,
_rsbncross _rsbncross,,,,,,
_rsbncross _rsbncross _rsbncross,,,,,,
_rsbncross _rsbnusa,,,,,,
_rsbndiamond _rsbnusa2,,,,,,
_rsbndiamond _rsbnusa2 _rsbnusa2,,,,,,
_rsbndjt _rsbndjt,,,,,,
_rsbndjt _rsbndjt _rsbndjt,,,,,,
_rsbndjt _rsbnkag,,,,,,
_rsbndjtmaga _rsbndjtmaga,,,,,,
_rsbndjtmaga _rsbndjtmaga _rsbndjtmaga,,,,,,
_rsbndjtmaga _rsbnkag,,,,,,
_rsbndjtmaga _rsbnusa,,,,,,
_rsbndonpunish _rsbn2nda,,,,,,
_rsbndonpunish _rsbn2nda _rsbn2nda,,,,,,
_rsbndonpunish _rsbndonpunish,,,,,,
_rsbndonpunish _rsbndonpunish _rsbndonpunish,,,,,,
_rsbndonpunish _rsbntrump,,,,,,
_rsbndonpunish _rsbntrump _rsbndonpunish,,,,,,
_rsbneagle _rsbngovote,,,,,,
_rsbneagle _rsbngovote _rsbneagle,,,,,,
_rsbnflotus _rsbnflotus,,,,,,
_rsbnflotus _rsbnflotus _rsbnflotus,,,,,,
_rsbngenflynn _rsbngenflynn,,,,,,
_rsbngenflynn _rsbngenflynn _rsbngenflynn,,,,,,
_rsbngovote _rsbnblueline,,,,,,
_rsbngovote _rsbnblueline _rsbngovote,,,,,,
_rsbngovote _rsbneagle,,,,,,
_rsbngovote _rsbneagle _rsbngovote,,,,,,
_rsbngovote _rsbngovote,,,,,,
_rsbngovote _rsbngovote _rsbngovote,,,,,,
_rsbnjesus _rsbnjesus,,,,,,
_rsbnjesus _rsbnjesus _rsbnjesus,,,,,,
_rsbnkag _rsbndjt,,,,,,
_rsbnkag _rsbndjt _rsbnkag,,,,,,
_rsbnkag _rsbndjtmaga,,,,,,
_rsbnkag _rsbnkag,,,,,,
_rsbnkag _rsbnkag _rsbnkag,,,,,,
_rsbnkayleigh _rsbnkayleigh,,,,,,
_rsbnlogo _rsbnlogo,,,,,,
_rsbnlogo _rsbnlogo _rsbnlogo,,,,,,
_rsbnlogo _rsbnqanon,,,,,,
_rsbnlogo _rsbnusa,,,,,,
_rsbnlogo rsbn,,,,,,
_rsbnlogo thank,,,,,,
_rsbnloltrump _rsbnloltrump,,,,,,
_rsbnmagahat _rsbndjt,,,,,,
_rsbnmagahat _rsbnmagahat,,,,,,
_rsbnmagahat _rsbnmagahat _rsbnmagahat,,,,,,
_rsbnmagahat _rsbntrump,,,,,,
_rsbnmagalion _rsbnrnc,0.704,0.0,0.704,0.704,0.704,0.704
_rsbnnojoe _rsbnnojoe,,,,,,
