,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
00 morning,,,,,,
000 iq,,,,,,
000 iq brain,,,,,,
000 people,,,,,,
000 people watch,,,,,,
000 watch,,,,,,
000 watch channel,,,,,,
013 member,,,,,,
013 member nice,,,,,,
0iq confused,,,,,,
0x speeeeeeeeeeeeeeeeeeeeeeeeed,,,,,,
10 10,,,,,,
10 10 good,,,,,,
10 bday,,,,,,
10 bday august,,,,,,
10 donation,,,,,,
10 donation nice,,,,,,
10 good,,,,,,
10 good xd,,,,,,
10 month,,,,,,
10 month def,,,,,,
10 night,,,,,,
10 night smiley,,,,,,
10 star,,,,,,
10 terroris,,,,,,
10 terroris thousand,,,,,,
100 brodie,,,,,,
100 brodie finish,,,,,,
100 brodie nogla,,,,,,
100 confident,,,,,,
100 confident reactor,,,,,,
100 dollar,,,,,,
100 donation,,,,,,
100 donation terroriser,,,,,,
100 free,,,,,,
100 free talk,,,,,,
100 gifted,,,,,,
100 gifted noah,,,,,,
100 interface,,,,,,
100 nogla,,,,,,
100 percent,,,,,,
100 percent use,,,,,,
100 possibly,,,,,,
100 say,,,,,,
100 say lab,,,,,,
100 sure,,,,,,
100 sure alex,,,,,,
100 suspicious,,,,,,
1000 damn,,,,,,
1000 let,,,,,,
1000 let goooo,,,,,,
1000 member,,,,,,
1000 sponser,,,,,,
1000 sponser today,,,,,,
1000 tonight,,,,,,
1000 tonight sure,,,,,,
1000 winnnnn,,,,,,
10000th imposter,,,,,,
10000th imposter ftw,,,,,,
1001 way,,,,,,
1001 way brian,,,,,,
1010 sponsor,,,,,,
1010 sponsor yaaasssss,,,,,,
1020 members,,,,,,
1020 members _terroriserggg,,,,,,
1021 mean,,,,,,
1021 member,,,,,,
1024 head,,,,,,
1024 left,,,,,,
1024 left corner,,,,,,
1024 member,,,,,,
1024 member count,,,,,,
10th coach,,,,,,
11 22,,,,,,
11 22 central,,,,,,
11 like,,,,,,
11 like 000,,,,,,
11 today,,,,,,
11 today bday,,,,,,
12 10,,,,,,
12 10 night,,,,,,
12 stream,,,,,,
12 stream snipe,,,,,,
12k viewer,,,,,,
12k viewer nice,,,,,,
12th october,,,,,,
12th october 13th,,,,,,
130 noob,0.632455532033676,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,0.632455532033676
130 wee,,,,,,
130 wee tired,,,,,,
133 st,,,,,,
13th finger,,,,,,
13th finger cross,,,,,,
15 okay,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
15 okay hahahaha,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
15th birthday,,,,,,
16 realize,,,,,,
16 realize thank,,,,,,
19 000,,,,,,
19 000 watch,,,,,,
1k member,,,,,,
1k member let,,,,,,
1k membership,,,,,,
1k viewer,,,,,,
1k viewer turn,,,,,,
1k yt,,,,,,
1k yt member,,,,,,
1st rond,,,,,,
20 live,,,,,,
20 live viewer,,,,,,
20 mau,,,,,,
20 min,,,,,,
20 min ago,,,,,,
20 minute,,,,,,
20 minute ago,,,,,,
20 october,,,,,,
20 october 4th,,,,,,
20 sec,,,,,,
20 sec die,,,,,,
2000 member,,,,,,
2000 member brain,,,,,,
2014 long,,,,,,
2014 long make,,,,,,
2014 og,,,,,,
2014 og crew,,,,,,
20k live,,,,,,
20k live viewer,,,,,,
20k view,,,,,,
20k view right,,,,,,
20k watch,,,,,,
20k watch holy,,,,,,
21 viewer,,,,,,
21 viewer terroriser,,,,,,
21k people,,,,,,
21k people watch,,,,,,
22 central,,,,,,
22 central time,,,,,,
22k appear,,,,,,
22k appear feed,,,,,,
22k live,,,,,,
22k live viewer,,,,,,
22k peep,,,,,,
22k peep nut,,,,,,
24 hour,,,,,,
24 hour click,,,,,,
24 wife,,,,,,
24 wife kid,,,,,,
25 people,,,,,,
25 people crazy,,,,,,
25k damn,,,,,,
25k people,,,,,,
25k people holy,,,,,,
30 iq,,,,,,
30 iq rule,,,,,,
30 minute,,,,,,
30 minute adjust,,,,,,
30 uk,,,,,,
30 uk mad,,,,,,
36 hour,,,,,,
36 hour watch,,,,,,
3am know,,,,,,
3rd imposter,,,,,,
3rd imposter imposter,,,,,,
3rd imposter just,,,,,,
3rd impostor,,,,,,
3rd person,,,,,,
45 second,,,,,,
45 second video,,,,,,
48 subscriber,,,,,,
4th 2020,,,,,,
50 00,,,,,,
50 50,,,,,,
50 50 chance,,,,,,
50 50 lol,,,,,,
50 chance,,,,,,
50 lol,,,,,,
500 buck,,,,,,
502 shhhh,,,,,,
502 shhhh try,,,,,,
54 kind,,,,,,
54 kind fellow,,,,,,
5seconds solid,,,,,,
5seconds solid 15,,,,,,
610 happy,,,,,,
610 happy know,,,,,,
64 fun,,,,,,
64 instead,,,,,,
64 later,,,,,,
64 remember,,,,,,
64 stream,,,,,,
64 terroriser,,,,,,
69 dislike,,,,,,
69 dislike nice,,,,,,
69 ppl,,,,,,
69 ppl nice,,,,,,
7hr stream,,,,,,
7hr stream lol,,,,,,
800 dollar,,,,,,
800 dollar chair,,,,,,
85 stream,,,,,,
85 stream snipe,,,,,,
911 right,,,,,,
911 right california,,,,,,
99 good,,,,,,
99 good people,,,,,,
99 usd,,,,,,
99 usd monthly,,,,,,
