,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
000 die,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
000 like,,,,,,
000 people,,,,,,
000 tonight,,,,,,
000 tonight brett,,,,,,
000 viewer,,,,,,
0ï âƒ,,,,,,
0ï âƒ 2ï,,,,,,
10 big,,,,,,
10 big guy,,,,,,
10 million,,,,,,
10 year,,,,,,
100 000,,,,,,
100 watching,,,,,,
100 year,,,,,,
1000 year,,,,,,
12 vote,,,,,,
12 year,,,,,,
12 year 12,,,,,,
12 year trump,,,,,,
12 years,,,,,,
13 report,,,,,,
13 report vienna,,,,,,
14 000,,,,,,
14 000 like,,,,,,
15 injured,,,,,,
1550 opelika,,,,,,
16 year,,,,,,
19 devil,,,,,,
19 devil 19,,,,,,
197 pts,,,,,,
197 pts need,,,,,,
1st amendment,,,,,,
1st amendment 2nd,,,,,,
1st contact,,,,,,
1st contact tracer,,,,,,
1st responder,,,,,,
1st responder god,,,,,,
20 20,,,,,,
20 year,,,,,,
200 000,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
200 000 tonight,,,,,,
2000 stimulus,,,,,,
2000 stimulus executive,,,,,,
2020 2020,,,,,,
2020 2024,0.316227766016838,0.316227766016838,-0.632455532033676,-0.632455532033676,0.316227766016838,0.316227766016838
2020 2024 2028,0.316227766016838,0.316227766016838,-0.632455532033676,-0.632455532033676,0.316227766016838,0.316227766016838
2020 2028,,,,,,
2020 24,,,,,,
2020 666,-0.41736500618415145,0.1391216687280505,-0.41736500618415145,0.6956083436402525,-0.41736500618415145,0.41736500618415145
2020 666 30330,-0.41736500618415145,0.1391216687280505,-0.41736500618415145,0.6956083436402525,-0.41736500618415145,0.41736500618415145
2020 america,,,,,,
2020 america great,,,,,,
2020 baby,,,,,,
2020 biden,,,,,,
2020 biden memory,,,,,,
2020 boy,,,,,,
2020 brazil,,,,,,
2020 brazil president,,,,,,
2020 california,,,,,,
2020 cancer,,,,,,
2020 commies,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
