,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,people say member,2.309401076758503,ni er,1.0,baby meet,0.447213595499958,000 000,0.0,000 000,0.0,non members,1.0
1,people say,2.309401076758503,000 000,0.0,baby meet bedroom,0.447213595499958,nice chat 3k,0.0,nice chat 3k,0.0,ew public chat,0.5773502691896257
2,say member,2.309401076758503,nice chat 3k,0.0,meet bedroom,0.447213595499958,nice car,0.0,nice car,0.0,public chat,0.5773502691896257
3,member chat,1.3742283272735225,nice car,0.0,hey baby,0.447213595499958,nice 100 floor,0.0,nice 100 floor,0.0,ew public,0.5773502691896257
4,anti member,1.1887230166826197,nice 100 floor,0.0,hey baby meet,0.447213595499958,nice 100,0.0,nice 100,0.0,_flappin _flappin,0.4759174931135693
5,anti member chat,1.1887230166826197,nice 100,0.0,000 000,0.0,ni er,0.0,ni er,0.0,start play trash,0.3361082594400495
6,non members,1.0,news chance free,0.0,new song drop,0.0,news chance free,0.0,news chance free,0.0,live 22 minute,0.3361082594400495
7,doc boomer,1.0,news chance,0.0,nice 100 floor,0.0,news chance,0.0,news chance,0.0,live 22,0.3361082594400495
8,want member,0.6111356438674169,new transition doc,0.0,nice 100,0.0,new transition doc,0.0,new transition doc,0.0,22 minute,0.3361082594400495
9,bro bros trash,0.600741579469779,new transition,0.0,ni er,0.0,new transition,0.0,new transition,0.0,minute start,0.3361082594400495
