,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,meltdown progress,2.309401076758503,conservative tear,1.0,beautiful kamala harris,0.4472135954999579,biden cheat,2.0,traitor hang,1.5069653983247062,traitor hang,1.0770597855778308
1,magat meltdown,2.309401076758503,fox total,1.0,ivanka beautiful kamala,0.4472135954999579,gobble gobble,1.2574491713280742,civil war,0.8609256363058009,buck fiden,1.0
2,magat meltdown progress,2.309401076758503,sign traitor,1.0,ivanka beautiful,0.4472135954999579,covid hoax,1.0,need civil,0.6017149707223544,lose sucker,1.0
3,maga tear,1.5385298927889153,jail right,1.0,beautiful kamala,0.4472135954999579,hello dictatorship,1.0,need civil war,0.6017149707223544,wait prison,1.0
4,gobble gobble,1.5173929731571385,stimulus socialist,1.0,kamala harris,0.4472135954999579,cheater bust,1.0,hang gallow,0.5958127031931928,fk blm,1.0
5,trump lol,1.4746245553035373,left garbage,1.0,trump new,0.3779644730092272,raid server,1.0,traitor hang treason,0.5958127031931928,fk acosta,1.0
6,pardon turkey,1.4259364408675217,china virus,0.6322333205876163,big loser,0.3779644730092272,sign traitor,1.0,hang treason,0.5958127031931928,pay mfer,1.0
7,supreme court,1.3022781551603533,jail entire,0.5773502691896257,host big,0.3779644730092272,pay mfer,1.0,traitor hang gallow,0.5958127031931928,swamp worm,1.0
8,trump pardon,1.2536656501631611,entire left,0.5773502691896257,host big loser,0.3779644730092272,philadelphia rigger,1.0,court traitor,0.4756341823889075,satan trump,1.0
9,trump pardon turkey,1.0847362418104036,devil incarnate,0.5773502691896257,trump new host,0.3779644730092272,biden illuminati,1.0,court traitor hang,0.4756341823889075,satan kuwait,1.0
