,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,people say member,2.372892062082397,blm joke,8.104467248265639,ban nogla,1.0,members money,5.366563145999496,play guy,1.0,white boy,1.5664571725813978
1,say member,2.3516026786182302,death blm,4.0,live matter,1.0,donations charity,5.366563145999496,kill nogla,1.0,stream snipe,1.0
2,people say,2.1998518367430826,black guy,3.5055350881971536,felix gay,1.0,charity members,5.366563145999496,guy lol,1.0,public chat,1.0
3,member chat,1.2640086957228982,blm racist,3.0,meet bedroom,1.0,charity members money,5.366563145999496,00 rae,0.0,chat retard,1.0
4,anti member chat,1.236869357392849,lives matter,2.3424282696550267,00 rae,0.0,donations charity members,5.366563145999496,potato powers activate,0.0,die lol,1.0
5,anti member,1.236869357392849,blm suck,2.0,potato pick,0.0,blm terrorist,1.4835680257259296,potato noise,0.0,blm suck,1.0
6,suck bad,1.0,death black,1.4899607072354644,potato potato,0.0,purge 2021,1.0,potato pick,0.0,non members,1.0
7,bro bros,1.0,george floyd,1.4570132415169912,potato potato family,0.0,biden like,1.0,potato potato,0.0,ad blocker,1.0
8,tom castillo,1.0,guy nogla 2020,1.4434339499443736,potato potato potato,0.0,ban nogla,1.0,potato potato family,0.0,death blm,1.0
9,smell like,1.0,guy nogla,1.411289222720118,potato powers,0.0,join discord,1.0,potato potato potato,0.0,guy stfu,1.0
