,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,biden suck,8.291080715569132,china joe,12.101227714853952,lady gag,3.0,joe biden,10.61847958893291,traitor hang,3.749888609675948,biden suck,11.164322862276526
1,joe biden,7.532735522156134,vote trump,9.403320042936937,lady gaga,1.919480316817922,biden prison,3.807545794880317,civil war,2.0,joe biden,7.898714827419893
2,sleepy joe,5.903193606592967,biden suck,9.164322862276526,make gag,1.0072822221979028,china joe,3.8019862699907976,sunny yu,1.7548810423719896,lady gaga,5.050633640380658
3,china joe,4.986736695989747,vote biden,7.472941671162406,gag lady,1.0072822221979028,vote trump,3.723378849112569,beijing biden,1.574307426134418,cnn suck,4.0
4,biden jail,4.882732242628995,biden prison,6.89040601853403,make gag lady,1.0072822221979028,biden win,3.014629647670425,biden voter,1.4650805509427134,vote biden,3.875533815021544
5,lady gaga,4.371026667632589,joe biden,6.149794884868401,commie bitch,1.0,biden china,3.0,life matter,1.3980971857403537,biden harris,3.518930210046689
6,biden racist,4.315291291078319,china pay,5.086511930413945,kamala harris,1.0,fake news,2.942018205617232,terror attack,1.0771376306434743,moron biden,3.477116500390785
7,biden prison,4.063161790858105,china virus,4.946779952874294,trump new,1.0,moron biden,2.857837375293089,mr president,1.0,biden supporter,3.35053404481683
8,biden crime,3.780494868756164,biden 2020,4.941256423282387,buck fiden,1.0,biden harris,2.829684129725159,say biden,1.0,vote trump,2.965617437647608
9,crime family,3.464373071441379,china biden,4.716685946908672,gaga make,0.9778279882127352,vote biden,2.787208516284277,biden obama,1.0,china joe,2.813161473786267
