,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,nancy cringe,1.0,000 people,0.0,felix gay,1.0,members money,5.366563145999497,000 people,0.0,fake af,1.0
1,nancy corpse,1.0,response come,0.0,require facetune picture,0.0,charity members money,5.366563145999497,response come,0.0,try guy stfu,0.7071067811865476
2,nancy trash,1.0,resize screen apparently,0.0,resize screen apparently,0.0,donations charity,5.366563145999497,resize screen apparently,0.0,try guy,0.7071067811865476
3,nancy boring,1.0,respect btw,0.0,respect btw,0.0,donations charity members,5.366563145999497,respect btw,0.0,suck felix pick,0.5773502691896258
4,walk look like,0.4245096682243196,respect btw let,0.0,respect btw let,0.0,charity members,5.366563145999497,respect btw let,0.0,felix pick,0.5773502691896258
5,drunken man,0.4245096682243196,respond late,0.0,respond late,0.0,discord linked happened,0.6382291308027164,respond late,0.0,suck felix,0.5773502691896258
6,way jack walk,0.4245096682243196,respond late everytime,0.0,respond late everytime,0.0,discord linked,0.6382291308027164,respond late everytime,0.0,fck phasmo,0.3333333333333333
7,walk look,0.4245096682243196,respond ouija,0.0,respond ouija,0.0,join discord,0.4304964032249493,respond ouija,0.0,fck phasmo audio,0.3333333333333333
8,way jack,0.3935257471561324,respond ouija board,0.0,respond ouija board,0.0,restart definitely,0.0,respond ouija board,0.0,lot time,0.3333333333333333
9,look like,0.3525672314063233,response come ask,0.0,response come,0.0,respond late,0.0,response come ask,0.0,audio lot time,0.3333333333333333
