,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,bruh dude break,0.5773502691896257,00 hour,0.0,toast thicc,0.447213595499958,lesson old man,0.3779644730092272,00 hour,0.0,00 hour,0.0
1,bruh dude,0.5773502691896257,rae _raehype _raehype,0.0,finally toast thicc,0.447213595499958,teach lesson old,0.3779644730092272,rae _raehype _raehype,0.0,rae _raehype _raehype,0.0
2,dude break,0.5773502691896257,rae 2254,0.0,toast thicc booty,0.447213595499958,lesson old,0.3779644730092272,rae 2254,0.0,rae 2254,0.0
3,00 hour,0.0,rae 2254 hug,0.0,thicc booty,0.447213595499958,time teach lesson,0.3779644730092272,rae 2254 hug,0.0,rae 2254 hug,0.0
4,rae _raehype,0.0,rae 2nd,0.0,finally toast,0.447213595499958,time teach,0.3779644730092272,rae 2nd,0.0,rae 2nd,0.0
5,rae 2254 hug,0.0,rae 2nd star,0.0,rae 2nd,0.0,teach lesson,0.3779644730092272,rae 2nd star,0.0,rae 2nd star,0.0
6,rae 2nd,0.0,rae _rae100,0.0,rae 2nd star,0.0,old man,0.3779644730092272,rae _rae100,0.0,rae _rae100,0.0
7,rae 2nd star,0.0,rae _raehype,0.0,rae _rae100,0.0,unlike video,0.3015113445777636,rae _raehype,0.0,rae _raehype,0.0
8,rae _rae100,0.0,rae _raelove,0.0,rae _raehype,0.0,unsuscribe unlike,0.3015113445777636,rae _raelove,0.0,rae _raelove,0.0
9,rae _raelove,0.0,pure support,0.0,rae _raehype _raehype,0.0,unlike video rae,0.3015113445777636,pure support,0.0,pure support,0.0
