,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,die lmao,1.0,black guy,2.852804786406104,brian fan,1.0,terroris simp,1.0,kill nogla,1.0,130 noob,1.0
1,cory annoying,1.0,guy nogla,1.3403868158383154,brian thicc,0.5773502691896257,dislike room,1.0,burn wizard,1.0,snitch fuck ridiculous,0.7071067811865476
2,lightning care,1.0,guy nogla 2020,1.3403868158383154,brian thicc doe,0.5773502691896257,dislike trigger,1.0,kill play,0.6068747609383088,snitch fuck,0.7071067811865476
3,sooo dirty,1.0,nogla 2020,1.3403868158383154,thicc doe,0.5773502691896257,hope soon,0.5773502691896257,kill play guy,0.6068747609383088,snipe dickhead,0.6277734542774746
4,130 noob,1.0,aussie weird,1.0,release pleb,0.0,trump2020 hope soon,0.5773502691896257,instant kill,0.5773502691896257,stream snipe dickhead,0.6277734542774746
5,breathes hes,0.7071067811865476,black guy nogla,0.9277675038461304,really sus,0.0,trump2020 hope,0.5773502691896257,knife instant,0.5773502691896257,blocker fucker,0.6225328682133993
6,breathes hes impostor,0.7071067811865476,white guy nogla,0.4808287775802163,really think noah,0.0,shoulda parent,0.4472135954999579,knife instant kill,0.5773502691896257,ad blocker fucker,0.6225328682133993
7,stream snipe dickhead,0.6277734542774746,white guy,0.4220312227136353,really want,0.0,brown celebrity play,0.4472135954999579,play guy,0.5132309899763858,kill play,0.6068747609383088
8,snipe dickhead,0.6277734542774746,recently love terrorisor,0.0,really want member,0.0,orphan deserve shoulda,0.4472135954999579,leave open die,0.38203441909732,kill play guy,0.6068747609383088
9,bad game watch,0.6175624682478313,recommendation midnight,0.0,reason brian,0.0,orphan deserve,0.4472135954999579,open die,0.38203441909732,dang terroris,0.5860317565752048
