,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,biden suck,8.291874952621043,china joe,12.082489403126983,lady gag,3.0,joe biden,9.277306153271228,sunny yu,1.7551352625565952,biden suck,11.167499810484172
1,joe biden,5.582115896575705,vote trump,9.54241699010127,lady gaga,1.918114195433293,china joe,3.793307025121009,beijing biden,1.574271963362737,joe biden,7.951498161296334
2,china joe,4.976935063973724,biden suck,9.167499810484172,commie bitch,1.0,biden prison,3.663919688195728,life matter,1.3978406028909487,lady gaga,5.04922872179448
3,biden jail,4.881562660487864,vote biden,7.403092184589985,buck fiden,1.0,biden china,3.0,biden voter,1.111717174063643,cnn suck,4.0
4,sleepy joe,4.760009905152039,biden prison,6.77744820958797,make gag,0.899652543953177,moron biden,2.8523401795446155,terror attack,1.0766482273326528,moron biden,3.469786906059487
5,biden racist,4.51977606245255,joe biden,5.888061929124044,gaga make gag,0.899652543953177,beijing biden,2.734767989812734,trump hate,1.0,biden supporter,3.4471655464958677
6,lady gaga,4.387134978076695,china pay,5.086143394584179,gag lady,0.899652543953177,vote trump,2.712668079767528,47 year,1.0,biden harris,3.3314222439306223
7,biden prison,4.061779167522376,china biden,4.716271165448637,make gag lady,0.899652543953177,biden corrupt,2.5670922096013453,chy na,1.0,vote biden,3.3285421658173355
8,biden crime,3.90525823688862,moron biden,4.704680359089231,gaga make,0.8732131473095828,biden win,2.5136817159356446,trump china,1.0,vote trump,2.8482223519132663
9,biden crime family,3.4628607990415428,biden 2020,4.682196655687338,joe kameltoe,0.7518284485911809,fake news,2.454749541608773,austria war,1.0,china joe,2.8081678324433543
