,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,suck,18.32675404281943,democrats,21.480091574458093,gag,5.0,corrupt,8.233462084960447,traitor hang,2.3622567252152367,suck,23.54423832573699
1,prison,11.09739172232132,socialism,20.834164768325103,bitch,1.4819590430858227,news,7.333552673999314,traitor,2.0989960281470967,moron,7.645937385966356
2,jail,9.22598940731548,suck,16.24174578132405,kameltoe,1.3597260628479129,cheat,6.325266680227443,hang,2.024153994891807,prison,7.221714032050892
3,loser,7.463092997240874,prison,13.390937207155105,wife,1.3055486303655714,jail,6.300378050941171,war,1.8732017466294224,idiot,6.859843278324254
4,lock,6.984438470361524,communist,12.33679280031512,man,1.2702888276953992,communist,6.088286466671734,life,1.810667919527227,shit,5.70074291367985
5,cry,6.77641425609339,people,11.738874938372511,woman,1.026576611691471,sell,5.722108223351697,hate,1.751137651935587,jail,4.852252250946874
6,sleepy,6.695496780510008,racist,10.460330651142236,beautiful,1.0,prison,5.353788556446797,matter,1.3888784421420275,hell,4.639713119622103
7,lol,6.542072824170342,black,9.87480634721144,really,1.0,fraud,5.253788421963954,defund,1.2543219359499662,corrupt,4.45716748005886
8,corrupt,6.506905399909616,idiot,9.1571844828201,hell,0.9932063916140732,covid,5.217157647997539,troll,1.1613853077751657,democrats,4.4089020887541
9,liar,5.35290448720132,dems,9.0927743773722,hairy,0.7885883357196749,taxi,4.66730377474096,civil war,1.0549599476814566,blm,4.314227228897298
10,family,5.084172204878834,blm,8.00274786689757,host,0.6992171339478702,people,4.55303731392685,terror attack,1.031096644052372,crack,4.204937516763561
11,racist,5.041935457372417,matter,7.925365746264914,shut,0.6870400683561677,moron,4.386293287070691,civil,1.0287948197293464,ðÿ,4.060632374998123
12,pardon,5.014506654044982,virus,7.819293901819334,energy,0.6819691305156627,democrats,4.38099697727126,life matter,1.0071725245470455,people,3.940741220909704
13,hate,4.898200921603728,dem,7.759035042906589,commie,0.655333673169145,hate,4.3356374006649565,prison,1.0,traitor,3.787844585410826
14,lie,4.805243370788549,corrupt,7.753560780872975,mother,0.6525609219171065,fake,4.139254114109308,buyden,1.0,satan,3.763408086864617
15,idiot,4.791413513070829,hate,7.752249100530276,husband,0.636940703883766,like,3.815032104108294,mess,1.0,old,3.708568356642779
16,stupid,4.733915705342124,moron,7.645937385966356,shitmer,0.6244904847595942,love,3.771688782968604,sniff,1.0,devil,3.692197599783548
17,joke,4.683813292631278,chinese,7.101038315362644,show tape,0.6206447365663571,vaccine,3.698890618763982,fool,1.0,brain,3.6636579834212393
18,trash,4.584101449460095,president,6.953060573166379,tape,0.6033463931960947,let,3.695573375363499,dem,1.0,lock,3.54349203101835
19,crime,4.58032590688658,jail,6.8988512806972535,loser,0.5624418472538405,win,3.6517582465509486,baby,1.0,trash,3.460843129861991
20,like,4.434119488092746,ðÿ,6.832192812159803,period,0.5367751851828084,family,3.577324456561689,trolls,1.0,sleepy,3.392259234066586
21,home,4.219684991028174,trash,6.445810563437263,difference,0.5187400287545106,pay,3.5682012412243465,school,0.9673267515923452,lol,3.280428421065891
22,crime family,4.176393250522724,win,6.1466129198509325,buck fiden,0.5141139331231991,blm,3.553477350311541,president,0.9645664840555505,creepy,3.2669273009628057
23,people,4.133050646549245,country,5.59387186919725,fan,0.5118419677901106,support,3.4954946617287064,terror,0.961462088764891,stupid,3.182581066299657
24,commie,4.049185204257,like,5.222344278056416,fiden,0.5064784092725491,virus,3.3442141091235764,afraid,0.9235899513237402,like,3.1390889231386407
25,crooked,3.989906761019317,cheat,5.213026980174416,show,0.5007726438112815,voter,3.34407450715561,attack,0.9211091737760856,love,3.1068502243708185
26,man,3.85446517403812,socialist,5.065166847634243,call,0.4944650914336175,president,3.3408763302344515,people,0.8919512339964237,bitch,2.997173580295116
27,bye,3.848148253233431,republican,5.04661167141768,dementia,0.4942029665286559,crime,3.3217650370925336,lives matter,0.8566410239290084,covid,2.9667377886396924
28,communist,3.808100553873588,life,4.999530128936507,buck,0.4937187287607958,true,3.1478155602025177,lock,0.8302035371866351,black,2.9026382385350518
29,maga,3.778077679279763,love,4.861852057641823,tv,0.4832898185659658,election,3.1342490616040024,lives,0.826692428566891,son,2.870787698890202
30,frack,3.6814631728941936,party,4.820670721101413,nasty,0.4832898185659658,liar,3.0,crazy,0.8172082262327365,head,2.793061669185928
31,shit,3.660704222078401,news,4.7560803088597385,due,0.4799059886328427,hoax,2.903843309789767,voter,0.798640251012267,racist,2.7673388954606795
32,traitor,3.615129237593108,world,4.729845888719067,ðÿ choice,0.4686040584918623,suck,2.8798578342340373,bang,0.7923535083311181,supporter,2.7635343314960563
33,take,3.599840011824753,liberal,4.720331834940255,suck ðÿ,0.4686040584918623,god,2.868841178128986,greta,0.7778609113590108,sucks,2.7375999704204554
34,president,3.584540391098614,rid,4.692804684153504,view,0.4657355450129223,lie,2.8522855971353263,totally,0.7636765175274574,loser,2.725477237236042
35,lose,3.513860389434083,dead,4.543273149739446,website,0.4648092854232302,crime family,2.8478449723602672,bankrupt,0.7524658350369979,ugly,2.7199303325662942
36,hell,3.473879312134618,red,4.500051005245432,industry,0.4586283805191554,criminal,2.844967181374601,court,0.7352932595384722,pathetic,2.700889400609925
37,fool,3.4676349789072383,destroy,4.480314989955043,even,0.4520156791315757,ccp,2.811889209254315,bomb,0.7333819538058809,diaper,2.5859181787905348
38,show,3.43849529410545,left,4.474360500525034,man suck,0.4516998339944295,fake news,2.792010921629075,democrats hate,0.720891176903295,voter,2.562267086625397
39,dead,3.430545365888813,democrat,4.421118530303679,new,0.4413100588604499,guy,2.7865140204788554,mouth,0.715270793643114,virus,2.534716282136425
40,watch,3.4131763747567927,commie,4.398991208895029,campaign,0.4323023419122102,bye,2.6912030463973187,speak,0.7151108553389853,retard,2.5174460839352006
41,news,3.410515483270876,pay,4.329612012946776,talk,0.3988152026436657,owns,2.6327642956861257,talk,0.6990110618411879,win,2.507612526482901
42,country,3.245353364652292,lock,4.115652719034873,video,0.3954474532390936,country,2.610299136218329,stuff,0.6988474023427074,crime family,2.4709868059270983
43,lmao,3.0410464357191707,fake,4.074962545190593,fire,0.3827432089977049,trash,2.526649886612909,globalist,0.6654073915602541,satanist,2.429098571692274
44,love,3.036029661012565,war,4.054891592992096,real,0.3762608751988152,stop,2.5257230357518057,imagine,0.6586312831183115,demon,2.4012363290490084
45,life,3.0028477154667037,anti,3.986700249261663,choice,0.3708423461384745,home,2.523656291175353,soon,0.6584089224628574,dems,2.364141488790354
46,moron,3.0,marxist,3.981474431405653,watch,0.350696024919056,hunter,2.518278902122808,town,0.6563919763577912,send,2.35087895424026
47,even,2.9659306454780774,save,3.9695788143906254,suck,0.3262646045803495,life,2.502053313529576,cabal,0.6557164183671248,watch,2.316781923456807
48,guy,2.9518124055284787,trolls,3.9343039643105833,hunter,0.3149856405216593,mask,2.4947974906846286,take,0.6515476692070922,man,2.31579114893351
49,bald,2.87441501788824,lives,3.887682916877578,good,0.3063267134527913,hair,2.460917526496972,burn,0.6509343200666102,hunter,2.2912693700280533
50,dog,2.852845842379253,lol,3.869568994581165,take,0.2961552579862992,traitor,2.4452227960214823,black,0.6473512666464726,president,2.264393652729446
51,magat,2.7915100256314176,americans,3.802114653093507,ðÿ,0.1993967011535099,matter,2.444641060324895,mask,0.646820902899374,crime,2.236511141750985
52,supporter,2.7850150662247306,remove,3.754075981720616,rock star,0.0,liberal,2.429021494624988,way,0.6464100084801769,family,2.2309222183642152
53,sell,2.734641226807054,leave,3.751280123113169,riot,0.0,lock,2.4272168738921467,wrong,0.6455990834698694,sanchez,2.229606206864978
54,creepy,2.7309291185899456,even,3.750955037068693,rightðÿž side,0.0,rise,2.37038794390479,covid,0.6454065951668151,human,2.2180159614390837
55,new,2.7276571366296407,liar,3.7070863898189033,rioter,0.0,idiot,2.360679433575142,pope,0.6372906054166605,ignorant,2.2093393352773285
56,destroy,2.7203060438270747,hunter,3.63624573437517,robin,0.0,buy,2.357038625789317,even,0.6283280070260528,live,2.202776631288116
57,pence,2.660621499181444,american,3.6065112217749817,rip,0.0,fox,2.330796264935909,head,0.6100622245602237,dead,2.201777233130461
58,gobble,2.658522851089276,traitor,3.5955485437659345,rise,0.0,video,2.2859704644935555,electric chair,0.5967714020579887,bad,2.103592890692936
59,fox,2.635195824973364,man,3.590382987269269,rocks,0.0,destroy,2.2147183796458623,chy,0.5909925285552992,matter,2.0879507176745995
