,Topic,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,Topic Top 10 Keywords
0,0,0.0198,-0.0149,-,-,-,0.0141,"['lol', 'arcadum', 'lily', 'toast', 'hair', 'edgar', 'username', 'wtf', 'zorro', 'nox']"
1,11,0.0227,0.1448,0.0164,0.0222,-,0.038,"['blm', 'joke', 'racist', 'death', 'terrorist', 'stupid', 'acab', 'stfu', 'toxic', 'care']"
2,13,0.0296,-,0.0163,-,-,0.0167,"['like', 'yayayayayaya', '2x', 'forget', 'sound', 'video', 'feel', 'look', 'hit', 'hour']"
3,15,0.0356,-,-,-,-,0.024,"['chat', 'toxic', 'read', 'look', 'close', 'anti', 'racist', 'proximity', 'night', 'need']"
4,17,-,-,-,-,-,0.028,"['oh', 'uh', 'god', 'boy', 'yeah', 'shit', 'nooo', 'fuck', 'noooo', 'shoot']"
5,20,0.03,-0.0138,-,-,-,0.0219,"['brian', 'night', 'look', 'keep', 'stop', 'day', 'dad', 'mau', 'okay', 'silent']"
6,27,-,-,-,-,-,0.0117,"['ad', 'blocker', 'twitch', 'mobile', 'premium', 'sub', 'still', 'youtube', 'yt', 'nope']"
7,28,0.0266,-,-,0.0276,-,0.0178,"['stream', 'forget', 'enjoy', 'snipe', 'start', 'stop', 'among', 'live', 'look', 'first']"
8,29,0.0197,-0.0142,-,0.0111,-,0.0171,"['play', 'jacksepticeye', 'corpse', 'want', 'still', 'vr', 'mario', 'vanoss', 'duo', 'among']"
9,36,0.0141,-0.0132,-,-,-,0.0136,"['gg', 'yay', 'win', 'lmfao', 'pete', 'lmaoooo', 'mod', 'team', 'ayyy', 'quick']"
10,39,0.02,-,0.0112,-,-,0.0148,"['yo', 'yumi', 'live', 'wtf', 'hair', 'tom', 'cut', 'sub', 'remember', 'freak']"
11,4,0.0154,-0.0144,-,-,-,0.0111,"['lmao', 'arcadum', 'edgar', 'poor', 'hair', 'tho', 'troll', 'karma', 'tutorial', 'zorro']"
12,44,0.0307,-0.0115,-,0.0305,-,0.0246,"['game', 'fun', 'start', 'ruin', 'mod', 'lightning', 'audio', 'ever', 'among', 'vr']"
13,45,0.0122,-0.0173,-,-,-,0.0142,"['code', 'use', 'moo', 'among', 'cover', 'want', 'terroriser', 'leak', 'streamlabs', 'plz']"
14,46,0.0284,-,0.0189,-,-,0.0262,"['bruh', 'mod', 'tf', 'moment', 'momento', 'face', 'camera', 'kick', 'kruz', 'cam']"
15,50,0.0223,0.0154,0.0153,0.0337,-,0.019,"['say', 'people', 'death', 'would', 'tom', 'vote', 'racist', 'scared', 'someone', 'want']"
16,54,0.0206,-0.0148,0.0161,0.0116,-,0.0119,"['felix', 'quiet', 'ur', 'scare', 'poor', 'ghost', 'volume', 'sean', 'mic', 'need']"
17,55,-,-,-,-,-,0.0134,"['think', 'brodie', 'noah', 'yumi', 'still', 'would', 'lazer', 'blue', 'sidearm', 'mau']"
18,58,0.0131,-0.0211,-,-,-,0.0135,"['turn', 'light', 'volume', 'mic', 'need', 'urself', 'please', '4th', 'cam', 'comment']"
19,59,0.0225,0.0297,0.0168,0.0216,-,0.0177,"['matter', 'black', 'life', 'op', 'blue', 'live', 'ops', 'lives', 'white', 'racist']"
20,62,0.0345,-0.0113,-,-,-,0.0215,"['imposter', '3rd', 'third', 'yumi', 'terroriser', 'win', '100', 'every', 'pete', 'lazer']"
21,64,0.0131,-,-,-,-,0.0145,"['sup', 'man', 'pewdiefloorgang2', 'boy', 'bryan', 'pete', 'brine', 'yooooo', 'gamer', 'yoo']"
22,68,0.0161,-0.0135,-,-,-,0.0121,"['ok', 'funny', 'yea', 'jesus', 'username', 'ah', 'take', 'soup', 'rea', 'cam']"
23,69,-,-0.02,-,-,-,0.0114,"['join', 'work', 'try', 'want', 'com', 'please', 'take', 'pc', 'hour', 'gamer']"
24,71,0.0164,-,-,-,0.0225,0.0121,"['kill', 'win', 'want', 'try', 'mcnasty', 'stack', 'round', 'need', 'right', 'crazy']"
25,74,-,-,-,-,-,0.0135,"['ya', 'tell', 'win', 'll', 'yeah', 'cut', 'top', 'peak', '1024', 'salty']"
26,75,0.0161,-,-,-,-,0.0246,"['loud', 'af', 'asf', 'really', 'sean', 'little', 'always', 'enough', 'jesus', 'bit']"
27,82,0.0335,-0.0112,0.0186,-,-,0.0138,"['watch', 'live', 'fun', 'since', 'work', 'video', 'night', 'edgar', 'people', 'still']"
28,83,0.0238,-,-,0.0167,-,0.0137,"['bo2', 'cod', 'great', '2020', 'hype', 'ever', 'old', 'right', 'though', 'start']"
29,84,-,-0.0166,0.011,-,-,0.0157,"['big', 'brain', 'oof', 'fan', 'pete', 'small', 'right', 'pp', 'pewdiesmolpp', 'lemon']"
30,9,0.021,-,-,-,-,0.0137,"['jack', 'quiet', 'voice', 'de', 'echo', 'increase', 'quite', 'vent', 'fine', 'vote']"
31,94,0.0303,-0.0122,0.0147,0.0118,-,0.0228,"['talk', 'wtf', 'people', 'politic', 'among', 'still', 'stop', 'want', 'preston', 'alive']"
32,96,0.0228,-,-,0.0145,-,0.0135,"['damn', 'son', 'really', 'cam', 'face', 'pewd', 'nancy', 'boi', 'right', 'knife']"
