,Topic,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,Topic Top 10 Keywords
0,1,-,-,-,0.0201,-,0.0139,"['ðÿ', 'ƒðÿ', 'šðÿ', 'žðÿ', '¼ðÿ', 'œðÿ', '½ðÿ', 'trumpðÿ', 'ºðÿ', 'trump2020â']"
1,11,0.0456,0.0279,-,0.0437,0.0245,0.048,"['go', 'home', 'miss', 'hell', 'john', 'away', 'brazil', 'letâ', 'bed', 'creepy']"
2,12,-,0.017,-,0.0284,-,0.0203,"['maga', 'forever', 'kag', 'motown', 'tear', 'law', 'millennial', 'season', 'order', 'rider']"
3,13,0.0266,0.049,-,0.0547,-,0.0252,"['win', 'must', 'winning', 'hope', 'big', 'crucial', 'wining', 'state', 'tired', 'wait']"
4,14,-0.0139,-,-,-,-,-0.0242,"['president', 'vice', 'mr', 'amazing', 'never', 'greatest', 'elect', 'bless', 'af1', 'next']"
5,15,0.0273,0.0601,-,0.05,0.0244,0.023,"['america', 'first', 'bles', 'hate', 'wake', 'save', 'open', 'part', 'prosperous', 'burning']"
6,19,0.1278,0.1075,-,0.0953,0.0416,0.106,"['joe', 'sleepy', 'creepy', 'corrupt', 'george', 'dementia', '47', 'frack', 'hell', 'wake']"
7,2,-0.048,-0.0468,-,-0.0357,-0.0172,-0.0341,"['trump', '2q2q', 'latinos', 'ohio', 'florida', 'brazil', 'pa', '2020â', 'women', 'americans']"
8,20,-,-,-,0.0184,-,0.0173,"['thank', 'donation', 'kind', 'patriot', 'service', 'karen', 'side', 'mark', 'veteran', 'choose']"
9,22,0.0448,0.0796,-,0.0636,0.025,0.0257,"['usa', 'destroy', 'stream', 'commie', 'england', 'share', 'prayer', 'stand', 'defend', 'slovenia']"
10,24,0.0628,0.07,0.0267,0.07,0.0351,0.0548,"['like', 'hit', 'button', 'smash', 'stream', 'share', 'look', 'depend', 'everyone', 'click']"
11,25,-,0.0345,-,0.0377,0.0166,0.0182,"['california', 'dems', 'flip', '_rsbnredcalif', 'ruin', 'destructive', 'turn', 'latinos', 'yt', 'flipping']"
12,26,-,-,-,-,-,-0.0178,"['amen', 'brother', 'lord', 'see', '4ever', 'magnify', 'wisdom', 'forth', 'settle', 'guide']"
13,27,0.0425,0.0648,-,0.0622,0.023,0.0466,"['get', 'rid', 'ready', 'troll', 'creepy', 'ticket', 'see', 'sleepy', 'patriots', 'time']"
14,29,0.0319,0.0353,-,0.0452,-,0.0159,"['swamp', 'drain', 'integrity', 'bring', 'damn', 'corrupt', 'demonrats', 'evil', 'deep', 'back']"
15,31,0.0695,0.089,-,0.0777,0.035,0.0619,"['people', 'many', 'stupid', 'dead', 'covid', 'big', 'look', 'power', 'tech', 'brain']"
16,32,0.0309,0.0235,-,0.028,-,0.0326,"['good', 'luck', 'ever', 'look', 'evil', 'vs', 'potus', 'song', 'really', 'lord']"
17,33,0.0609,0.1355,-,0.1116,0.0491,0.0456,"['china', 'virus', 'pay', 'communist', 'home', 'must', 'owns', 'covid', 'electric', 'firing']"
18,34,0.0355,0.0349,-,0.0357,0.0227,0.0377,"['come', 'yet', 'best', 'time', 'stupid', 'tsunami', 'george', 'wake', 'thumb', 'sleepy']"
19,35,0.0389,0.0378,-,0.0604,-,0.0281,"['let', 'friend', 'gooooooo', 'intimidate', 'medium', 'fly', 'gooooo', 'see', 'work', 'turn']"
20,37,0.0307,0.0327,-,0.0445,0.0256,0.0153,"['back', 'blue', 'bring', 'integrity', 'send', 'law', 'basement', 'police', 'mask', 'put']"
21,4,-,-0.0246,-,-,-,-0.0174,"['pence', 'vice', 'indiana', 'speaker', 'yay', 'rock', 'think', 'prosperous', 'amazing', 'speech']"
22,40,0.0181,0.0316,0.0148,0.0456,0.0193,0.0236,"['man', 'young', 'smart', 'choice', 'speak', 'bad', 'black', 'orange', 'amazing', 'thumb']"
23,41,0.0541,0.0769,-,0.0667,0.0237,0.0331,"['country', 'save', 'destroy', 'open', 'would', 'communist', 'across', 'god', 'leave', 'guns']"
24,42,0.0566,0.0816,0.0214,0.0865,0.0414,0.0685,"['hunter', 'crack', 'whereâ', 'campaign', 'hunted', 'laptop', 'hell', 'footjobs', 'rose', 'barr']"
25,44,0.0669,0.0837,-,0.0989,0.0228,0.0484,"['say', 'true', 'time', 'corn', 'think', 'left', 'well', 'pop', 'just', 'crime']"
26,47,0.069,0.0942,-,0.0843,0.0301,0.0809,"['suck', 'cnn', 'choice', 'song', 'news', 'by', 'fake', 'msm', 'twitter', 'netherlands']"
27,48,0.0361,0.061,-,0.0569,0.0283,0.0355,"['right', 'side', 'broadcasting', 'life', 'das', 'left', 'network', 'huh', 'uh', 'poll']"
28,49,0.0351,0.0408,0.0187,0.0522,0.0155,0.029,"['make', 'promise', 'sure', 'cry', 'happen', 'election', 'pennsylvania', 'poll', 'mexican', 'try']"
29,5,0.1727,0.1805,-,0.1713,0.0546,0.1455,"['biden', 'jail', 'rise', 'taxi', '47', 'gitmo', 'corrupt', 'moron', 'crime', 'home']"
30,51,0.0331,0.0662,-,0.0813,0.0369,0.0335,"['need', 'help', 'brazil', 'votes', 'granted', 'nothing', 'world', 'yet', 'well', 'russia']"
31,52,0.0413,0.0838,-,0.0778,0.029,0.0306,"['every', 'democrat', 'remove', 'state', 'time', 'votered', 'corrupt', 'count', 'friend', 'party']"
32,53,0.0351,0.0549,0.0158,0.068,0.0313,0.0286,"['new', 'york', 'jersey', 'mexico', 'deal', 'green', 'welcome', 'member', 'state', 'cnn']"
33,54,0.0736,0.0462,-,0.0546,0.0258,0.0509,"['lol', 'cry', 'talk', 'troll', 'live', 'mask', 'supporter', 'liberal', 'wear', 'hate']"
34,55,0.0671,0.0505,-,0.0598,0.0265,0.0307,"['bye', 'nancy', 'den', 'troll', 'hello', 'turkey', 'crazy', 'trolls', 'home', 'oh']"
35,57,0.0241,0.0382,-,0.0439,0.0248,0.0334,"['canada', 'germany', 'europe', 'today', 'austrian', 'russian', 'france', 'big', 'hope', 'terror']"
36,59,0.0566,0.076,-,0.0707,0.059,0.0702,"['prison', 'son', 'obama', 'beijing', '2021', 'life', 'âš', 'bill', 'fauci', 'infirmary']"
37,61,0.0641,0.1305,-,0.0983,0.0234,0.0591,"['democrats', 'hate', 'fake', 'cheat', 'election', 'republican', 'rid', 'party', 'medium', 'steal']"
38,64,0.0392,0.0765,-,0.0597,0.0349,0.025,"['american', 'black', 'patriot', 'first', 'hero', 'true', 'real', 'proud', 'christians', 'history']"
39,67,0.03,0.0638,-,0.0435,0.0223,0.0336,"['matter', 'laptop', 'life', 'blm', 'black', 'live', 'lives', 'blue', 'bidens', 'hell']"
40,68,0.0686,0.0666,0.0426,0.052,0.0286,0.0868,"['gaga', 'lady', 'gag', 'hell', '2nd', 'goo', 'fracking', 'member', 'kaka', 'boycott']"
41,69,-,0.0243,-,0.0419,-,0.0231,"['elbowcough', 'bismillah', 'gooo000', 'wherd', 'yt', 'song', 'four', 'young', 'ƒðÿ', 'corona']"
42,71,0.0654,0.0748,-,0.0714,0.0294,0.0353,"['lose', 'election', 'see', 'screw', 'already', 'black', 'still', 'mind', 'chinese', 'troll']"
43,74,0.0233,0.0322,-,0.0489,0.024,0.031,"['one', 'day', 'force', 'airforce', 'air', 'choose', 'potus', 'nation', '3rd', 'real']"
44,75,0.0214,0.0201,-,0.054,0.0167,0.0299,"['jesus', 'lord', 'christ', 'king', 'name', 'trust', 'praise', 'bible', 'forever', 'repent']"
45,76,-,0.0199,-,0.0468,-,0.0157,"['rally', 'next', 'today', 'last', 'watch', 'us', 'https', 'join', 'election', 'com']"
46,77,0.0605,0.0475,-,0.0519,0.029,0.0406,"['guy', 'big', 'smart', 'black', '10', 'nice', 'last', 'rock', 'tech', 'speaker']"
47,78,0.03,0.0463,-,0.0327,0.0248,0.0283,"['keep', 'promise', 'us', 'real', 'senate', 'faith', 'republic', 'give', 'hit', 'founding']"
48,79,0.05,0.0693,-,0.0885,0.043,0.0472,"['lock', 'whitmer', 'obama', 'hillary', 'pa', 'load', 'would', 'must', 'guillotines', 'fraud']"
49,81,0.0522,0.0832,-,0.086,0.0468,0.0538,"['want', 'see', 'know', 'gun', 'taxi', 'would', 'nobody', 'hope', 'eat', 'even']"
50,84,0.0366,0.0187,-,0.0431,-,0.0447,"['wow', 'crowd', 'look', 'amazing', 'big', 'huge', 'truth', 'massive', 'mask', 'winner']"
51,86,0.0608,0.0671,-,0.0729,0.0373,0.0392,"['stop', 'scorecard', 'hammer', 'steal', 'election', 'lie', 'operation', 'nothing', 'know', 'time']"
