Topic,Topic Top 10 Keywords,Inferred Topic,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
1,"['ðÿ', 'ƒðÿ', 'šðÿ', 'žðÿ', '¼ðÿ', 'œðÿ', '½ðÿ', 'trumpðÿ', 'ºðÿ', 'trump2020â']",Custom Emoji trump,-,-,-,0.0201,-,0.0139
11,"['go', 'home', 'miss', 'hell', 'john', 'away', 'brazil', 'letâ', 'bed', 'creepy']",,0.0456,0.0279,-,0.0437,0.0245,0.048
12,"['maga', 'forever', 'kag', 'motown', 'tear', 'law', 'millennial', 'season', 'order', 'rider']",,-,0.017,-,0.0284,-,0.0203
13,"['win', 'must', 'winning', 'hope', 'big', 'crucial', 'wining', 'state', 'tired', 'wait']",winning the electio,0.0266,0.049,-,0.0547,-,0.0252
14,"['president', 'vice', 'mr', 'amazing', 'never', 'greatest', 'elect', 'bless', 'af1', 'next']",praising vice president,-0.0139,-,-,-,-,-0.0242
15,"['america', 'first', 'bles', 'hate', 'wake', 'save', 'open', 'part', 'prosperous', 'burning']",mocking america,0.0273,0.0601,-,0.05,0.0244,0.023
19,"['joe', 'sleepy', 'creepy', 'corrupt', 'george', 'dementia', '47', 'frack', 'hell', 'wake']",mocking Joe Biden,0.1278,0.1075,-,0.0953,0.0416,0.106
2,"['trump', '2q2q', 'latinos', 'ohio', 'florida', 'brazil', 'pa', '2020â', 'women', 'americans']",,-0.048,-0.0468,-,-0.0357,-0.0172,-0.0341
20,"['thank', 'donation', 'kind', 'patriot', 'service', 'karen', 'side', 'mark', 'veteran', 'choose']",thanking patriots for service,-,-,-,0.0184,-,0.0173
22,"['usa', 'destroy', 'stream', 'commie', 'england', 'share', 'prayer', 'stand', 'defend', 'slovenia']",,0.0448,0.0796,-,0.0636,0.025,0.0257
24,"['like', 'hit', 'button', 'smash', 'stream', 'share', 'look', 'depend', 'everyone', 'click']",show supprt to the stream,0.0628,0.07,0.0267,0.07,0.0351,0.0548
25,"['california', 'dems', 'flip', '_rsbnredcalif', 'ruin', 'destructive', 'turn', 'latinos', 'yt', 'flipping']",latinos in california,-,0.0345,-,0.0377,0.0166,0.0182
26,"['amen', 'brother', 'lord', 'see', '4ever', 'magnify', 'wisdom', 'forth', 'settle', 'guide']",,-,-,-,-,-,-0.0178
27,"['get', 'rid', 'ready', 'troll', 'creepy', 'ticket', 'see', 'sleepy', 'patriots', 'time']",,0.0425,0.0648,-,0.0622,0.023,0.0466
29,"['swamp', 'drain', 'integrity', 'bring', 'damn', 'corrupt', 'demonrats', 'evil', 'deep', 'back']",mocking democrats,0.0319,0.0353,-,0.0452,-,0.0159
31,"['people', 'many', 'stupid', 'dead', 'covid', 'big', 'look', 'power', 'tech', 'brain']",,0.0695,0.089,-,0.0777,0.035,0.0619
32,"['good', 'luck', 'ever', 'look', 'evil', 'vs', 'potus', 'song', 'really', 'lord']",,0.0309,0.0235,-,0.028,-,0.0326
33,"['china', 'virus', 'pay', 'communist', 'home', 'must', 'owns', 'covid', 'electric', 'firing']",mockin china and communist,0.0609,0.1355,-,0.1116,0.0491,0.0456
34,"['come', 'yet', 'best', 'time', 'stupid', 'tsunami', 'george', 'wake', 'thumb', 'sleepy']",,0.0355,0.0349,-,0.0357,0.0227,0.0377
35,"['let', 'friend', 'gooooooo', 'intimidate', 'medium', 'fly', 'gooooo', 'see', 'work', 'turn']",,0.0389,0.0378,-,0.0604,-,0.0281
37,"['back', 'blue', 'bring', 'integrity', 'send', 'law', 'basement', 'police', 'mask', 'put']",,0.0307,0.0327,-,0.0445,0.0256,0.0153
4,"['pence', 'vice', 'indiana', 'speaker', 'yay', 'rock', 'think', 'prosperous', 'amazing', 'speech']",praising the speaker,-,-0.0246,-,-,-,-0.0174
40,"['man', 'young', 'smart', 'choice', 'speak', 'bad', 'black', 'orange', 'amazing', 'thumb']",,0.0181,0.0316,0.0148,0.0456,0.0193,0.0236
41,"['country', 'save', 'destroy', 'open', 'would', 'communist', 'across', 'god', 'leave', 'guns']",mocking the counry,0.0541,0.0769,-,0.0667,0.0237,0.0331
